# time model 
59325.801227 0.431657 
59325.833009 0.367621 
59325.864791 0.301418 
59325.896573 0.233113 
59325.928355 0.162774 
59325.960137 0.090475 
59325.991919 0.016290 
59326.023701 -0.059698 
59326.055483 -0.137406 
59326.087265 -0.216747 
59326.119047 -0.297627 
59326.150829 -0.379953 
59326.182611 -0.463624 
59326.214393 -0.548540 
59326.246175 -0.634595 
59326.277957 -0.721680 
59326.309739 -0.809683 
59326.341521 -0.898492 
59326.373303 -0.987988 
59326.405085 -1.078052 
59326.436867 -1.168563 
59326.468649 -1.259396 
59326.500431 -1.350425 
59326.532213 -1.441522 
59326.563995 -1.532556 
59326.595777 -1.623397 
59326.627559 -1.713911 
59326.659341 -1.803965 
59326.691123 -1.893422 
59326.722905 -1.982147 
59326.754687 -2.070002 
59326.786469 -2.156851 
59326.818251 -2.242555 
59326.850033 -2.326977 
59326.881815 -2.409979 
59326.913597 -2.491423 
59326.945379 -2.571172 
59326.977161 -2.649089 
59327.008943 -2.725039 
59327.040725 -2.798886 
59327.072507 -2.870497 
59327.104289 -2.939739 
59327.136071 -3.006482 
59327.167853 -3.070597 
59327.199635 -3.131956 
59327.231417 -3.190435 
59327.263199 -3.245911 
59327.294981 -3.298264 
59327.326763 -3.347375 
59327.358545 -3.393131 
59327.390327 -3.435419 
59327.422109 -3.474132 
59327.453891 -3.509162 
59327.485673 -3.540410 
59327.517455 -3.567776 
59327.549237 -3.591166 
59327.581019 -3.610489 
59327.612801 -3.625660 
59327.644583 -3.636596 
59327.676365 -3.643218 
59327.708147 -3.645455 
59327.739929 -3.643236 
59327.771711 -3.636498 
59327.803493 -3.625182 
59327.835275 -3.609233 
59327.867057 -3.588602 
59327.898839 -3.563244 
59327.930621 -3.533121 
59327.962402 -3.498199 
59327.994184 -3.458449 
59328.025966 -3.413849 
59328.057748 -3.364380 
59328.089530 -3.310031 
59328.121312 -3.250795 
59328.153094 -3.186671 
59328.184876 -3.117664 
59328.216658 -3.043785 
59328.248440 -2.965048 
59328.280222 -2.881477 
59328.312004 -2.793097 
59328.343786 -2.699943 
59328.375568 -2.602052 
59328.407350 -2.499469 
59328.439132 -2.392243 
59328.470914 -2.280431 
59328.502696 -2.164091 
59328.534478 -2.043291 
59328.566260 -1.918103 
59328.598042 -1.788603 
59328.629824 -1.654873 
59328.661606 -1.517000 
59328.693388 -1.375077 
59328.725170 -1.229201 
59328.756952 -1.079475 
59328.788734 -0.926005 
59328.820516 -0.768902 
59328.852298 -0.608283 
59328.884080 -0.444269 
59328.915862 -0.276983 
59328.947644 -0.106555 
