# time model 
59325.801227 5.113086 
59325.833009 5.592739 
59325.864791 6.075819 
59325.896573 6.561675 
59325.928355 7.049642 
59325.960137 7.539040 
59325.991919 8.029181 
59326.023701 8.519363 
59326.055483 9.008875 
59326.087265 9.496996 
59326.119047 9.982997 
59326.150829 10.466143 
59326.182611 10.945689 
59326.214393 11.420888 
59326.246175 11.890986 
59326.277957 12.355229 
59326.309739 12.812856 
59326.341521 13.263107 
59326.373303 13.705223 
59326.405085 14.138442 
59326.436867 14.562006 
59326.468649 14.975161 
59326.500431 15.377153 
59326.532213 15.767236 
59326.563995 16.144668 
59326.595777 16.508716 
59326.627559 16.858652 
59326.659341 17.193760 
59326.691123 17.513332 
59326.722905 17.816671 
59326.754687 18.103093 
59326.786469 18.371928 
59326.818251 18.622517 
59326.850033 18.854219 
59326.881815 19.066406 
59326.913597 19.258470 
59326.945379 19.429820 
59326.977161 19.579881 
59327.008943 19.708101 
59327.040725 19.813946 
59327.072507 19.896906 
59327.104289 19.956491 
59327.136071 19.992234 
59327.167853 20.003692 
59327.199635 19.990446 
59327.231417 19.952104 
59327.263199 19.888296 
59327.294981 19.798681 
59327.326763 19.682945 
59327.358545 19.540802 
59327.390327 19.371990 
59327.422109 19.176281 
59327.453891 18.953473 
59327.485673 18.703394 
59327.517455 18.425901 
59327.549237 18.120883 
59327.581019 17.788259 
59327.612801 17.427976 
59327.644583 17.040017 
59327.676365 16.624391 
59327.708147 16.181143 
59327.739929 15.710346 
59327.771711 15.212107 
59327.803493 14.686562 
59327.835275 14.133880 
59327.867057 13.554263 
59327.898839 12.947941 
59327.930621 12.315179 
59327.962402 11.656270 
59327.994184 10.971539 
59328.025966 10.261342 
59328.057748 9.526066 
59328.089530 8.766126 
59328.121312 7.981969 
59328.153094 7.174068 
59328.184876 6.342928 
59328.216658 5.489082 
59328.248440 4.613087 
59328.280222 3.715532 
59328.312004 2.797030 
59328.343786 1.858219 
59328.375568 0.899766 
59328.407350 -0.077642 
59328.439132 -1.073291 
