# time model 
59290.205401 1.583297 
59290.237182 1.580800 
59290.268964 1.578293 
59290.300746 1.575778 
59290.332528 1.573254 
59290.364310 1.570720 
59290.396092 1.568178 
59290.427874 1.565627 
59290.459656 1.563067 
59290.491438 1.560498 
59290.523220 1.557921 
59290.555002 1.555335 
59290.586784 1.552740 
59290.618566 1.550137 
59290.650348 1.547525 
59290.682130 1.544905 
59290.713912 1.542276 
59290.745694 1.539639 
59290.777476 1.536994 
59290.809258 1.534340 
59290.841040 1.531678 
59290.872822 1.529007 
59290.904604 1.526328 
59290.936386 1.523642 
59290.968168 1.520947 
59290.999950 1.518244 
59291.031732 1.515533 
59291.063514 1.512814 
59291.095296 1.510087 
59291.127078 1.507352 
59291.158860 1.504609 
59291.190642 1.501858 
59291.222424 1.499100 
59291.254206 1.496334 
59291.285988 1.493560 
59291.317770 1.490778 
59291.349552 1.487989 
59291.381334 1.485192 
59291.413116 1.482388 
59291.444898 1.479576 
59291.476680 1.476756 
59291.508462 1.473929 
59291.540244 1.471095 
59291.572026 1.468253 
59291.603808 1.465404 
59291.635590 1.462547 
59291.667372 1.459684 
59291.699154 1.456813 
59291.730936 1.453934 
59291.762718 1.451049 
59291.794500 1.448157 
59291.826282 1.445257 
59291.858064 1.442350 
59291.889846 1.439437 
59291.921628 1.436516 
59291.953410 1.433589 
59291.985192 1.430654 
59292.016974 1.427713 
59292.048756 1.424764 
59292.080538 1.421809 
59292.112320 1.418847 
59292.144102 1.415879 
59292.175884 1.412903 
59292.207666 1.409921 
59292.239448 1.406932 
59292.271230 1.403937 
59292.303012 1.400935 
59292.334794 1.397927 
59292.366576 1.394911 
59292.398358 1.391890 
59292.430140 1.388862 
59292.461922 1.385828 
59292.493704 1.382787 
59292.525486 1.379739 
59292.557268 1.376686 
59292.589050 1.373626 
59292.620832 1.370560 
59292.652614 1.367488 
59292.684396 1.364409 
59292.716178 1.361324 
59292.747960 1.358233 
59292.779742 1.355136 
59292.811524 1.352033 
59292.843306 1.348924 
59292.875088 1.345809 
59292.906869 1.342687 
59292.938651 1.339560 
59292.970433 1.336427 
59293.002215 1.333288 
59293.033997 1.330143 
59293.065779 1.326992 
59293.097561 1.323835 
59293.129343 1.320673 
59293.161125 1.317505 
59293.192907 1.314330 
59293.224689 1.311151 
59293.256471 1.307965 
59293.288253 1.304774 
59293.320035 1.301577 
59293.351817 1.298375 
59293.383599 1.295167 
59293.415381 1.291954 
59293.447163 1.288735 
59293.478945 1.285510 
59293.510727 1.282280 
59293.542509 1.279044 
59293.574291 1.275804 
59293.606073 1.272557 
59293.637855 1.269306 
59293.669637 1.266049 
59293.701419 1.262786 
59293.733201 1.259518 
59293.764983 1.256246 
59293.796765 1.252967 
59293.828547 1.249684 
59293.860329 1.246395 
59293.892111 1.243102 
59293.923893 1.239803 
59293.955675 1.236499 
59293.987457 1.233189 
59294.019239 1.229875 
59294.051021 1.226556 
59294.082803 1.223232 
59294.114585 1.219902 
59294.146367 1.216568 
59294.178149 1.213229 
59294.209931 1.209884 
59294.241713 1.206535 
59294.273495 1.203181 
59294.305277 1.199823 
59294.337059 1.196459 
59294.368841 1.193090 
59294.400623 1.189717 
59294.432405 1.186339 
59294.464187 1.182956 
59294.495969 1.179568 
59294.527751 1.176176 
59294.559533 1.172779 
59294.591315 1.169378 
59294.623097 1.165971 
59294.654879 1.162560 
59294.686661 1.159145 
59294.718443 1.155725 
59294.750225 1.152300 
59294.782007 1.148871 
59294.813789 1.145437 
59294.845571 1.141999 
59294.877353 1.138557 
59294.909135 1.135109 
59294.940917 1.131658 
59294.972699 1.128202 
59295.004481 1.124742 
59295.036263 1.121277 
59295.068045 1.117808 
59295.099827 1.114335 
59295.131609 1.110857 
59295.163391 1.107375 
59295.195173 1.103889 
59295.226955 1.100398 
59295.258737 1.096903 
59295.290519 1.093405 
59295.322301 1.089901 
59295.354083 1.086394 
59295.385865 1.082883 
59295.417647 1.079367 
59295.449429 1.075847 
59295.481211 1.072324 
59295.512993 1.068796 
59295.544775 1.065264 
59295.576557 1.061728 
59295.608338 1.058188 
59295.640120 1.054644 
59295.671902 1.051096 
59295.703684 1.047544 
59295.735466 1.043988 
59295.767248 1.040428 
59295.799030 1.036865 
59295.830812 1.033297 
59295.862594 1.029725 
59295.894376 1.026150 
59295.926158 1.022571 
59295.957940 1.018988 
59295.989722 1.015401 
59296.021504 1.011810 
59296.053286 1.008216 
59296.085068 1.004618 
59296.116850 1.001016 
59296.148632 0.997410 
59296.180414 0.993801 
59296.212196 0.990188 
59296.243978 0.986571 
59296.275760 0.982951 
59296.307542 0.979327 
59296.339324 0.975699 
59296.371106 0.972068 
59296.402888 0.968433 
59296.434670 0.964795 
59296.466452 0.961153 
59296.498234 0.957507 
59296.530016 0.953858 
59296.561798 0.950206 
59296.593580 0.946549 
59296.625362 0.942890 
59296.657144 0.939227 
59296.688926 0.935561 
59296.720708 0.931891 
59296.752490 0.928217 
59296.784272 0.924541 
59296.816054 0.920861 
59296.847836 0.917177 
59296.879618 0.913490 
59296.911400 0.909800 
59296.943182 0.906107 
59296.974964 0.902410 
59297.006746 0.898710 
59297.038528 0.895006 
59297.070310 0.891300 
59297.102092 0.887590 
59297.133874 0.883877 
59297.165656 0.880160 
59297.197438 0.876441 
59297.229220 0.872718 
59297.261002 0.868992 
59297.292784 0.865263 
59297.324566 0.861530 
59297.356348 0.857795 
59297.388130 0.854056 
59297.419912 0.850315 
59297.451694 0.846570 
59297.483476 0.842822 
59297.515258 0.839071 
59297.547040 0.835317 
59297.578822 0.831560 
59297.610604 0.827800 
59297.642386 0.824036 
59297.674168 0.820270 
59297.705950 0.816501 
59297.737732 0.812729 
59297.769514 0.808954 
59297.801296 0.805176 
59297.833078 0.801395 
59297.864860 0.797611 
59297.896642 0.793824 
59297.928424 0.790034 
59297.960206 0.786242 
59297.991988 0.782446 
59298.023770 0.778648 
59298.055552 0.774846 
59298.087334 0.771042 
59298.119116 0.767235 
59298.150898 0.763426 
59298.182680 0.759613 
59298.214462 0.755798 
59298.246244 0.751980 
59298.278026 0.748159 
59298.309807 0.744335 
59298.341589 0.740509 
59298.373371 0.736680 
59298.405153 0.732848 
59298.436935 0.729013 
59298.468717 0.725176 
59298.500499 0.721336 
59298.532281 0.717493 
59298.564063 0.713648 
59298.595845 0.709800 
59298.627627 0.705950 
59298.659409 0.702096 
59298.691191 0.698240 
