# time model 
59290.205401 3.620604 
59290.237182 3.579974 
59290.268964 3.538816 
59290.300746 3.497174 
59290.332528 3.455087 
59290.364310 3.412597 
59290.396092 3.369746 
59290.427874 3.326575 
59290.459656 3.283127 
59290.491438 3.239442 
59290.523220 3.195563 
59290.555002 3.151530 
59290.586784 3.107385 
59290.618566 3.063168 
59290.650348 3.018920 
59290.682130 2.974682 
59290.713912 2.930493 
59290.745694 2.886393 
59290.777476 2.842420 
59290.809258 2.798614 
59290.841040 2.755011 
59290.872822 2.711649 
59290.904604 2.668565 
59290.936386 2.625794 
59290.968168 2.583372 
59290.999950 2.541332 
59291.031732 2.499709 
59291.063514 2.458534 
59291.095296 2.417840 
59291.127078 2.377657 
59291.158860 2.338015 
59291.190642 2.298943 
59291.222424 2.260468 
59291.254206 2.222618 
59291.285988 2.185417 
59291.317770 2.148891 
59291.349552 2.113063 
59291.381334 2.077954 
59291.413116 2.043586 
59291.444898 2.009979 
59291.476680 1.977151 
59291.508462 1.945120 
59291.540244 1.913902 
59291.572026 1.883511 
59291.603808 1.853962 
59291.635590 1.825266 
59291.667372 1.797435 
59291.699154 1.770478 
59291.730936 1.744403 
59291.762718 1.719219 
59291.794500 1.694930 
59291.826282 1.671542 
59291.858064 1.649057 
59291.889846 1.627477 
59291.921628 1.606804 
59291.953410 1.587037 
59291.985192 1.568173 
59292.016974 1.550210 
59292.048756 1.533144 
59292.080538 1.516968 
59292.112320 1.501677 
59292.144102 1.487262 
59292.175884 1.473714 
59292.207666 1.461024 
59292.239448 1.449180 
59292.271230 1.438169 
59292.303012 1.427978 
59292.334794 1.418593 
59292.366576 1.409998 
59292.398358 1.402177 
59292.430140 1.395112 
59292.461922 1.388785 
59292.493704 1.383177 
59292.525486 1.378268 
59292.557268 1.374038 
59292.589050 1.370463 
59292.620832 1.367524 
59292.652614 1.365195 
59292.684396 1.363454 
59292.716178 1.362277 
59292.747960 1.361638 
59292.779742 1.361513 
59292.811524 1.361876 
59292.843306 1.362699 
59292.875088 1.363957 
59292.906869 1.365623 
59292.938651 1.367670 
59292.970433 1.370069 
59293.002215 1.372793 
59293.033997 1.375814 
59293.065779 1.379104 
59293.097561 1.382635 
59293.129343 1.386378 
59293.161125 1.390306 
59293.192907 1.394389 
59293.224689 1.398600 
59293.256471 1.402911 
59293.288253 1.407294 
59293.320035 1.411722 
59293.351817 1.416167 
59293.383599 1.420602 
59293.415381 1.425000 
59293.447163 1.429335 
59293.478945 1.433581 
59293.510727 1.437713 
59293.542509 1.441705 
59293.574291 1.445533 
59293.606073 1.449174 
59293.637855 1.452603 
59293.669637 1.455799 
59293.701419 1.458738 
59293.733201 1.461401 
59293.764983 1.463766 
59293.796765 1.465813 
59293.828547 1.467524 
59293.860329 1.468879 
59293.892111 1.469862 
59293.923893 1.470456 
59293.955675 1.470646 
59293.987457 1.470416 
59294.019239 1.469752 
59294.051021 1.468641 
59294.082803 1.467072 
59294.114585 1.465034 
59294.146367 1.462515 
