# time model 
59325.801227 -0.209548 
59325.833009 -0.269979 
59325.864791 -0.332510 
59325.896573 -0.397079 
59325.928355 -0.463625 
59325.960137 -0.532079 
59325.991919 -0.602371 
59326.023701 -0.674425 
59326.055483 -0.748163 
59326.087265 -0.823502 
59326.119047 -0.900356 
59326.150829 -0.978637 
59326.182611 -1.058251 
59326.214393 -1.139103 
59326.246175 -1.221094 
59326.277957 -1.304121 
59326.309739 -1.388080 
59326.341521 -1.472863 
59326.373303 -1.558359 
59326.405085 -1.644456 
59326.436867 -1.731039 
59326.468649 -1.817991 
59326.500431 -1.905191 
59326.532213 -1.992519 
59326.563995 -2.079852 
59326.595777 -2.167064 
59326.627559 -2.254030 
59326.659341 -2.340623 
59326.691123 -2.426714 
59326.722905 -2.512173 
59326.754687 -2.596871 
59326.786469 -2.680676 
59326.818251 -2.763458 
59326.850033 -2.845086 
59326.881815 -2.925427 
59326.913597 -3.004352 
59326.945379 -3.081728 
59326.977161 -3.157425 
59327.008943 -3.231315 
59327.040725 -3.303267 
59327.072507 -3.373154 
59327.104289 -3.440850 
59327.136071 -3.506229 
59327.167853 -3.569168 
59327.199635 -3.629545 
59327.231417 -3.687239 
59327.263199 -3.742134 
59327.294981 -3.794113 
59327.326763 -3.843064 
59327.358545 -3.888875 
59327.390327 -3.931440 
59327.422109 -3.970654 
59327.453891 -4.006415 
59327.485673 -4.038624 
59327.517455 -4.067186 
59327.549237 -4.092011 
59327.581019 -4.113010 
59327.612801 -4.130100 
59327.644583 -4.143200 
59327.676365 -4.152234 
59327.708147 -4.157131 
59327.739929 -4.157824 
59327.771711 -4.154249 
59327.803493 -4.146348 
59327.835275 -4.134067 
59327.867057 -4.117358 
59327.898839 -4.096175 
59327.930621 -4.070481 
59327.962402 -4.040239 
59327.994184 -4.005422 
59328.025966 -3.966005 
59328.057748 -3.921969 
59328.089530 -3.873300 
59328.121312 -3.819990 
59328.153094 -3.762035 
59328.184876 -3.699439 
59328.216658 -3.632207 
59328.248440 -3.560354 
59328.280222 -3.483896 
59328.312004 -3.402859 
59328.343786 -3.317271 
59328.375568 -3.227165 
59328.407350 -3.132583 
59328.439132 -3.033569 
59328.470914 -2.930173 
59328.502696 -2.822450 
59328.534478 -2.710462 
59328.566260 -2.594274 
59328.598042 -2.473957 
59328.629824 -2.349588 
59328.661606 -2.221246 
59328.693388 -2.089017 
59328.725170 -1.952993 
59328.756952 -1.813267 
59328.788734 -1.669940 
59328.820516 -1.523116 
59328.852298 -1.372903 
59328.884080 -1.219414 
59328.915862 -1.062766 
59328.947644 -0.903079 
59328.979426 -0.740478 
59329.011208 -0.575091 
59329.042990 -0.407051 
59329.074772 -0.236491 
59329.106554 -0.063552 
59329.138336 0.111627 
59329.170118 0.288900 
59329.201900 0.468119 
59329.233682 0.649136 
59329.265464 0.831799 
59329.297246 1.015951 
59329.329028 1.201438 
59329.360810 1.388101 
59329.392592 1.575779 
59329.424374 1.764311 
59329.456156 1.953535 
59329.487938 2.143286 
59329.519720 2.333399 
59329.551502 2.523710 
59329.583284 2.714050 
59329.615066 2.904255 
59329.646848 3.094158 
59329.678630 3.283591 
59329.710412 3.472389 
59329.742194 3.660386 
59329.773976 3.847416 
59329.805758 4.033315 
59329.837540 4.217920 
59329.869322 4.401069 
59329.901104 4.582600 
59329.932886 4.762354 
59329.964668 4.940175 
59329.996450 5.115907 
59330.028232 5.289397 
59330.060014 5.460493 
59330.091796 5.629048 
59330.123578 5.794915 
59330.155360 5.957952 
59330.187142 6.118019 
59330.218924 6.274979 
59330.250706 6.428698 
59330.282488 6.579048 
59330.314270 6.725901 
59330.346052 6.869135 
59330.377834 7.008631 
59330.409616 7.144276 
59330.441398 7.275957 
59330.473180 7.403570 
59330.504962 7.527013 
59330.536744 7.646188 
59330.568526 7.761002 
59330.600308 7.871369 
59330.632090 7.977203 
59330.663871 8.078429 
59330.695653 8.174971 
59330.727435 8.266763 
59330.759217 8.353740 
59330.790999 8.435845 
59330.822781 8.513025 
59330.854563 8.585233 
59330.886345 8.652427 
59330.918127 8.714569 
59330.949909 8.771628 
59330.981691 8.823578 
59331.013473 8.870399 
59331.045255 8.912074 
59331.077037 8.948595 
59331.108819 8.979956 
59331.140601 9.006159 
59331.172383 9.027209 
59331.204165 9.043118 
59331.235947 9.053903 
59331.267729 9.059585 
59331.299511 9.060192 
59331.331293 9.055757 
59331.363075 9.046316 
59331.394857 9.031912 
59331.426639 9.012592 
59331.458421 8.988409 
59331.490203 8.959419 
59331.521985 8.925684 
59331.553767 8.887271 
59331.585549 8.844249 
59331.617331 8.796694 
59331.649113 8.744685 
59331.680895 8.688305 
59331.712677 8.627643 
59331.744459 8.562789 
59331.776241 8.493837 
59331.808023 8.420888 
59331.839805 8.344043 
59331.871587 8.263407 
59331.903369 8.179090 
59331.935151 8.091202 
59331.966933 7.999859 
59331.998715 7.905178 
59332.030497 7.807279 
59332.062279 7.706283 
59332.094061 7.602316 
59332.125843 7.495504 
59332.157625 7.385976 
59332.189407 7.273862 
59332.221189 7.159293 
59332.252971 7.042403 
59332.284753 6.923327 
59332.316535 6.802200 
59332.348317 6.679158 
59332.380099 6.554338 
59332.411881 6.427879 
59332.443663 6.299918 
59332.475445 6.170593 
59332.507227 6.040042 
59332.539009 5.908404 
59332.570791 5.775816 
59332.602573 5.642416 
59332.634355 5.508340 
59332.666137 5.373724 
59332.697919 5.238702 
59332.729701 5.103409 
59332.761483 4.967977 
59332.793265 4.832537 
59332.825047 4.697217 
59332.856829 4.562147 
59332.888611 4.427450 
59332.920393 4.293252 
59332.952175 4.159674 
59332.983957 4.026834 
59333.015739 3.894851 
59333.047521 3.763837 
59333.079303 3.633904 
