# time model 
59325.801227 9.381493 
59325.833009 9.868267 
59325.864791 10.358987 
59325.896573 10.853002 
59325.928355 11.349646 
59325.960137 11.848242 
59325.991919 12.348099 
59326.023701 12.848513 
59326.055483 13.348772 
59326.087265 13.848151 
59326.119047 14.345917 
59326.150829 14.841331 
59326.182611 15.333644 
59326.214393 15.822102 
59326.246175 16.305946 
59326.277957 16.784412 
59326.309739 17.256734 
59326.341521 17.722144 
59326.373303 18.179872 
59326.405085 18.629149 
59326.436867 19.069205 
59326.468649 19.499275 
59326.500431 19.918596 
59326.532213 20.326408 
59326.563995 20.721957 
59326.595777 21.104497 
59326.627559 21.473287 
59326.659341 21.827596 
59326.691123 22.166703 
59326.722905 22.489894 
59326.754687 22.796472 
59326.786469 23.085748 
59326.818251 23.357049 
59326.850033 23.609715 
59326.881815 23.843104 
59326.913597 24.056588 
59326.945379 24.249558 
59326.977161 24.421423 
59327.008943 24.571610 
59327.040725 24.699568 
59327.072507 24.804767 
59327.104289 24.886697 
59327.136071 24.944872 
59327.167853 24.978830 
59327.199635 24.988133 
59327.231417 24.972366 
59327.263199 24.931141 
59327.294981 24.864097 
59327.326763 24.770899 
59327.358545 24.651240 
59327.390327 24.504839 
59327.422109 24.331447 
59327.453891 24.130841 
59327.485673 23.902830 
59327.517455 23.647251 
59327.549237 23.363971 
59327.581019 23.052890 
59327.612801 22.713937 
59327.644583 22.347073 
59327.676365 21.952289 
59327.708147 21.529610 
59327.739929 21.079091 
59327.771711 20.600818 
59327.803493 20.094912 
59327.835275 19.561523 
59327.867057 19.000833 
59327.898839 18.413057 
59327.930621 17.798442 
59327.962402 17.157265 
59327.994184 16.489835 
59328.025966 15.796493 
59328.057748 15.077608 
59328.089530 14.333583 
59328.121312 13.564849 
59328.153094 12.771867 
59328.184876 11.955127 
59328.216658 11.115150 
59328.248440 10.252481 
59328.280222 9.367698 
59328.312004 8.461402 
59328.343786 7.534221 
59328.375568 6.586812 
59328.407350 5.619854 
59328.439132 4.634051 
59328.470914 3.630131 
59328.502696 2.608846 
59328.534478 1.570968 
59328.566260 0.517293 
59328.598042 -0.551367 
59328.629824 -1.634176 
59328.661606 -2.730283 
59328.693388 -3.838816 
59328.725170 -4.958890 
59328.756952 -6.089603 
59328.788734 -7.230038 
59328.820516 -8.379266 
59328.852298 -9.536342 
