# time model 
59290.205401 1.450519 
59290.237182 1.448670 
59290.268964 1.446810 
59290.300746 1.444941 
59290.332528 1.443063 
59290.364310 1.441175 
59290.396092 1.439277 
59290.427874 1.437370 
59290.459656 1.435454 
59290.491438 1.433529 
59290.523220 1.431594 
59290.555002 1.429649 
59290.586784 1.427696 
59290.618566 1.425733 
59290.650348 1.423761 
59290.682130 1.421779 
59290.713912 1.419789 
59290.745694 1.417789 
59290.777476 1.415780 
59290.809258 1.413762 
59290.841040 1.411735 
59290.872822 1.409699 
59290.904604 1.407654 
59290.936386 1.405600 
59290.968168 1.403536 
59290.999950 1.401464 
59291.031732 1.399383 
59291.063514 1.397293 
59291.095296 1.395194 
59291.127078 1.393086 
59291.158860 1.390969 
59291.190642 1.388844 
59291.222424 1.386709 
59291.254206 1.384566 
59291.285988 1.382414 
59291.317770 1.380253 
59291.349552 1.378084 
59291.381334 1.375906 
59291.413116 1.373719 
59291.444898 1.371524 
59291.476680 1.369320 
59291.508462 1.367107 
59291.540244 1.364886 
59291.572026 1.362656 
59291.603808 1.360418 
59291.635590 1.358171 
59291.667372 1.355916 
59291.699154 1.353652 
59291.730936 1.351380 
59291.762718 1.349099 
59291.794500 1.346810 
59291.826282 1.344512 
59291.858064 1.342207 
59291.889846 1.339893 
59291.921628 1.337570 
59291.953410 1.335240 
59291.985192 1.332901 
59292.016974 1.330553 
59292.048756 1.328198 
59292.080538 1.325834 
59292.112320 1.323462 
59292.144102 1.321083 
59292.175884 1.318694 
59292.207666 1.316298 
59292.239448 1.313894 
59292.271230 1.311481 
59292.303012 1.309061 
59292.334794 1.306633 
59292.366576 1.304196 
59292.398358 1.301752 
59292.430140 1.299299 
59292.461922 1.296839 
59292.493704 1.294370 
59292.525486 1.291894 
59292.557268 1.289410 
59292.589050 1.286918 
59292.620832 1.284418 
59292.652614 1.281911 
59292.684396 1.279395 
59292.716178 1.276872 
59292.747960 1.274341 
59292.779742 1.271802 
59292.811524 1.269256 
59292.843306 1.266701 
59292.875088 1.264139 
59292.906869 1.261570 
59292.938651 1.258993 
59292.970433 1.256408 
59293.002215 1.253815 
59293.033997 1.251215 
59293.065779 1.248608 
59293.097561 1.245992 
59293.129343 1.243370 
59293.161125 1.240740 
59293.192907 1.238102 
59293.224689 1.235457 
59293.256471 1.232804 
59293.288253 1.230144 
59293.320035 1.227476 
59293.351817 1.224801 
59293.383599 1.222119 
59293.415381 1.219430 
59293.447163 1.216733 
59293.478945 1.214028 
59293.510727 1.211317 
59293.542509 1.208598 
59293.574291 1.205871 
59293.606073 1.203138 
59293.637855 1.200397 
59293.669637 1.197649 
59293.701419 1.194894 
59293.733201 1.192132 
