# time model 
59290.205401 5.030272 
59290.237182 4.967275 
59290.268964 4.903097 
59290.300746 4.837808 
59290.332528 4.771476 
59290.364310 4.704171 
59290.396092 4.635963 
59290.427874 4.566923 
59290.459656 4.497121 
59290.491438 4.426630 
59290.523220 4.355520 
59290.555002 4.283864 
59290.586784 4.211731 
59290.618566 4.139195 
59290.650348 4.066326 
59290.682130 3.993195 
59290.713912 3.919874 
59290.745694 3.846431 
59290.777476 3.772938 
59290.809258 3.699463 
59290.841040 3.626074 
59290.872822 3.552840 
59290.904604 3.479827 
59290.936386 3.407100 
59290.968168 3.334726 
59290.999950 3.262768 
59291.031732 3.191288 
59291.063514 3.120348 
59291.095296 3.050008 
59291.127078 2.980328 
59291.158860 2.911363 
59291.190642 2.843171 
59291.222424 2.775806 
59291.254206 2.709320 
59291.285988 2.643765 
59291.317770 2.579189 
59291.349552 2.515641 
59291.381334 2.453165 
59291.413116 2.391807 
59291.444898 2.331608 
59291.476680 2.272608 
59291.508462 2.214844 
59291.540244 2.158353 
59291.572026 2.103169 
59291.603808 2.049324 
59291.635590 1.996847 
59291.667372 1.945765 
59291.699154 1.896105 
59291.730936 1.847889 
59291.762718 1.801137 
59291.794500 1.755870 
59291.826282 1.712104 
59291.858064 1.669852 
59291.889846 1.629127 
59291.921628 1.589939 
59291.953410 1.552295 
59291.985192 1.516201 
59292.016974 1.481660 
59292.048756 1.448673 
59292.080538 1.417238 
59292.112320 1.387354 
59292.144102 1.359013 
59292.175884 1.332209 
59292.207666 1.306931 
59292.239448 1.283169 
59292.271230 1.260909 
59292.303012 1.240134 
59292.334794 1.220827 
59292.366576 1.202969 
59292.398358 1.186538 
59292.430140 1.171510 
59292.461922 1.157862 
59292.493704 1.145566 
59292.525486 1.134593 
59292.557268 1.124915 
59292.589050 1.116499 
59292.620832 1.109312 
59292.652614 1.103320 
59292.684396 1.098486 
59292.716178 1.094775 
59292.747960 1.092147 
59292.779742 1.090563 
59292.811524 1.089983 
59292.843306 1.090364 
59292.875088 1.091664 
59292.906869 1.093839 
59292.938651 1.096845 
59292.970433 1.100638 
59293.002215 1.105170 
59293.033997 1.110396 
59293.065779 1.116269 
59293.097561 1.122742 
59293.129343 1.129766 
59293.161125 1.137294 
59293.192907 1.145278 
59293.224689 1.153669 
59293.256471 1.162418 
59293.288253 1.171478 
59293.320035 1.180800 
59293.351817 1.190336 
59293.383599 1.200037 
59293.415381 1.209857 
59293.447163 1.219748 
59293.478945 1.229663 
59293.510727 1.239556 
59293.542509 1.249380 
59293.574291 1.259092 
59293.606073 1.268647 
59293.637855 1.278001 
59293.669637 1.287111 
59293.701419 1.295936 
59293.733201 1.304436 
59293.764983 1.312569 
59293.796765 1.320298 
59293.828547 1.327585 
59293.860329 1.334393 
59293.892111 1.340689 
59293.923893 1.346437 
59293.955675 1.351605 
59293.987457 1.356163 
59294.019239 1.360080 
59294.051021 1.363329 
59294.082803 1.365883 
59294.114585 1.367717 
59294.146367 1.368806 
59294.178149 1.369130 
59294.209931 1.368668 
59294.241713 1.367401 
59294.273495 1.365313 
59294.305277 1.362387 
59294.337059 1.358610 
59294.368841 1.353971 
59294.400623 1.348459 
59294.432405 1.342066 
59294.464187 1.334784 
59294.495969 1.326610 
59294.527751 1.317539 
59294.559533 1.307570 
59294.591315 1.296704 
59294.623097 1.284942 
59294.654879 1.272288 
59294.686661 1.258748 
59294.718443 1.244328 
