# time model 
59325.801227 0.173786 
59325.833009 0.124497 
59325.864791 0.072986 
59325.896573 0.019296 
59325.928355 -0.036528 
59325.960137 -0.094437 
59325.991919 -0.154377 
59326.023701 -0.216291 
59326.055483 -0.280119 
59326.087265 -0.345794 
59326.119047 -0.413250 
59326.150829 -0.482413 
59326.182611 -0.553209 
59326.214393 -0.625559 
59326.246175 -0.699379 
59326.277957 -0.774585 
59326.309739 -0.851089 
59326.341521 -0.928797 
59326.373303 -1.007616 
59326.405085 -1.087448 
59326.436867 -1.168192 
59326.468649 -1.249747 
59326.500431 -1.332005 
59326.532213 -1.414861 
59326.563995 -1.498203 
59326.595777 -1.581921 
59326.627559 -1.665899 
59326.659341 -1.750023 
59326.691123 -1.834175 
59326.722905 -1.918236 
59326.754687 -2.002087 
59326.786469 -2.085606 
59326.818251 -2.168671 
59326.850033 -2.251158 
59326.881815 -2.332945 
59326.913597 -2.413907 
59326.945379 -2.493919 
59326.977161 -2.572857 
59327.008943 -2.650595 
59327.040725 -2.727010 
59327.072507 -2.801977 
59327.104289 -2.875372 
59327.136071 -2.947073 
59327.167853 -3.016957 
59327.199635 -3.084903 
59327.231417 -3.150791 
59327.263199 -3.214503 
59327.294981 -3.275922 
59327.326763 -3.334933 
59327.358545 -3.391421 
59327.390327 -3.445276 
59327.422109 -3.496388 
59327.453891 -3.544652 
59327.485673 -3.589962 
59327.517455 -3.632216 
59327.549237 -3.671317 
59327.581019 -3.707169 
59327.612801 -3.739677 
59327.644583 -3.768755 
59327.676365 -3.794314 
59327.708147 -3.816273 
59327.739929 -3.834553 
59327.771711 -3.849078 
59327.803493 -3.859778 
59327.835275 -3.866586 
59327.867057 -3.869437 
59327.898839 -3.868275 
59327.930621 -3.863043 
59327.962402 -3.853692 
59327.994184 -3.840177 
59328.025966 -3.822456 
59328.057748 -3.800492 
59328.089530 -3.774256 
59328.121312 -3.743718 
59328.153094 -3.708859 
59328.184876 -3.669659 
59328.216658 -3.626108 
59328.248440 -3.578199 
59328.280222 -3.525928 
59328.312004 -3.469299 
59328.343786 -3.408321 
59328.375568 -3.343005 
59328.407350 -3.273371 
59328.439132 -3.199441 
59328.470914 -3.121243 
59328.502696 -3.038812 
59328.534478 -2.952184 
59328.566260 -2.861405 
59328.598042 -2.766521 
59328.629824 -2.667587 
59328.661606 -2.564659 
59328.693388 -2.457803 
59328.725170 -2.347084 
59328.756952 -2.232575 
59328.788734 -2.114354 
59328.820516 -1.992502 
59328.852298 -1.867105 
59328.884080 -1.738253 
59328.915862 -1.606041 
59328.947644 -1.470568 
59328.979426 -1.331937 
59329.011208 -1.190254 
59329.042990 -1.045630 
59329.074772 -0.898179 
59329.106554 -0.748020 
59329.138336 -0.595273 
59329.170118 -0.440063 
59329.201900 -0.282518 
59329.233682 -0.122768 
59329.265464 0.039052 
59329.297246 0.202807 
59329.329028 0.368358 
59329.360810 0.535563 
59329.392592 0.704280 
59329.424374 0.874363 
59329.456156 1.045664 
59329.487938 1.218035 
59329.519720 1.391326 
59329.551502 1.565383 
59329.583284 1.740055 
59329.615066 1.915188 
59329.646848 2.090626 
59329.678630 2.266215 
59329.710412 2.441799 
59329.742194 2.617221 
59329.773976 2.792326 
59329.805758 2.966957 
59329.837540 3.140960 
59329.869322 3.314178 
59329.901104 3.486459 
59329.932886 3.657647 
59329.964668 3.827591 
59329.996450 3.996139 
59330.028232 4.163141 
59330.060014 4.328450 
59330.091796 4.491918 
59330.123578 4.653401 
59330.155360 4.812757 
59330.187142 4.969845 
59330.218924 5.124528 
59330.250706 5.276670 
59330.282488 5.426139 
59330.314270 5.572806 
59330.346052 5.716543 
59330.377834 5.857227 
59330.409616 5.994740 
59330.441398 6.128963 
59330.473180 6.259785 
59330.504962 6.387095 
59330.536744 6.510790 
59330.568526 6.630766 
59330.600308 6.746928 
59330.632090 6.859182 
59330.663871 6.967439 
59330.695653 7.071615 
59330.727435 7.171629 
59330.759217 7.267407 
59330.790999 7.358878 
59330.822781 7.445976 
59330.854563 7.528638 
59330.886345 7.606810 
59330.918127 7.680439 
59330.949909 7.749479 
59330.981691 7.813887 
59331.013473 7.873628 
59331.045255 7.928669 
59331.077037 7.978984 
59331.108819 8.024551 
59331.140601 8.065354 
59331.172383 8.101382 
59331.204165 8.132627 
59331.235947 8.159088 
59331.267729 8.180770 
59331.299511 8.197680 
59331.331293 8.209833 
59331.363075 8.217246 
59331.394857 8.219944 
59331.426639 8.217955 
59331.458421 8.211311 
59331.490203 8.200051 
59331.521985 8.184217 
59331.553767 8.163856 
59331.585549 8.139020 
59331.617331 8.109764 
59331.649113 8.076149 
59331.680895 8.038239 
59331.712677 7.996103 
59331.744459 7.949814 
59331.776241 7.899448 
59331.808023 7.845086 
59331.839805 7.786811 
59331.871587 7.724712 
59331.903369 7.658879 
59331.935151 7.589407 
59331.966933 7.516393 
59331.998715 7.439939 
59332.030497 7.360147 
59332.062279 7.277123 
59332.094061 7.190978 
59332.125843 7.101821 
59332.157625 7.009767 
59332.189407 6.914931 
59332.221189 6.817431 
59332.252971 6.717388 
59332.284753 6.614921 
59332.316535 6.510154 
59332.348317 6.403211 
59332.380099 6.294217 
59332.411881 6.183299 
59332.443663 6.070584 
59332.475445 5.956201 
59332.507227 5.840276 
59332.539009 5.722940 
59332.570791 5.604322 
59332.602573 5.484550 
59332.634355 5.363755 
59332.666137 5.242063 
59332.697919 5.119605 
59332.729701 4.996508 
59332.761483 4.872898 
59332.793265 4.748903 
59332.825047 4.624647 
59332.856829 4.500254 
59332.888611 4.375847 
59332.920393 4.251547 
59332.952175 4.127473 
59332.983957 4.003744 
59333.015739 3.880476 
59333.047521 3.757781 
59333.079303 3.635773 
59333.111085 3.514561 
59333.142867 3.394251 
59333.174649 3.274949 
59333.206431 3.156757 
59333.238213 3.039773 
59333.269995 2.924095 
59333.301777 2.809816 
59333.333559 2.697027 
59333.365340 2.585815 
59333.397122 2.476265 
59333.428904 2.368459 
59333.460686 2.262473 
59333.492468 2.158382 
59333.524250 2.056258 
59333.556032 1.956168 
59333.587814 1.858176 
59333.619596 1.762342 
59333.651378 1.668723 
59333.683160 1.577373 
59333.714942 1.488340 
59333.746724 1.401671 
59333.778506 1.317407 
59333.810288 1.235587 
59333.842070 1.156244 
59333.873852 1.079410 
59333.905634 1.005111 
59333.937416 0.933371 
59333.969198 0.864209 
59334.000980 0.797641 
59334.032762 0.733678 
59334.064544 0.672329 
59334.096326 0.613599 
59334.128108 0.557489 
59334.159890 0.503996 
59334.191672 0.453114 
59334.223454 0.404833 
59334.255236 0.359142 
59334.287018 0.316023 
59334.318800 0.275458 
59334.350582 0.237423 
59334.382364 0.201893 
59334.414146 0.168839 
59334.445928 0.138229 
59334.477710 0.110028 
59334.509492 0.084200 
59334.541274 0.060703 
59334.573056 0.039495 
59334.604838 0.020531 
59334.636620 0.003762 
59334.668402 -0.010860 
59334.700184 -0.023389 
59334.731966 -0.033879 
59334.763748 -0.042386 
59334.795530 -0.048968 
59334.827312 -0.053685 
59334.859094 -0.056599 
59334.890876 -0.057773 
59334.922658 -0.057272 
59334.954440 -0.055162 
59334.986222 -0.051509 
59335.018004 -0.046382 
59335.049786 -0.039849 
59335.081568 -0.031981 
59335.113350 -0.022848 
59335.145132 -0.012522 
59335.176914 -0.001073 
59335.208696 0.011425 
59335.240478 0.024902 
59335.272260 0.039284 
59335.304042 0.054499 
59335.335824 0.070475 
59335.367606 0.087141 
59335.399388 0.104424 
59335.431170 0.122254 
59335.462952 0.140559 
59335.494734 0.159271 
59335.526516 0.178320 
59335.558298 0.197638 
59335.590080 0.217157 
59335.621862 0.236811 
59335.653644 0.256536 
59335.685426 0.276268 
59335.717208 0.295944 
59335.748990 0.315504 
59335.780772 0.334887 
59335.812554 0.354037 
59335.844336 0.372897 
59335.876118 0.391413 
59335.907900 0.409532 
59335.939682 0.427203 
59335.971464 0.444378 
59336.003246 0.461011 
59336.035028 0.477055 
59336.066809 0.492469 
59336.098591 0.507213 
59336.130373 0.521247 
59336.162155 0.534537 
59336.193937 0.547047 
59336.225719 0.558748 
59336.257501 0.569609 
59336.289283 0.579603 
59336.321065 0.588707 
59336.352847 0.596898 
59336.384629 0.604157 
59336.416411 0.610465 
59336.448193 0.615808 
59336.479975 0.620174 
59336.511757 0.623552 
59336.543539 0.625934 
59336.575321 0.627315 
59336.607103 0.627692 
59336.638885 0.627063 
59336.670667 0.625430 
59336.702449 0.622797 
59336.734231 0.619169 
59336.766013 0.614554 
59336.797795 0.608963 
59336.829577 0.602408 
59336.861359 0.594902 
59336.893141 0.586463 
59336.924923 0.577108 
59336.956705 0.566858 
59336.988487 0.555734 
59337.020269 0.543760 
59337.052051 0.530961 
