# time model 
59325.801227 8.913520 
59325.833009 9.394524 
59325.864791 9.879439 
59325.896573 10.367620 
59325.928355 10.858411 
59325.960137 11.351140 
59325.991919 11.845122 
59326.023701 12.339663 
59326.055483 12.834055 
59326.087265 13.327583 
59326.119047 13.819520 
59326.150829 14.309134 
59326.182611 14.795683 
59326.214393 15.278420 
59326.246175 15.756594 
59326.277957 16.229449 
59326.309739 16.696223 
59326.341521 17.156157 
59326.373303 17.608488 
59326.405085 18.052452 
59326.436867 18.487287 
59326.468649 18.912235 
59326.500431 19.326538 
59326.532213 19.729443 
59326.563995 20.120203 
59326.595777 20.498077 
59326.627559 20.862330 
59326.659341 21.212237 
59326.691123 21.547082 
59326.722905 21.866158 
59326.754687 22.168772 
59326.786469 22.454240 
59326.818251 22.721894 
59326.850033 22.971080 
59326.881815 23.201158 
59326.913597 23.411506 
59326.945379 23.601519 
59326.977161 23.770608 
59327.008943 23.918207 
59327.040725 24.043766 
59327.072507 24.146757 
59327.104289 24.226677 
59327.136071 24.283039 
59327.167853 24.315385 
59327.199635 24.323278 
59327.231417 24.306307 
59327.263199 24.264085 
59327.294981 24.196251 
59327.326763 24.102472 
59327.358545 23.982443 
59327.390327 23.835883 
59327.422109 23.662542 
59327.453891 23.462200 
59327.485673 23.234664 
59327.517455 22.979770 
59327.549237 22.697387 
59327.581019 22.387413 
59327.612801 22.049775 
59327.644583 21.684433 
59327.676365 21.291378 
59327.708147 20.870632 
59327.739929 20.422247 
59327.771711 19.946309 
59327.803493 19.442935 
59327.835275 18.912272 
59327.867057 18.354500 
59327.898839 17.769831 
59327.930621 17.158508 
59327.962402 16.520805 
59327.994184 15.857027 
59328.025966 15.167510 
59328.057748 14.452620 
59328.089530 13.712756 
59328.121312 12.948343 
59328.153094 12.159839 
59328.184876 11.347729 
59328.216658 10.512527 
59328.248440 9.654776 
59328.280222 8.775046 
59328.312004 7.873933 
59328.343786 6.952061 
59328.375568 6.010080 
59328.407350 5.048663 
59328.439132 4.068509 
59328.470914 3.070341 
59328.502696 2.054903 
59328.534478 1.022961 
59328.566260 -0.024695 
59328.598042 -1.087258 
59328.629824 -2.163900 
59328.661606 -3.253774 
59328.693388 -4.356018 
59328.725170 -5.469751 
59328.756952 -6.594078 
59328.788734 -7.728088 
59328.820516 -8.870857 
59328.852298 -10.021451 
59328.884080 -11.178921 
59328.915862 -12.342311 
59328.947644 -13.510652 
59328.979426 -14.682971 
59329.011208 -15.858286 
59329.042990 -17.035609 
59329.074772 -18.213949 
59329.106554 -19.392310 
59329.138336 -20.569693 
59329.170118 -21.745101 
59329.201900 -22.917533 
59329.233682 -24.085992 
59329.265464 -25.249483 
59329.297246 -26.407012 
59329.329028 -27.557593 
59329.360810 -28.700243 
59329.392592 -29.833988 
59329.424374 -30.957861 
59329.456156 -32.070903 
59329.487938 -33.172167 
59329.519720 -34.260716 
59329.551502 -35.335628 
59329.583284 -36.395990 
59329.615066 -37.440908 
59329.646848 -38.469501 
59329.678630 -39.480904 
59329.710412 -40.474272 
59329.742194 -41.448776 
59329.773976 -42.403608 
59329.805758 -43.337979 
59329.837540 -44.251123 
59329.869322 -45.142293 
