# time model 
59290.205401 1.500247 
59290.237182 1.498964 
59290.268964 1.497671 
59290.300746 1.496367 
59290.332528 1.495053 
59290.364310 1.493729 
59290.396092 1.492394 
59290.427874 1.491049 
59290.459656 1.489693 
59290.491438 1.488328 
59290.523220 1.486952 
59290.555002 1.485566 
59290.586784 1.484170 
59290.618566 1.482764 
59290.650348 1.481348 
59290.682130 1.479922 
59290.713912 1.478486 
59290.745694 1.477040 
59290.777476 1.475584 
59290.809258 1.474119 
59290.841040 1.472643 
59290.872822 1.471157 
59290.904604 1.469662 
59290.936386 1.468157 
59290.968168 1.466642 
59290.999950 1.465118 
59291.031732 1.463584 
59291.063514 1.462040 
59291.095296 1.460487 
59291.127078 1.458924 
59291.158860 1.457351 
59291.190642 1.455769 
59291.222424 1.454178 
59291.254206 1.452577 
59291.285988 1.450967 
59291.317770 1.449347 
59291.349552 1.447718 
59291.381334 1.446079 
59291.413116 1.444432 
59291.444898 1.442775 
59291.476680 1.441108 
59291.508462 1.439433 
59291.540244 1.437748 
59291.572026 1.436054 
59291.603808 1.434351 
59291.635590 1.432639 
59291.667372 1.430918 
59291.699154 1.429188 
59291.730936 1.427448 
59291.762718 1.425700 
59291.794500 1.423943 
59291.826282 1.422177 
59291.858064 1.420401 
59291.889846 1.418617 
59291.921628 1.416825 
59291.953410 1.415023 
59291.985192 1.413212 
59292.016974 1.411393 
59292.048756 1.409565 
59292.080538 1.407728 
59292.112320 1.405883 
59292.144102 1.404029 
59292.175884 1.402166 
59292.207666 1.400294 
59292.239448 1.398414 
59292.271230 1.396526 
59292.303012 1.394628 
59292.334794 1.392723 
59292.366576 1.390809 
59292.398358 1.388886 
59292.430140 1.386955 
59292.461922 1.385015 
59292.493704 1.383067 
59292.525486 1.381111 
59292.557268 1.379147 
59292.589050 1.377174 
59292.620832 1.375192 
59292.652614 1.373203 
59292.684396 1.371205 
59292.716178 1.369199 
59292.747960 1.367185 
59292.779742 1.365162 
59292.811524 1.363132 
59292.843306 1.361093 
59292.875088 1.359047 
59292.906869 1.356992 
59292.938651 1.354929 
59292.970433 1.352858 
59293.002215 1.350779 
59293.033997 1.348692 
59293.065779 1.346597 
59293.097561 1.344494 
59293.129343 1.342383 
59293.161125 1.340265 
