# time model 
59290.205401 4.812593 
59290.237182 4.754956 
59290.268964 4.696227 
59290.300746 4.636467 
59290.332528 4.575742 
59290.364310 4.514113 
59290.396092 4.451646 
59290.427874 4.388406 
59290.459656 4.324458 
59290.491438 4.259867 
59290.523220 4.194699 
59290.555002 4.129019 
59290.586784 4.062894 
59290.618566 3.996389 
59290.650348 3.929570 
59290.682130 3.862502 
59290.713912 3.795249 
59290.745694 3.727877 
59290.777476 3.660450 
59290.809258 3.593031 
59290.841040 3.525684 
59290.872822 3.458470 
59290.904604 3.391452 
59290.936386 3.324689 
59290.968168 3.258243 
59290.999950 3.192171 
59291.031732 3.126531 
59291.063514 3.061381 
59291.095296 2.996776 
59291.127078 2.932769 
59291.158860 2.869415 
59291.190642 2.806764 
59291.222424 2.744867 
59291.254206 2.683773 
59291.285988 2.623528 
59291.317770 2.564179 
59291.349552 2.505770 
59291.381334 2.448342 
59291.413116 2.391937 
59291.444898 2.336593 
59291.476680 2.282348 
59291.508462 2.229236 
59291.540244 2.177292 
59291.572026 2.126546 
59291.603808 2.077029 
59291.635590 2.028767 
59291.667372 1.981787 
59291.699154 1.936113 
59291.730936 1.891765 
59291.762718 1.848765 
59291.794500 1.807128 
59291.826282 1.766872 
59291.858064 1.728009 
59291.889846 1.690551 
59291.921628 1.654508 
59291.953410 1.619886 
59291.985192 1.586692 
59292.016974 1.554929 
59292.048756 1.524598 
59292.080538 1.495699 
59292.112320 1.468229 
59292.144102 1.442182 
59292.175884 1.417554 
59292.207666 1.394335 
59292.239448 1.372515 
59292.271230 1.352081 
59292.303012 1.333021 
59292.334794 1.315317 
59292.366576 1.298952 
59292.398358 1.283908 
59292.430140 1.270163 
59292.461922 1.257694 
59292.493704 1.246477 
59292.525486 1.236486 
59292.557268 1.227695 
59292.589050 1.220075 
59292.620832 1.213595 
59292.652614 1.208224 
59292.684396 1.203930 
59292.716178 1.200678 
59292.747960 1.198434 
59292.779742 1.197161 
59292.811524 1.196823 
59292.843306 1.197381 
59292.875088 1.198797 
59292.906869 1.201029 
59292.938651 1.204039 
59292.970433 1.207784 
59293.002215 1.212223 
59293.033997 1.217312 
59293.065779 1.223010 
59293.097561 1.229272 
59293.129343 1.236055 
59293.161125 1.243315 
59293.192907 1.251007 
59293.224689 1.259088 
59293.256471 1.267511 
59293.288253 1.276233 
59293.320035 1.285210 
59293.351817 1.294397 
59293.383599 1.303750 
59293.415381 1.313224 
59293.447163 1.322777 
59293.478945 1.332366 
59293.510727 1.341946 
59293.542509 1.351477 
59293.574291 1.360917 
59293.606073 1.370225 
59293.637855 1.379360 
59293.669637 1.388283 
59293.701419 1.396955 
59293.733201 1.405339 
59293.764983 1.413398 
59293.796765 1.421095 
59293.828547 1.428397 
59293.860329 1.435269 
59293.892111 1.441678 
59293.923893 1.447594 
59293.955675 1.452986 
59293.987457 1.457824 
59294.019239 1.462083 
59294.051021 1.465734 
59294.082803 1.468753 
59294.114585 1.471117 
59294.146367 1.472804 
59294.178149 1.473792 
59294.209931 1.474063 
59294.241713 1.473599 
59294.273495 1.472383 
59294.305277 1.470402 
59294.337059 1.467642 
59294.368841 1.464091 
59294.400623 1.459740 
59294.432405 1.454581 
59294.464187 1.448606 
59294.495969 1.441811 
59294.527751 1.434191 
59294.559533 1.425746 
59294.591315 1.416475 
59294.623097 1.406378 
59294.654879 1.395459 
59294.686661 1.383722 
