# time model 
59325.801227 -1.050305 
59325.833009 -1.103821 
59325.864791 -1.159558 
59325.896573 -1.217468 
59325.928355 -1.277500 
59325.960137 -1.339597 
59325.991919 -1.403701 
59326.023701 -1.469747 
59326.055483 -1.537670 
59326.087265 -1.607397 
59326.119047 -1.678854 
59326.150829 -1.751963 
59326.182611 -1.826642 
59326.214393 -1.902806 
59326.246175 -1.980366 
59326.277957 -2.059230 
59326.309739 -2.139303 
59326.341521 -2.220488 
59326.373303 -2.302682 
59326.405085 -2.385783 
59326.436867 -2.469685 
59326.468649 -2.554278 
59326.500431 -2.639450 
59326.532213 -2.725090 
59326.563995 -2.811080 
59326.595777 -2.897303 
59326.627559 -2.983641 
59326.659341 -3.069971 
59326.691123 -3.156171 
59326.722905 -3.242118 
59326.754687 -3.327686 
59326.786469 -3.412749 
59326.818251 -3.497181 
59326.850033 -3.580854 
59326.881815 -3.663639 
59326.913597 -3.745409 
59326.945379 -3.826035 
59326.977161 -3.905389 
59327.008943 -3.983342 
59327.040725 -4.059766 
59327.072507 -4.134534 
59327.104289 -4.207520 
59327.136071 -4.278598 
59327.167853 -4.347643 
59327.199635 -4.414533 
59327.231417 -4.479145 
59327.263199 -4.541359 
59327.294981 -4.601057 
59327.326763 -4.658122 
59327.358545 -4.712441 
59327.390327 -4.763901 
59327.422109 -4.812392 
59327.453891 -4.857809 
59327.485673 -4.900047 
59327.517455 -4.939004 
59327.549237 -4.974583 
59327.581019 -5.006690 
59327.612801 -5.035232 
59327.644583 -5.060121 
59327.676365 -5.081275 
59327.708147 -5.098612 
59327.739929 -5.112055 
59327.771711 -5.121533 
59327.803493 -5.126978 
59327.835275 -5.128325 
59327.867057 -5.125514 
59327.898839 -5.118492 
59327.930621 -5.107206 
59327.962402 -5.091612 
59327.994184 -5.071668 
59328.025966 -5.047339 
59328.057748 -5.018592 
59328.089530 -4.985402 
59328.121312 -4.947746 
59328.153094 -4.905610 
59328.184876 -4.858981 
59328.216658 -4.807854 
59328.248440 -4.752228 
59328.280222 -4.692107 
59328.312004 -4.627501 
59328.343786 -4.558425 
59328.375568 -4.484899 
59328.407350 -4.406948 
59328.439132 -4.324603 
59328.470914 -4.237900 
59328.502696 -4.146880 
59328.534478 -4.051589 
59328.566260 -3.952079 
59328.598042 -3.848405 
59328.629824 -3.740630 
59328.661606 -3.628819 
59328.693388 -3.513044 
59328.725170 -3.393382 
59328.756952 -3.269912 
59328.788734 -3.142721 
59328.820516 -3.011898 
59328.852298 -2.877539 
59328.884080 -2.739743 
59328.915862 -2.598612 
59328.947644 -2.454254 
59328.979426 -2.306781 
59329.011208 -2.156308 
59329.042990 -2.002954 
59329.074772 -1.846842 
59329.106554 -1.688100 
59329.138336 -1.526855 
59329.170118 -1.363241 
59329.201900 -1.197395 
59329.233682 -1.029455 
59329.265464 -0.859563 
59329.297246 -0.687863 
59329.329028 -0.514502 
59329.360810 -0.339628 
59329.392592 -0.163393 
59329.424374 0.014051 
59329.456156 0.192549 
59329.487938 0.371945 
59329.519720 0.552082 
59329.551502 0.732801 
59329.583284 0.913942 
59329.615066 1.095346 
59329.646848 1.276852 
59329.678630 1.458298 
59329.710412 1.639522 
59329.742194 1.820365 
59329.773976 2.000664 
59329.805758 2.180258 
59329.837540 2.358987 
59329.869322 2.536692 
59329.901104 2.713214 
59329.932886 2.888395 
59329.964668 3.062080 
59329.996450 3.234114 
59330.028232 3.404343 
59330.060014 3.572618 
59330.091796 3.738788 
59330.123578 3.902707 
59330.155360 4.064231 
59330.187142 4.223218 
59330.218924 4.379528 
59330.250706 4.533025 
59330.282488 4.683577 
59330.314270 4.831053 
59330.346052 4.975327 
59330.377834 5.116274 
59330.409616 5.253777 
59330.441398 5.387719 
59330.473180 5.517988 
59330.504962 5.644477 
59330.536744 5.767081 
59330.568526 5.885701 
59330.600308 6.000243 
59330.632090 6.110615 
59330.663871 6.216731 
59330.695653 6.318511 
59330.727435 6.415877 
59330.759217 6.508757 
59330.790999 6.597085 
59330.822781 6.680798 
59330.854563 6.759839 
59330.886345 6.834157 
59330.918127 6.903704 
59330.949909 6.968439 
59330.981691 7.028326 
59331.013473 7.083332 
59331.045255 7.133432 
59331.077037 7.178606 
59331.108819 7.218836 
59331.140601 7.254114 
59331.172383 7.284433 
59331.204165 7.309794 
59331.235947 7.330202 
59331.267729 7.345668 
59331.299511 7.356207 
59331.331293 7.361839 
59331.363075 7.362591 
59331.394857 7.358493 
59331.426639 7.349581 
59331.458421 7.335895 
59331.490203 7.317480 
59331.521985 7.294387 
59331.553767 7.266671 
59331.585549 7.234389 
59331.617331 7.197607 
59331.649113 7.156391 
59331.680895 7.110815 
59331.712677 7.060955 
59331.744459 7.006890 
59331.776241 6.948706 
59331.808023 6.886491 
59331.839805 6.820335 
59331.871587 6.750336 
59331.903369 6.676590 
59331.935151 6.599201 
59331.966933 6.518272 
59331.998715 6.433913 
59332.030497 6.346233 
59332.062279 6.255347 
59332.094061 6.161370 
59332.125843 6.064420 
59332.157625 5.964618 
59332.189407 5.862087 
59332.221189 5.756950 
59332.252971 5.649334 
59332.284753 5.539367 
59332.316535 5.427176 
59332.348317 5.312892 
59332.380099 5.196647 
59332.411881 5.078572 
59332.443663 4.958801 
59332.475445 4.837465 
59332.507227 4.714699 
59332.539009 4.590636 
59332.570791 4.465410 
59332.602573 4.339155 
59332.634355 4.212004 
59332.666137 4.084089 
59332.697919 3.955542 
59332.729701 3.826496 
59332.761483 3.697080 
59332.793265 3.567424 
59332.825047 3.437655 
59332.856829 3.307901 
59332.888611 3.178285 
59332.920393 3.048932 
59332.952175 2.919963 
59332.983957 2.791496 
59333.015739 2.663651 
59333.047521 2.536541 
59333.079303 2.410280 
59333.111085 2.284977 
59333.142867 2.160741 
59333.174649 2.037676 
59333.206431 1.915885 
59333.238213 1.795465 
59333.269995 1.676515 
59333.301777 1.559126 
59333.333559 1.443389 
59333.365340 1.329389 
59333.397122 1.217211 
59333.428904 1.106933 
59333.460686 0.998632 
59333.492468 0.892381 
59333.524250 0.788248 
59333.556032 0.686299 
59333.587814 0.586596 
59333.619596 0.489196 
59333.651378 0.394152 
59333.683160 0.301517 
59333.714942 0.211334 
59333.746724 0.123648 
59333.778506 0.038497 
59333.810288 -0.044085 
59333.842070 -0.124067 
59333.873852 -0.201422 
59333.905634 -0.276127 
59333.937416 -0.348162 
59333.969198 -0.417513 
59334.000980 -0.484168 
59334.032762 -0.548119 
59334.064544 -0.609363 
59334.096326 -0.667898 
59334.128108 -0.723729 
59334.159890 -0.776862 
59334.191672 -0.827308 
59334.223454 -0.875081 
59334.255236 -0.920198 
59334.287018 -0.962681 
59334.318800 -1.002552 
59334.350582 -1.039840 
59334.382364 -1.074576 
59334.414146 -1.106791 
59334.445928 -1.136524 
59334.477710 -1.163813 
59334.509492 -1.188700 
59334.541274 -1.211229 
59334.573056 -1.231450 
59334.604838 -1.249410 
59334.636620 -1.265162 
59334.668402 -1.278760 
59334.700184 -1.290261 
59334.731966 -1.299724 
59334.763748 -1.307208 
59334.795530 -1.312776 
59334.827312 -1.316491 
59334.859094 -1.318420 
59334.890876 -1.318628 
59334.922658 -1.317185 
59334.954440 -1.314159 
59334.986222 -1.309620 
59335.018004 -1.303640 
59335.049786 -1.296291 
59335.081568 -1.287645 
59335.113350 -1.277777 
59335.145132 -1.266760 
59335.176914 -1.254667 
59335.208696 -1.241574 
59335.240478 -1.227554 
59335.272260 -1.212682 
59335.304042 -1.197032 
59335.335824 -1.180678 
59335.367606 -1.163693 
59335.399388 -1.146150 
59335.431170 -1.128123 
59335.462952 -1.109681 
59335.494734 -1.090897 
59335.526516 -1.071839 
59335.558298 -1.052578 
59335.590080 -1.033179 
59335.621862 -1.013711 
59335.653644 -0.994237 
59335.685426 -0.974822 
59335.717208 -0.955528 
59335.748990 -0.936416 
59335.780772 -0.917543 
59335.812554 -0.898968 
59335.844336 -0.880746 
59335.876118 -0.862930 
59335.907900 -0.845572 
59335.939682 -0.828721 
59335.971464 -0.812425 
59336.003246 -0.796728 
59336.035028 -0.781675 
59336.066809 -0.767306 
59336.098591 -0.753659 
59336.130373 -0.740771 
59336.162155 -0.728676 
59336.193937 -0.717406 
59336.225719 -0.706990 
59336.257501 -0.697454 
59336.289283 -0.688823 
59336.321065 -0.681119 
59336.352847 -0.674362 
59336.384629 -0.668569 
59336.416411 -0.663754 
59336.448193 -0.659930 
59336.479975 -0.657106 
59336.511757 -0.655289 
59336.543539 -0.654486 
59336.575321 -0.654698 
59336.607103 -0.655926 
59336.638885 -0.658167 
59336.670667 -0.661417 
59336.702449 -0.665670 
59336.734231 -0.670916 
59336.766013 -0.677145 
59336.797795 -0.684344 
59336.829577 -0.692497 
59336.861359 -0.701587 
59336.893141 -0.711595 
59336.924923 -0.722500 
59336.956705 -0.734278 
59336.988487 -0.746906 
59337.020269 -0.760355 
59337.052051 -0.774599 
59337.083833 -0.789608 
59337.115615 -0.805350 
59337.147397 -0.821793 
59337.179179 -0.838903 
59337.210961 -0.856644 
59337.242743 -0.874980 
59337.274525 -0.893874 
59337.306307 -0.913286 
59337.338089 -0.933178 
59337.369871 -0.953508 
59337.401653 -0.974236 
59337.433435 -0.995319 
59337.465217 -1.016716 
59337.496999 -1.038383 
59337.528781 -1.060277 
59337.560563 -1.082354 
59337.592345 -1.104569 
59337.624127 -1.126880 
59337.655909 -1.149241 
59337.687691 -1.171609 
59337.719473 -1.193938 
59337.751255 -1.216186 
59337.783037 -1.238309 
59337.814819 -1.260262 
59337.846601 -1.282004 
59337.878383 -1.303492 
59337.910165 -1.324684 
59337.941947 -1.345538 
59337.973729 -1.366015 
59338.005511 -1.386075 
59338.037293 -1.405679 
59338.069075 -1.424789 
59338.100857 -1.443369 
59338.132639 -1.461382 
59338.164421 -1.478795 
59338.196203 -1.495574 
59338.227985 -1.511688 
59338.259767 -1.527104 
59338.291549 -1.541795 
59338.323331 -1.555731 
59338.355113 -1.568887 
59338.386895 -1.581238 
59338.418677 -1.592760 
59338.450459 -1.603432 
59338.482241 -1.613232 
59338.514023 -1.622144 
59338.545805 -1.630149 
59338.577587 -1.637233 
59338.609369 -1.643383 
59338.641151 -1.648585 
59338.672933 -1.652832 
59338.704715 -1.656114 
59338.736497 -1.658425 
59338.768278 -1.659761 
59338.800060 -1.660118 
59338.831842 -1.659497 
59338.863624 -1.657896 
59338.895406 -1.655320 
59338.927188 -1.651771 
59338.958970 -1.647257 
59338.990752 -1.641786 
59339.022534 -1.635365 
59339.054316 -1.628007 
59339.086098 -1.619724 
59339.117880 -1.610532 
59339.149662 -1.600445 
59339.181444 -1.589481 
59339.213226 -1.577660 
59339.245008 -1.565002 
59339.276790 -1.551529 
59339.308572 -1.537265 
59339.340354 -1.522233 
59339.372136 -1.506461 
59339.403918 -1.489976 
59339.435700 -1.472806 
59339.467482 -1.454980 
59339.499264 -1.436530 
59339.531046 -1.417488 
59339.562828 -1.397885 
59339.594610 -1.377755 
59339.626392 -1.357133 
59339.658174 -1.336055 
59339.689956 -1.314555 
59339.721738 -1.292671 
59339.753520 -1.270440 
59339.785302 -1.247899 
59339.817084 -1.225086 
59339.848866 -1.202039 
59339.880648 -1.178798 
59339.912430 -1.155401 
59339.944212 -1.131888 
59339.975994 -1.108297 
59340.007776 -1.084667 
59340.039558 -1.061038 
59340.071340 -1.037449 
59340.103122 -1.013938 
59340.134904 -0.990544 
59340.166686 -0.967305 
59340.198468 -0.944258 
