# time model 
59325.801227 16.437389 
59325.833009 16.918725 
59325.864791 17.404767 
59325.896573 17.894883 
59325.928355 18.388429 
59325.960137 18.884745 
59325.991919 19.383158 
59326.023701 19.882981 
59326.055483 20.383517 
59326.087265 20.884058 
59326.119047 21.383885 
59326.150829 21.882269 
59326.182611 22.378476 
59326.214393 22.871761 
59326.246175 23.361377 
59326.277957 23.846568 
59326.309739 24.326576 
59326.341521 24.800638 
59326.373303 25.267992 
59326.405085 25.727871 
59326.436867 26.179511 
59326.468649 26.622148 
59326.500431 27.055018 
59326.532213 27.477364 
59326.563995 27.888430 
59326.595777 28.287467 
59326.627559 28.673731 
59326.659341 29.046485 
59326.691123 29.405003 
59326.722905 29.748566 
59326.754687 30.076465 
59326.786469 30.388004 
59326.818251 30.682500 
59326.850033 30.959281 
59326.881815 31.217692 
59326.913597 31.457092 
59326.945379 31.676858 
59326.977161 31.876381 
59327.008943 32.055073 
59327.040725 32.212366 
59327.072507 32.347709 
59327.104289 32.460575 
59327.136071 32.550456 
59327.167853 32.616867 
59327.199635 32.659350 
59327.231417 32.677465 
59327.263199 32.670801 
59327.294981 32.638972 
59327.326763 32.581617 
59327.358545 32.498402 
59327.390327 32.389021 
59327.422109 32.253194 
59327.453891 32.090673 
59327.485673 31.901234 
59327.517455 31.684688 
59327.549237 31.440871 
59327.581019 31.169651 
59327.612801 30.870926 
59327.644583 30.544627 
59327.676365 30.190713 
59327.708147 29.809175 
59327.739929 29.400036 
59327.771711 28.963351 
59327.803493 28.499205 
59327.835275 28.007717 
59327.867057 27.489035 
59327.898839 26.943341 
59327.930621 26.370847 
59327.962402 25.771798 
59327.994184 25.146468 
59328.025966 24.495165 
59328.057748 23.818226 
59328.089530 23.116018 
59328.121312 22.388941 
59328.153094 21.637422 
59328.184876 20.861920 
59328.216658 20.062921 
59328.248440 19.240941 
59328.280222 18.396523 
59328.312004 17.530238 
59328.343786 16.642686 
59328.375568 15.734489 
59328.407350 14.806298 
59328.439132 13.858789 
59328.470914 12.892660 
59328.502696 11.908635 
59328.534478 10.907458 
59328.566260 9.889898 
59328.598042 8.856742 
59328.629824 7.808800 
59328.661606 6.746898 
59328.693388 5.671883 
59328.725170 4.584619 
59328.756952 3.485984 
59328.788734 2.376875 
59328.820516 1.258200 
59328.852298 0.130882 
59328.884080 -1.004144 
59328.915862 -2.145931 
59328.947644 -3.293525 
59328.979426 -4.445959 
59329.011208 -5.602261 
59329.042990 -6.761451 
59329.074772 -7.922545 
59329.106554 -9.084552 
59329.138336 -10.246479 
59329.170118 -11.407333 
59329.201900 -12.566116 
59329.233682 -13.721834 
59329.265464 -14.873492 
59329.297246 -16.020098 
59329.329028 -17.160664 
59329.360810 -18.294206 
59329.392592 -19.419749 
59329.424374 -20.536320 
59329.456156 -21.642959 
59329.487938 -22.738713 
59329.519720 -23.822640 
59329.551502 -24.893809 
59329.583284 -25.951302 
59329.615066 -26.994214 
59329.646848 -28.021658 
59329.678630 -29.032757 
59329.710412 -30.026657 
59329.742194 -31.002516 
59329.773976 -31.959514 
59329.805758 -32.896851 
59329.837540 -33.813746 
59329.869322 -34.709440 
59329.901104 -35.583194 
