# time model 
59290.205401 0.208094 
59290.237182 0.225215 
59290.268964 0.242349 
59290.300746 0.259492 
59290.332528 0.276640 
59290.364310 0.293788 
59290.396092 0.310933 
59290.427874 0.328070 
59290.459656 0.345195 
59290.491438 0.362304 
59290.523220 0.379392 
59290.555002 0.396455 
59290.586784 0.413489 
59290.618566 0.430488 
59290.650348 0.447449 
59290.682130 0.464367 
59290.713912 0.481237 
59290.745694 0.498054 
59290.777476 0.514814 
59290.809258 0.531512 
59290.841040 0.548144 
59290.872822 0.564704 
59290.904604 0.581187 
59290.936386 0.597589 
59290.968168 0.613905 
59290.999950 0.630129 
59291.031732 0.646258 
59291.063514 0.662286 
59291.095296 0.678207 
59291.127078 0.694018 
59291.158860 0.709712 
59291.190642 0.725286 
59291.222424 0.740733 
59291.254206 0.756049 
59291.285988 0.771230 
59291.317770 0.786269 
59291.349552 0.801162 
59291.381334 0.815904 
59291.413116 0.830490 
59291.444898 0.844915 
59291.476680 0.859174 
59291.508462 0.873262 
59291.540244 0.887174 
59291.572026 0.900906 
59291.603808 0.914453 
59291.635590 0.927809 
59291.667372 0.940970 
59291.699154 0.953931 
59291.730936 0.966688 
59291.762718 0.979236 
59291.794500 0.991571 
59291.826282 1.003688 
59291.858064 1.015582 
59291.889846 1.027250 
59291.921628 1.038687 
59291.953410 1.049888 
59291.985192 1.060850 
59292.016974 1.071569 
59292.048756 1.082040 
59292.080538 1.092260 
59292.112320 1.102225 
59292.144102 1.111931 
59292.175884 1.121374 
59292.207666 1.130552 
59292.239448 1.139460 
59292.271230 1.148096 
59292.303012 1.156456 
59292.334794 1.164537 
59292.366576 1.172336 
59292.398358 1.179850 
59292.430140 1.187076 
59292.461922 1.194013 
59292.493704 1.200656 
59292.525486 1.207005 
59292.557268 1.213056 
59292.589050 1.218808 
59292.620832 1.224259 
59292.652614 1.229406 
59292.684396 1.234248 
59292.716178 1.238784 
59292.747960 1.243012 
59292.779742 1.246930 
59292.811524 1.250537 
59292.843306 1.253833 
59292.875088 1.256816 
59292.906869 1.259486 
59292.938651 1.261843 
59292.970433 1.263884 
59293.002215 1.265611 
59293.033997 1.267022 
59293.065779 1.268119 
59293.097561 1.268901 
59293.129343 1.269367 
59293.161125 1.269519 
59293.192907 1.269357 
59293.224689 1.268882 
59293.256471 1.268094 
59293.288253 1.266994 
59293.320035 1.265583 
59293.351817 1.263863 
59293.383599 1.261834 
59293.415381 1.259498 
59293.447163 1.256857 
59293.478945 1.253912 
59293.510727 1.250665 
59293.542509 1.247118 
59293.574291 1.243272 
59293.606073 1.239130 
59293.637855 1.234695 
59293.669637 1.229968 
59293.701419 1.224952 
59293.733201 1.219650 
59293.764983 1.214064 
59293.796765 1.208196 
59293.828547 1.202051 
59293.860329 1.195630 
59293.892111 1.188937 
59293.923893 1.181975 
59293.955675 1.174747 
59293.987457 1.167256 
59294.019239 1.159507 
59294.051021 1.151501 
59294.082803 1.143243 
59294.114585 1.134737 
59294.146367 1.125985 
59294.178149 1.116992 
59294.209931 1.107762 
59294.241713 1.098298 
59294.273495 1.088605 
59294.305277 1.078685 
59294.337059 1.068544 
59294.368841 1.058184 
59294.400623 1.047611 
59294.432405 1.036829 
59294.464187 1.025840 
59294.495969 1.014651 
59294.527751 1.003264 
59294.559533 0.991685 
59294.591315 0.979917 
59294.623097 0.967964 
59294.654879 0.955832 
59294.686661 0.943524 
59294.718443 0.931044 
59294.750225 0.918397 
59294.782007 0.905588 
59294.813789 0.892620 
59294.845571 0.879498 
59294.877353 0.866226 
59294.909135 0.852809 
59294.940917 0.839251 
59294.972699 0.825556 
59295.004481 0.811729 
59295.036263 0.797774 
59295.068045 0.783695 
59295.099827 0.769496 
59295.131609 0.755183 
59295.163391 0.740758 
59295.195173 0.726226 
59295.226955 0.711593 
59295.258737 0.696860 
59295.290519 0.682034 
59295.322301 0.667117 
59295.354083 0.652115 
59295.385865 0.637030 
59295.417647 0.621868 
59295.449429 0.606632 
59295.481211 0.591326 
59295.512993 0.575954 
59295.544775 0.560519 
59295.576557 0.545027 
59295.608338 0.529481 
59295.640120 0.513884 
59295.671902 0.498240 
59295.703684 0.482553 
59295.735466 0.466826 
59295.767248 0.451064 
59295.799030 0.435270 
59295.830812 0.419447 
59295.862594 0.403599 
59295.894376 0.387729 
59295.926158 0.371841 
59295.957940 0.355938 
59295.989722 0.340024 
59296.021504 0.324101 
59296.053286 0.308173 
59296.085068 0.292244 
59296.116850 0.276316 
59296.148632 0.260392 
59296.180414 0.244476 
