# time model 
59290.205401 1.982990 
59290.237182 1.984281 
59290.268964 1.985551 
59290.300746 1.986801 
59290.332528 1.988029 
59290.364310 1.989237 
59290.396092 1.990424 
59290.427874 1.991591 
59290.459656 1.992736 
59290.491438 1.993861 
59290.523220 1.994966 
59290.555002 1.996050 
59290.586784 1.997113 
59290.618566 1.998155 
59290.650348 1.999178 
59290.682130 2.000179 
59290.713912 2.001160 
59290.745694 2.002121 
59290.777476 2.003061 
59290.809258 2.003981 
59290.841040 2.004881 
59290.872822 2.005760 
59290.904604 2.006618 
59290.936386 2.007457 
59290.968168 2.008275 
59290.999950 2.009073 
59291.031732 2.009851 
59291.063514 2.010608 
59291.095296 2.011346 
59291.127078 2.012063 
59291.158860 2.012760 
59291.190642 2.013437 
59291.222424 2.014094 
59291.254206 2.014731 
59291.285988 2.015347 
59291.317770 2.015944 
59291.349552 2.016521 
59291.381334 2.017078 
59291.413116 2.017615 
59291.444898 2.018132 
59291.476680 2.018629 
59291.508462 2.019106 
59291.540244 2.019564 
59291.572026 2.020002 
59291.603808 2.020420 
59291.635590 2.020818 
59291.667372 2.021196 
59291.699154 2.021555 
59291.730936 2.021894 
59291.762718 2.022214 
59291.794500 2.022514 
59291.826282 2.022794 
59291.858064 2.023055 
59291.889846 2.023296 
59291.921628 2.023517 
59291.953410 2.023719 
59291.985192 2.023902 
59292.016974 2.024065 
59292.048756 2.024209 
59292.080538 2.024333 
59292.112320 2.024438 
59292.144102 2.024524 
59292.175884 2.024591 
59292.207666 2.024638 
59292.239448 2.024665 
59292.271230 2.024674 
59292.303012 2.024663 
59292.334794 2.024633 
59292.366576 2.024584 
59292.398358 2.024516 
59292.430140 2.024429 
59292.461922 2.024322 
59292.493704 2.024197 
59292.525486 2.024052 
59292.557268 2.023889 
59292.589050 2.023706 
59292.620832 2.023505 
59292.652614 2.023284 
59292.684396 2.023045 
59292.716178 2.022787 
59292.747960 2.022509 
59292.779742 2.022213 
59292.811524 2.021898 
59292.843306 2.021565 
59292.875088 2.021212 
59292.906869 2.020841 
59292.938651 2.020451 
59292.970433 2.020042 
59293.002215 2.019615 
59293.033997 2.019169 
59293.065779 2.018704 
59293.097561 2.018221 
59293.129343 2.017719 
59293.161125 2.017199 
59293.192907 2.016660 
59293.224689 2.016103 
59293.256471 2.015527 
59293.288253 2.014932 
59293.320035 2.014319 
59293.351817 2.013688 
59293.383599 2.013038 
59293.415381 2.012370 
59293.447163 2.011684 
59293.478945 2.010979 
59293.510727 2.010256 
59293.542509 2.009515 
59293.574291 2.008755 
59293.606073 2.007977 
59293.637855 2.007181 
59293.669637 2.006367 
59293.701419 2.005535 
59293.733201 2.004684 
59293.764983 2.003815 
