# time model 
59290.205401 5.247341 
59290.237182 5.244877 
59290.268964 5.240698 
59290.300746 5.234830 
59290.332528 5.227300 
59290.364310 5.218138 
59290.396092 5.207376 
59290.427874 5.195044 
59290.459656 5.181176 
59290.491438 5.165808 
59290.523220 5.148976 
59290.555002 5.130717 
59290.586784 5.111070 
59290.618566 5.090076 
59290.650348 5.067774 
59290.682130 5.044207 
59290.713912 5.019418 
59290.745694 4.993452 
59290.777476 4.966352 
59290.809258 4.938164 
59290.841040 4.908936 
59290.872822 4.878713 
59290.904604 4.847544 
59290.936386 4.815476 
59290.968168 4.782559 
59290.999950 4.748840 
59291.031732 4.714371 
59291.063514 4.679201 
59291.095296 4.643378 
59291.127078 4.606955 
59291.158860 4.569980 
59291.190642 4.532504 
59291.222424 4.494578 
59291.254206 4.456250 
59291.285988 4.417572 
59291.317770 4.378593 
59291.349552 4.339361 
59291.381334 4.299927 
59291.413116 4.260338 
59291.444898 4.220643 
59291.476680 4.180890 
59291.508462 4.141124 
59291.540244 4.101393 
59291.572026 4.061742 
59291.603808 4.022216 
59291.635590 3.982858 
59291.667372 3.943712 
59291.699154 3.904820 
59291.730936 3.866222 
59291.762718 3.827959 
59291.794500 3.790071 
59291.826282 3.752594 
59291.858064 3.715565 
59291.889846 3.679020 
59291.921628 3.642994 
59291.953410 3.607518 
59291.985192 3.572624 
59292.016974 3.538344 
59292.048756 3.504705 
59292.080538 3.471734 
59292.112320 3.439459 
59292.144102 3.407903 
59292.175884 3.377089 
59292.207666 3.347038 
59292.239448 3.317772 
59292.271230 3.289307 
59292.303012 3.261660 
59292.334794 3.234847 
59292.366576 3.208882 
59292.398358 3.183775 
59292.430140 3.159539 
59292.461922 3.136180 
59292.493704 3.113707 
59292.525486 3.092125 
59292.557268 3.071438 
59292.589050 3.051648 
59292.620832 3.032756 
59292.652614 3.014761 
59292.684396 2.997660 
59292.716178 2.981450 
59292.747960 2.966125 
59292.779742 2.951678 
59292.811524 2.938100 
59292.843306 2.925382 
59292.875088 2.913512 
59292.906869 2.902477 
59292.938651 2.892264 
59292.970433 2.882855 
59293.002215 2.874235 
59293.033997 2.866385 
59293.065779 2.859286 
59293.097561 2.852917 
59293.129343 2.847256 
59293.161125 2.842281 
59293.192907 2.837966 
59293.224689 2.834288 
59293.256471 2.831219 
59293.288253 2.828734 
59293.320035 2.826804 
59293.351817 2.825399 
59293.383599 2.824491 
59293.415381 2.824050 
59293.447163 2.824043 
59293.478945 2.824440 
59293.510727 2.825208 
59293.542509 2.826314 
59293.574291 2.827725 
59293.606073 2.829407 
59293.637855 2.831327 
59293.669637 2.833449 
59293.701419 2.835739 
59293.733201 2.838162 
59293.764983 2.840683 
59293.796765 2.843267 
59293.828547 2.845879 
59293.860329 2.848483 
59293.892111 2.851045 
59293.923893 2.853530 
59293.955675 2.855902 
59293.987457 2.858128 
59294.019239 2.860174 
59294.051021 2.862004 
59294.082803 2.863587 
59294.114585 2.864889 
59294.146367 2.865878 
59294.178149 2.866522 
59294.209931 2.866789 
59294.241713 2.866649 
59294.273495 2.866072 
59294.305277 2.865030 
59294.337059 2.863493 
59294.368841 2.861434 
59294.400623 2.858826 
59294.432405 2.855645 
59294.464187 2.851864 
59294.495969 2.847461 
59294.527751 2.842413 
59294.559533 2.836698 
59294.591315 2.830295 
59294.623097 2.823186 
59294.654879 2.815351 
59294.686661 2.806775 
59294.718443 2.797440 
59294.750225 2.787333 
59294.782007 2.776440 
59294.813789 2.764749 
59294.845571 2.752249 
59294.877353 2.738931 
59294.909135 2.724787 
59294.940917 2.709810 
59294.972699 2.693994 
59295.004481 2.677335 
59295.036263 2.659830 
59295.068045 2.641478 
59295.099827 2.622279 
59295.131609 2.602235 
59295.163391 2.581346 
59295.195173 2.559619 
59295.226955 2.537057 
59295.258737 2.513668 
59295.290519 2.489459 
59295.322301 2.464439 
59295.354083 2.438620 
59295.385865 2.412012 
59295.417647 2.384629 
59295.449429 2.356485 
59295.481211 2.327595 
59295.512993 2.297975 
59295.544775 2.267645 
59295.576557 2.236621 
59295.608338 2.204925 
59295.640120 2.172577 
59295.671902 2.139599 
59295.703684 2.106015 
59295.735466 2.071847 
59295.767248 2.037121 
59295.799030 2.001862 
59295.830812 1.966097 
59295.862594 1.929853 
59295.894376 1.893159 
59295.926158 1.856043 
59295.957940 1.818533 
59295.989722 1.780661 
59296.021504 1.742457 
59296.053286 1.703952 
59296.085068 1.665177 
59296.116850 1.626165 
59296.148632 1.586947 
59296.180414 1.547556 
59296.212196 1.508025 
59296.243978 1.468388 
59296.275760 1.428677 
59296.307542 1.388926 
59296.339324 1.349169 
59296.371106 1.309438 
59296.402888 1.269768 
59296.434670 1.230191 
59296.466452 1.190740 
59296.498234 1.151450 
59296.530016 1.112352 
59296.561798 1.073479 
59296.593580 1.034863 
59296.625362 0.996536 
59296.657144 0.958529 
59296.688926 0.920873 
59296.720708 0.883599 
59296.752490 0.846735 
59296.784272 0.810312 
59296.816054 0.774358 
59296.847836 0.738900 
59296.879618 0.703965 
59296.911400 0.669581 
59296.943182 0.635771 
59296.974964 0.602562 
59297.006746 0.569976 
59297.038528 0.538037 
59297.070310 0.506765 
59297.102092 0.476183 
59297.133874 0.446310 
59297.165656 0.417164 
59297.197438 0.388764 
59297.229220 0.361126 
59297.261002 0.334266 
59297.292784 0.308198 
59297.324566 0.282936 
59297.356348 0.258491 
59297.388130 0.234874 
59297.419912 0.212096 
59297.451694 0.190164 
59297.483476 0.169087 
59297.515258 0.148870 
59297.547040 0.129518 
59297.578822 0.111035 
59297.610604 0.093423 
59297.642386 0.076684 
59297.674168 0.060817 
59297.705950 0.045821 
59297.737732 0.031694 
59297.769514 0.018433 
59297.801296 0.006032 
59297.833078 -0.005515 
59297.864860 -0.016214 
59297.896642 -0.026075 
59297.928424 -0.035106 
59297.960206 -0.043317 
59297.991988 -0.050722 
59298.023770 -0.057332 
59298.055552 -0.063161 
59298.087334 -0.068223 
59298.119116 -0.072536 
59298.150898 -0.076114 
59298.182680 -0.078977 
59298.214462 -0.081141 
59298.246244 -0.082628 
59298.278026 -0.083456 
59298.309807 -0.083648 
59298.341589 -0.083223 
59298.373371 -0.082206 
59298.405153 -0.080619 
59298.436935 -0.078486 
59298.468717 -0.075832 
59298.500499 -0.072680 
59298.532281 -0.069057 
59298.564063 -0.064988 
59298.595845 -0.060499 
59298.627627 -0.055618 
59298.659409 -0.050371 
59298.691191 -0.044785 
59298.722973 -0.038887 
59298.754755 -0.032707 
59298.786537 -0.026270 
59298.818319 -0.019605 
59298.850101 -0.012740 
59298.881883 -0.005703 
59298.913665 0.001478 
59298.945447 0.008776 
59298.977229 0.016163 
59299.009011 0.023612 
59299.040793 0.031095 
59299.072575 0.038586 
59299.104357 0.046057 
59299.136139 0.053484 
59299.167921 0.060839 
59299.199703 0.068099 
59299.231485 0.075237 
59299.263267 0.082230 
59299.295049 0.089053 
59299.326831 0.095685 
59299.358613 0.102102 
59299.390395 0.108282 
59299.422177 0.114205 
59299.453959 0.119850 
59299.485741 0.125198 
59299.517523 0.130231 
59299.549305 0.134930 
59299.581087 0.139278 
59299.612869 0.143260 
59299.644651 0.146860 
59299.676433 0.150064 
59299.708215 0.152860 
59299.739997 0.155235 
59299.771779 0.157177 
59299.803561 0.158678 
59299.835343 0.159727 
59299.867125 0.160316 
59299.898907 0.160440 
59299.930689 0.160092 
59299.962471 0.159266 
59299.994253 0.157961 
59300.026035 0.156172 
59300.057817 0.153899 
59300.089599 0.151141 
59300.121381 0.147900 
59300.153163 0.144175 
59300.184945 0.139972 
59300.216727 0.135293 
59300.248509 0.130143 
59300.280291 0.124530 
59300.312073 0.118459 
59300.343855 0.111939 
59300.375637 0.104980 
59300.407419 0.097591 
59300.439201 0.089784 
59300.470983 0.081570 
59300.502765 0.072963 
59300.534547 0.063977 
59300.566329 0.054626 
59300.598111 0.044927 
59300.629893 0.034894 
59300.661675 0.024547 
59300.693457 0.013902 
59300.725239 0.002979 
59300.757021 -0.008203 
59300.788803 -0.019624 
59300.820585 -0.031264 
59300.852367 -0.043100 
59300.884149 -0.055113 
59300.915931 -0.067278 
59300.947713 -0.079574 
59300.979495 -0.091978 
59301.011276 -0.104465 
59301.043058 -0.117013 
59301.074840 -0.129596 
59301.106622 -0.142192 
59301.138404 -0.154775 
59301.170186 -0.167322 
59301.201968 -0.179806 
59301.233750 -0.192204 
59301.265532 -0.204490 
59301.297314 -0.216641 
59301.329096 -0.228631 
59301.360878 -0.240437 
59301.392660 -0.252033 
59301.424442 -0.263396 
59301.456224 -0.274502 
59301.488006 -0.285328 
59301.519788 -0.295850 
59301.551570 -0.306047 
59301.583352 -0.315895 
59301.615134 -0.325374 
59301.646916 -0.334462 
59301.678698 -0.343138 
59301.710480 -0.351383 
59301.742262 -0.359177 
59301.774044 -0.366502 
59301.805826 -0.373340 
59301.837608 -0.379674 
59301.869390 -0.385488 
59301.901172 -0.390766 
59301.932954 -0.395493 
59301.964736 -0.399657 
59301.996518 -0.403245 
59302.028300 -0.406244 
59302.060082 -0.408645 
59302.091864 -0.410437 
59302.123646 -0.411611 
59302.155428 -0.412161 
59302.187210 -0.412079 
59302.218992 -0.411360 
59302.250774 -0.409999 
59302.282556 -0.407994 
59302.314338 -0.405343 
59302.346120 -0.402044 
59302.377902 -0.398097 
59302.409684 -0.393504 
59302.441466 -0.388268 
59302.473248 -0.382392 
59302.505030 -0.375880 
59302.536812 -0.368740 
59302.568594 -0.360977 
59302.600376 -0.352601 
59302.632158 -0.343620 
59302.663940 -0.334046 
59302.695722 -0.323889 
59302.727504 -0.313163 
59302.759286 -0.301882 
59302.791068 -0.290060 
59302.822850 -0.277713 
59302.854632 -0.264859 
59302.886414 -0.251515 
59302.918196 -0.237701 
59302.949978 -0.223436 
59302.981760 -0.208741 
59303.013542 -0.193638 
59303.045324 -0.178150 
59303.077106 -0.162300 
59303.108888 -0.146112 
59303.140670 -0.129611 
59303.172452 -0.112822 
59303.204234 -0.095773 
59303.236016 -0.078491 
59303.267798 -0.061001 
59303.299580 -0.043334 
59303.331362 -0.025517 
59303.363144 -0.007580 
59303.394926 0.010449 
59303.426708 0.028538 
59303.458490 0.046659 
59303.490272 0.064780 
59303.522054 0.082872 
59303.553836 0.100903 
59303.585618 0.118842 
59303.617400 0.136658 
59303.649182 0.154322 
59303.680964 0.171801 
59303.712745 0.189065 
59303.744527 0.206084 
59303.776309 0.222826 
59303.808091 0.239263 
59303.839873 0.255363 
59303.871655 0.271099 
59303.903437 0.286439 
59303.935219 0.301357 
59303.967001 0.315825 
59303.998783 0.329813 
59304.030565 0.343297 
59304.062347 0.356250 
59304.094129 0.368646 
59304.125911 0.380460 
59304.157693 0.391670 
59304.189475 0.402252 
59304.221257 0.412184 
59304.253039 0.421445 
59304.284821 0.430015 
59304.316603 0.437875 
59304.348385 0.445007 
59304.380167 0.451395 
59304.411949 0.457022 
59304.443731 0.461875 
59304.475513 0.465940 
59304.507295 0.469205 
59304.539077 0.471659 
59304.570859 0.473294 
59304.602641 0.474101 
59304.634423 0.474073 
59304.666205 0.473206 
59304.697987 0.471495 
59304.729769 0.468939 
59304.761551 0.465536 
59304.793333 0.461287 
59304.825115 0.456193 
59304.856897 0.450259 
59304.888679 0.443489 
59304.920461 0.435889 
59304.952243 0.427468 
59304.984025 0.418236 
59305.015807 0.408202 
59305.047589 0.397380 
59305.079371 0.385784 
59305.111153 0.373428 
59305.142935 0.360330 
59305.174717 0.346508 
59305.206499 0.331982 
59305.238281 0.316773 
59305.270063 0.300904 
59305.301845 0.284398 
59305.333627 0.267281 
59305.365409 0.249579 
59305.397191 0.231321 
59305.428973 0.212536 
59305.460755 0.193253 
59305.492537 0.173506 
59305.524319 0.153325 
59305.556101 0.132746 
59305.587883 0.111804 
59305.619665 0.090533 
59305.651447 0.068972 
59305.683229 0.047159 
59305.715011 0.025131 
59305.746793 0.002929 
59305.778575 -0.019407 
59305.810357 -0.041835 
59305.842139 -0.064314 
59305.873921 -0.086801 
59305.905703 -0.109254 
59305.937485 -0.131628 
59305.969267 -0.153879 
59306.001049 -0.175963 
59306.032831 -0.197836 
59306.064613 -0.219452 
59306.096395 -0.240766 
59306.128177 -0.261733 
59306.159959 -0.282307 
59306.191741 -0.302443 
59306.223523 -0.322095 
59306.255305 -0.341218 
59306.287087 -0.359767 
59306.318869 -0.377698 
59306.350651 -0.394965 
59306.382432 -0.411524 
59306.414214 -0.427332 
59306.445996 -0.442346 
59306.477778 -0.456523 
59306.509560 -0.469822 
59306.541342 -0.482200 
59306.573124 -0.493618 
59306.604906 -0.504036 
59306.636688 -0.513415 
59306.668470 -0.521717 
59306.700252 -0.528907 
59306.732034 -0.534948 
59306.763816 -0.539805 
59306.795598 -0.543447 
59306.827380 -0.545839 
59306.859162 -0.546953 
59306.890944 -0.546759 
59306.922726 -0.545228 
59306.954508 -0.542334 
59306.986290 -0.538053 
59307.018072 -0.532361 
59307.049854 -0.525236 
59307.081636 -0.516659 
59307.113418 -0.506610 
59307.145200 -0.495074 
59307.176982 -0.482035 
59307.208764 -0.467480 
59307.240546 -0.451398 
59307.272328 -0.433780 
59307.304110 -0.414618 
59307.335892 -0.393906 
59307.367674 -0.371641 
59307.399456 -0.347821 
59307.431238 -0.322447 
59307.463020 -0.295521 
59307.494802 -0.267046 
59307.526584 -0.237030 
59307.558366 -0.205480 
59307.590148 -0.172407 
59307.621930 -0.137824 
59307.653712 -0.101744 
59307.685494 -0.064184 
59307.717276 -0.025162 
59307.749058 0.015300 
59307.780840 0.057182 
59307.812622 0.100457 
59307.844404 0.145101 
59307.876186 0.191084 
59307.907968 0.238376 
59307.939750 0.286946 
59307.971532 0.336759 
59308.003314 0.387780 
59308.035096 0.439970 
59308.066878 0.493291 
59308.098660 0.547701 
59308.130442 0.603157 
59308.162224 0.659615 
59308.194006 0.717029 
59308.225788 0.775352 
59308.257570 0.834533 
59308.289352 0.894523 
59308.321134 0.955269 
59308.352916 1.016718 
59308.384698 1.078816 
59308.416480 1.141506 
59308.448262 1.204731 
59308.480044 1.268434 
59308.511826 1.332554 
59308.543608 1.397033 
59308.575390 1.461808 
59308.607172 1.526818 
59308.638954 1.592000 
59308.670736 1.657291 
59308.702518 1.722627 
59308.734300 1.787943 
59308.766082 1.853174 
59308.797864 1.918254 
59308.829646 1.983119 
59308.861428 2.047701 
59308.893210 2.111935 
59308.924992 2.175755 
59308.956774 2.239094 
59308.988556 2.301886 
59309.020338 2.364065 
59309.052120 2.425566 
59309.083901 2.486322 
59309.115683 2.546269 
59309.147465 2.605342 
59309.179247 2.663477 
59309.211029 2.720610 
59309.242811 2.776678 
59309.274593 2.831621 
59309.306375 2.885376 
59309.338157 2.937883 
59309.369939 2.989083 
59309.401721 3.038918 
59309.433503 3.087331 
59309.465285 3.134266 
59309.497067 3.179668 
59309.528849 3.223485 
59309.560631 3.265664 
59309.592413 3.306156 
59309.624195 3.344911 
59309.655977 3.381882 
59309.687759 3.417024 
59309.719541 3.450294 
59309.751323 3.481648 
59309.783105 3.511048 
59309.814887 3.538454 
59309.846669 3.563830 
59309.878451 3.587142 
59309.910233 3.608357 
59309.942015 3.627446 
59309.973797 3.644379 
59310.005579 3.659130 
59310.037361 3.671676 
59310.069143 3.681994 
59310.100925 3.690065 
59310.132707 3.695872 
59310.164489 3.699399 
59310.196271 3.700633 
59310.228053 3.699565 
59310.259835 3.696184 
59310.291617 3.690487 
59310.323399 3.682468 
59310.355181 3.672126 
59310.386963 3.659463 
59310.418745 3.644481 
59310.450527 3.627187 
59310.482309 3.607587 
59310.514091 3.585693 
59310.545873 3.561517 
59310.577655 3.535073 
59310.609437 3.506379 
59310.641219 3.475453 
59310.673001 3.442317 
59310.704783 3.406996 
59310.736565 3.369513 
59310.768347 3.329898 
59310.800129 3.288180 
59310.831911 3.244390 
59310.863693 3.198564 
