# time model 
59325.801227 -0.174916 
59325.833009 -0.234181 
59325.864791 -0.295591 
59325.896573 -0.359087 
59325.928355 -0.424607 
59325.960137 -0.492087 
59325.991919 -0.561456 
59326.023701 -0.632642 
59326.055483 -0.705566 
59326.087265 -0.780149 
59326.119047 -0.856305 
59326.150829 -0.933948 
59326.182611 -1.012984 
59326.214393 -1.093321 
59326.246175 -1.174860 
59326.277957 -1.257499 
59326.309739 -1.341136 
59326.341521 -1.425663 
59326.373303 -1.510972 
59326.405085 -1.596949 
59326.436867 -1.683480 
59326.468649 -1.770450 
59326.500431 -1.857738 
59326.532213 -1.945225 
59326.563995 -2.032787 
59326.595777 -2.120300 
59326.627559 -2.207638 
59326.659341 -2.294675 
59326.691123 -2.381281 
59326.722905 -2.467327 
59326.754687 -2.552683 
59326.786469 -2.637219 
59326.818251 -2.720802 
59326.850033 -2.803301 
59326.881815 -2.884585 
59326.913597 -2.964522 
59326.945379 -3.042979 
59326.977161 -3.119826 
59327.008943 -3.194933 
59327.040725 -3.268170 
59327.072507 -3.339408 
59327.104289 -3.408519 
59327.136071 -3.475377 
59327.167853 -3.539858 
59327.199635 -3.601838 
59327.231417 -3.661197 
59327.263199 -3.717814 
59327.294981 -3.771573 
59327.326763 -3.822360 
59327.358545 -3.870062 
59327.390327 -3.914569 
59327.422109 -3.955777 
59327.453891 -3.993580 
59327.485673 -4.027880 
59327.517455 -4.058578 
59327.549237 -4.085582 
59327.581019 -4.108802 
59327.612801 -4.128152 
59327.644583 -4.143550 
59327.676365 -4.154917 
59327.708147 -4.162180 
59327.739929 -4.165270 
59327.771711 -4.164120 
59327.803493 -4.158671 
59327.835275 -4.148867 
59327.867057 -4.134655 
59327.898839 -4.115990 
59327.930621 -4.092829 
59327.962402 -4.065136 
59327.994184 -4.032880 
59328.025966 -3.996033 
59328.057748 -3.954574 
59328.089530 -3.908488 
59328.121312 -3.857762 
59328.153094 -3.802392 
59328.184876 -3.742378 
59328.216658 -3.677723 
59328.248440 -3.608439 
59328.280222 -3.534541 
59328.312004 -3.456051 
59328.343786 -3.372995 
59328.375568 -3.285405 
59328.407350 -3.193318 
59328.439132 -3.096778 
59328.470914 -2.995831 
59328.502696 -2.890532 
59328.534478 -2.780938 
59328.566260 -2.667114 
59328.598042 -2.549127 
59328.629824 -2.427052 
59328.661606 -2.300968 
59328.693388 -2.170958 
59328.725170 -2.037110 
59328.756952 -1.899518 
59328.788734 -1.758279 
59328.820516 -1.613496 
59328.852298 -1.465276 
59328.884080 -1.313728 
59328.915862 -1.158969 
59328.947644 -1.001117 
59328.979426 -0.840296 
59329.011208 -0.676632 
59329.042990 -0.510256 
59329.074772 -0.341301 
59329.106554 -0.169905 
59329.138336 0.003793 
59329.170118 0.179647 
59329.201900 0.357514 
59329.233682 0.537242 
59329.265464 0.718683 
59329.297246 0.901681 
59329.329028 1.086081 
59329.360810 1.271725 
59329.392592 1.458455 
59329.424374 1.646108 
