# time model 
59325.801227 9.246903 
59325.833009 9.733047 
59325.864791 10.223408 
59325.896573 10.717336 
59325.928355 11.214168 
59325.960137 11.713227 
59325.991919 12.213824 
59326.023701 12.715255 
59326.055483 13.216808 
59326.087265 13.717759 
59326.119047 14.217376 
59326.150829 14.714916 
59326.182611 15.209631 
59326.214393 15.700765 
59326.246175 16.187558 
59326.277957 16.669245 
59326.309739 17.145056 
59326.341521 17.614221 
59326.373303 18.075968 
59326.405085 18.529523 
59326.436867 18.974115 
59326.468649 19.408974 
59326.500431 19.833331 
59326.532213 20.246425 
59326.563995 20.647496 
59326.595777 21.035792 
59326.627559 21.410568 
59326.659341 21.771088 
59326.691123 22.116623 
59326.722905 22.446457 
59326.754687 22.759882 
59326.786469 23.056206 
59326.818251 23.334747 
59326.850033 23.594841 
59326.881815 23.835836 
59326.913597 24.057099 
59326.945379 24.258011 
59326.977161 24.437975 
59327.008943 24.596410 
59327.040725 24.732756 
59327.072507 24.846476 
59327.104289 24.937051 
59327.136071 25.003988 
59327.167853 25.046814 
59327.199635 25.065083 
59327.231417 25.058372 
59327.263199 25.026284 
59327.294981 24.968449 
59327.326763 24.884522 
59327.358545 24.774187 
59327.390327 24.637156 
59327.422109 24.473168 
59327.453891 24.281993 
59327.485673 24.063429 
59327.517455 23.817305 
59327.549237 23.543478 
59327.581019 23.241840 
59327.612801 22.912309 
59327.644583 22.554838 
59327.676365 22.169410 
59327.708147 21.756039 
59327.739929 21.314771 
59327.771711 20.845686 
59327.803493 20.348893 
59327.835275 19.824535 
59327.867057 19.272785 
59327.898839 18.693851 
59327.930621 18.087970 
59327.962402 17.455411 
59327.994184 16.796476 
59328.025966 16.111497 
59328.057748 15.400837 
59328.089530 14.664890 
59328.121312 13.904081 
59328.153094 13.118863 
59328.184876 12.309720 
59328.216658 11.477166 
59328.248440 10.621740 
59328.280222 9.744012 
59328.312004 8.844579 
59328.343786 7.924064 
59328.375568 6.983116 
59328.407350 6.022410 
59328.439132 5.042646 
59328.470914 4.044546 
59328.502696 3.028858 
59328.534478 1.996351 
59328.566260 0.947814 
59328.598042 -0.115941 
59328.629824 -1.194084 
59328.661606 -2.285765 
59328.693388 -3.390117 
59328.725170 -4.506256 
59328.756952 -5.633282 
59328.788734 -6.770281 
59328.820516 -7.916323 
59328.852298 -9.070469 
59328.884080 -10.231764 
59328.915862 -11.399247 
59328.947644 -12.571944 
59328.979426 -13.748874 
59329.011208 -14.929050 
59329.042990 -16.111478 
59329.074772 -17.295158 
59329.106554 -18.479087 
59329.138336 -19.662262 
59329.170118 -20.843675 
59329.201900 -22.022319 
59329.233682 -23.197190 
59329.265464 -24.367282 
59329.297246 -25.531597 
59329.329028 -26.689138 
59329.360810 -27.838916 
59329.392592 -28.979946 
59329.424374 -30.111253 
59329.456156 -31.231871 
59329.487938 -32.340844 
59329.519720 -33.437225 
59329.551502 -34.520084 
59329.583284 -35.588500 
59329.615066 -36.641568 
59329.646848 -37.678400 
59329.678630 -38.698122 
59329.710412 -39.699879 
59329.742194 -40.682834 
59329.773976 -41.646170 
59329.805758 -42.589090 
59329.837540 -43.510818 
59329.869322 -44.410600 
59329.901104 -45.287705 
59329.932886 -46.141427 
59329.964668 -46.971082 
59329.996450 -47.776015 
59330.028232 -48.555593 
59330.060014 -49.309211 
59330.091796 -50.036294 
59330.123578 -50.736290 
59330.155360 -51.408680 
59330.187142 -52.052971 
59330.218924 -52.668702 
59330.250706 -53.255439 
59330.282488 -53.812780 
59330.314270 -54.340355 
59330.346052 -54.837823 
59330.377834 -55.304876 
59330.409616 -55.741237 
59330.441398 -56.146660 
59330.473180 -56.520932 
59330.504962 -56.863873 
59330.536744 -57.175334 
59330.568526 -57.455199 
59330.600308 -57.703384 
59330.632090 -57.919838 
59330.663871 -58.104542 
59330.695653 -58.257510 
59330.727435 -58.378785 
59330.759217 -58.468446 
59330.790999 -58.526602 
59330.822781 -58.553392 
59330.854563 -58.548988 
59330.886345 -58.513592 
59330.918127 -58.447437 
59330.949909 -58.350785 
59330.981691 -58.223927 
59331.013473 -58.067186 
59331.045255 -57.880910 
59331.077037 -57.665477 
59331.108819 -57.421292 
59331.140601 -57.148787 
59331.172383 -56.848419 
59331.204165 -56.520673 
59331.235947 -56.166055 
59331.267729 -55.785098 
59331.299511 -55.378358 
59331.331293 -54.946411 
59331.363075 -54.489858 
59331.394857 -54.009319 
59331.426639 -53.505434 
59331.458421 -52.978861 
59331.490203 -52.430280 
59331.521985 -51.860383 
59331.553767 -51.269883 
59331.585549 -50.659506 
59331.617331 -50.029992 
59331.649113 -49.382096 
59331.680895 -48.716585 
59331.712677 -48.034236 
59331.744459 -47.335838 
59331.776241 -46.622190 
59331.808023 -45.894098 
59331.839805 -45.152375 
59331.871587 -44.397842 
59331.903369 -43.631325 
59331.935151 -42.853652 
59331.966933 -42.065658 
59331.998715 -41.268177 
59332.030497 -40.462046 
59332.062279 -39.648102 
59332.094061 -38.827180 
59332.125843 -38.000114 
59332.157625 -37.167736 
59332.189407 -36.330873 
59332.221189 -35.490348 
59332.252971 -34.646977 
59332.284753 -33.801572 
59332.316535 -32.954933 
59332.348317 -32.107855 
59332.380099 -31.261124 
59332.411881 -30.415512 
59332.443663 -29.571784 
59332.475445 -28.730691 
59332.507227 -27.892970 
59332.539009 -27.059346 
59332.570791 -26.230531 
59332.602573 -25.407218 
59332.634355 -24.590088 
59332.666137 -23.779803 
59332.697919 -22.977009 
59332.729701 -22.182335 
59332.761483 -21.396389 
59332.793265 -20.619762 
59332.825047 -19.853025 
59332.856829 -19.096729 
59332.888611 -18.351405 
59332.920393 -17.617561 
59332.952175 -16.895687 
59332.983957 -16.186248 
59333.015739 -15.489689 
59333.047521 -14.806430 
59333.079303 -14.136872 
59333.111085 -13.481390 
59333.142867 -12.840337 
59333.174649 -12.214043 
59333.206431 -11.602812 
59333.238213 -11.006929 
59333.269995 -10.426649 
59333.301777 -9.862210 
59333.333559 -9.313821 
59333.365340 -8.781669 
59333.397122 -8.265918 
59333.428904 -7.766707 
59333.460686 -7.284153 
59333.492468 -6.818348 
59333.524250 -6.369362 
59333.556032 -5.937240 
59333.587814 -5.522007 
59333.619596 -5.123664 
