# time model 
59290.205401 6.121520 
59290.237182 6.123392 
59290.268964 6.123156 
59290.300746 6.120835 
59290.332528 6.116449 
59290.364310 6.110026 
59290.396092 6.101591 
59290.427874 6.091173 
59290.459656 6.078803 
59290.491438 6.064513 
59290.523220 6.048338 
59290.555002 6.030314 
59290.586784 6.010477 
59290.618566 5.988868 
59290.650348 5.965527 
59290.682130 5.940496 
59290.713912 5.913818 
59290.745694 5.885539 
59290.777476 5.855706 
59290.809258 5.824365 
59290.841040 5.791565 
59290.872822 5.757357 
59290.904604 5.721791 
59290.936386 5.684919 
59290.968168 5.646793 
59290.999950 5.607469 
59291.031732 5.566999 
59291.063514 5.525439 
59291.095296 5.482845 
59291.127078 5.439274 
59291.158860 5.394781 
59291.190642 5.349424 
59291.222424 5.303261 
59291.254206 5.256349 
59291.285988 5.208747 
59291.317770 5.160512 
59291.349552 5.111702 
59291.381334 5.062376 
59291.413116 5.012592 
59291.444898 4.962406 
59291.476680 4.911877 
59291.508462 4.861062 
59291.540244 4.810017 
59291.572026 4.758799 
59291.603808 4.707463 
59291.635590 4.656065 
59291.667372 4.604659 
59291.699154 4.553298 
59291.730936 4.502036 
59291.762718 4.450923 
59291.794500 4.400012 
59291.826282 4.349352 
59291.858064 4.298993 
59291.889846 4.248981 
59291.921628 4.199363 
59291.953410 4.150186 
59291.985192 4.101493 
59292.016974 4.053326 
59292.048756 4.005728 
59292.080538 3.958737 
59292.112320 3.912394 
59292.144102 3.866734 
59292.175884 3.821793 
59292.207666 3.777604 
59292.239448 3.734201 
59292.271230 3.691613 
59292.303012 3.649870 
59292.334794 3.608998 
59292.366576 3.569023 
59292.398358 3.529969 
59292.430140 3.491857 
59292.461922 3.454708 
59292.493704 3.418539 
59292.525486 3.383368 
59292.557268 3.349209 
59292.589050 3.316074 
59292.620832 3.283975 
59292.652614 3.252921 
59292.684396 3.222919 
59292.716178 3.193974 
59292.747960 3.166090 
59292.779742 3.139269 
59292.811524 3.113510 
59292.843306 3.088813 
59292.875088 3.065172 
59292.906869 3.042584 
59292.938651 3.021040 
59292.970433 3.000533 
59293.002215 2.981051 
59293.033997 2.962583 
59293.065779 2.945114 
59293.097561 2.928629 
59293.129343 2.913113 
59293.161125 2.898545 
59293.192907 2.884906 
59293.224689 2.872175 
59293.256471 2.860330 
59293.288253 2.849345 
59293.320035 2.839197 
59293.351817 2.829857 
59293.383599 2.821299 
59293.415381 2.813494 
59293.447163 2.806411 
59293.478945 2.800020 
59293.510727 2.794288 
59293.542509 2.789182 
59293.574291 2.784669 
59293.606073 2.780715 
59293.637855 2.777283 
59293.669637 2.774337 
59293.701419 2.771842 
59293.733201 2.769760 
59293.764983 2.768053 
59293.796765 2.766683 
59293.828547 2.765611 
59293.860329 2.764800 
59293.892111 2.764209 
59293.923893 2.763800 
59293.955675 2.763533 
59293.987457 2.763370 
59294.019239 2.763270 
59294.051021 2.763195 
59294.082803 2.763105 
59294.114585 2.762962 
59294.146367 2.762727 
59294.178149 2.762362 
59294.209931 2.761829 
59294.241713 2.761092 
59294.273495 2.760112 
59294.305277 2.758853 
59294.337059 2.757281 
59294.368841 2.755360 
59294.400623 2.753057 
59294.432405 2.750336 
59294.464187 2.747168 
59294.495969 2.743518 
59294.527751 2.739358 
59294.559533 2.734657 
59294.591315 2.729386 
59294.623097 2.723519 
59294.654879 2.717029 
59294.686661 2.709890 
59294.718443 2.702079 
59294.750225 2.693572 
59294.782007 2.684349 
59294.813789 2.674389 
59294.845571 2.663673 
59294.877353 2.652184 
59294.909135 2.639906 
59294.940917 2.626824 
59294.972699 2.612925 
59295.004481 2.598196 
59295.036263 2.582629 
59295.068045 2.566213 
59295.099827 2.548942 
59295.131609 2.530810 
59295.163391 2.511812 
59295.195173 2.491945 
59295.226955 2.471209 
59295.258737 2.449603 
59295.290519 2.427130 
59295.322301 2.403791 
59295.354083 2.379593 
59295.385865 2.354541 
59295.417647 2.328643 
59295.449429 2.301908 
59295.481211 2.274347 
59295.512993 2.245972 
59295.544775 2.216795 
59295.576557 2.186832 
59295.608338 2.156100 
59295.640120 2.124614 
59295.671902 2.092395 
59295.703684 2.059462 
59295.735466 2.025836 
59295.767248 1.991540 
59295.799030 1.956597 
59295.830812 1.921032 
59295.862594 1.884872 
59295.894376 1.848141 
59295.926158 1.810869 
59295.957940 1.773084 
59295.989722 1.734816 
59296.021504 1.696095 
59296.053286 1.656952 
59296.085068 1.617420 
59296.116850 1.577531 
59296.148632 1.537319 
59296.180414 1.496817 
59296.212196 1.456060 
59296.243978 1.415083 
59296.275760 1.373922 
59296.307542 1.332611 
59296.339324 1.291188 
59296.371106 1.249689 
59296.402888 1.208150 
59296.434670 1.166607 
59296.466452 1.125098 
59296.498234 1.083660 
59296.530016 1.042329 
59296.561798 1.001142 
59296.593580 0.960135 
59296.625362 0.919345 
59296.657144 0.878808 
59296.688926 0.838559 
59296.720708 0.798635 
59296.752490 0.759070 
59296.784272 0.719899 
59296.816054 0.681155 
59296.847836 0.642872 
59296.879618 0.605083 
59296.911400 0.567820 
59296.943182 0.531115 
59296.974964 0.494997 
59297.006746 0.459498 
59297.038528 0.424645 
59297.070310 0.390466 
59297.102092 0.356990 
59297.133874 0.324241 
59297.165656 0.292246 
59297.197438 0.261027 
59297.229220 0.230608 
59297.261002 0.201011 
59297.292784 0.172257 
59297.324566 0.144364 
59297.356348 0.117351 
59297.388130 0.091234 
59297.419912 0.066031 
59297.451694 0.041754 
59297.483476 0.018418 
59297.515258 -0.003966 
59297.547040 -0.025388 
59297.578822 -0.045839 
59297.610604 -0.065310 
59297.642386 -0.083796 
59297.674168 -0.101290 
59297.705950 -0.117791 
59297.737732 -0.133295 
