# time model 
59325.801227 0.085087 
59325.833009 0.036697 
59325.864791 -0.013648 
59325.896573 -0.065904 
59325.928355 -0.120023 
59325.960137 -0.175956 
59325.991919 -0.233646 
59326.023701 -0.293037 
59326.055483 -0.354066 
59326.087265 -0.416670 
59326.119047 -0.480781 
59326.150829 -0.546327 
59326.182611 -0.613235 
59326.214393 -0.681428 
59326.246175 -0.750825 
59326.277957 -0.821343 
59326.309739 -0.892898 
59326.341521 -0.965400 
59326.373303 -1.038760 
59326.405085 -1.112884 
59326.436867 -1.187676 
59326.468649 -1.263039 
59326.500431 -1.338873 
59326.532213 -1.415076 
59326.563995 -1.491545 
59326.595777 -1.568176 
59326.627559 -1.644860 
59326.659341 -1.721490 
59326.691123 -1.797957 
59326.722905 -1.874150 
59326.754687 -1.949958 
59326.786469 -2.025268 
59326.818251 -2.099967 
59326.850033 -2.173942 
59326.881815 -2.247080 
59326.913597 -2.319265 
59326.945379 -2.390384 
59326.977161 -2.460322 
59327.008943 -2.528966 
59327.040725 -2.596202 
59327.072507 -2.661918 
59327.104289 -2.726002 
59327.136071 -2.788341 
59327.167853 -2.848826 
59327.199635 -2.907348 
59327.231417 -2.963798 
59327.263199 -3.018072 
59327.294981 -3.070064 
59327.326763 -3.119671 
59327.358545 -3.166793 
59327.390327 -3.211331 
59327.422109 -3.253188 
59327.453891 -3.292270 
59327.485673 -3.328487 
59327.517455 -3.361748 
59327.549237 -3.391968 
59327.581019 -3.419063 
59327.612801 -3.442953 
59327.644583 -3.463562 
59327.676365 -3.480815 
59327.708147 -3.494643 
59327.739929 -3.504978 
59327.771711 -3.511757 
59327.803493 -3.514921 
59327.835275 -3.514414 
59327.867057 -3.510185 
59327.898839 -3.502185 
59327.930621 -3.490372 
59327.962402 -3.474705 
59327.994184 -3.455150 
59328.025966 -3.431676 
59328.057748 -3.404255 
59328.089530 -3.372866 
59328.121312 -3.337491 
59328.153094 -3.298117 
59328.184876 -3.254735 
59328.216658 -3.207341 
59328.248440 -3.155936 
59328.280222 -3.100525 
59328.312004 -3.041118 
59328.343786 -2.977729 
59328.375568 -2.910377 
59328.407350 -2.839086 
59328.439132 -2.763885 
59328.470914 -2.684806 
59328.502696 -2.601887 
59328.534478 -2.515171 
59328.566260 -2.424703 
59328.598042 -2.330536 
59328.629824 -2.232725 
59328.661606 -2.131329 
59328.693388 -2.026413 
59328.725170 -1.918047 
59328.756952 -1.806302 
59328.788734 -1.691256 
59328.820516 -1.572989 
59328.852298 -1.451587 
59328.884080 -1.327139 
59328.915862 -1.199736 
59328.947644 -1.069476 
59328.979426 -0.936458 
59329.011208 -0.800786 
59329.042990 -0.662565 
59329.074772 -0.521907 
59329.106554 -0.378923 
59329.138336 -0.233729 
59329.170118 -0.086445 
59329.201900 0.062808 
59329.233682 0.213907 
59329.265464 0.366725 
59329.297246 0.521134 
59329.329028 0.677003 
59329.360810 0.834199 
59329.392592 0.992587 
59329.424374 1.152033 
59329.456156 1.312398 
59329.487938 1.473543 
59329.519720 1.635329 
59329.551502 1.797613 
59329.583284 1.960256 
59329.615066 2.123113 
59329.646848 2.286042 
59329.678630 2.448900 
59329.710412 2.611543 
59329.742194 2.773828 
59329.773976 2.935612 
59329.805758 3.096751 
59329.837540 3.257104 
59329.869322 3.416528 
59329.901104 3.574883 
59329.932886 3.732029 
59329.964668 3.887827 
59329.996450 4.042141 
59330.028232 4.194834 
59330.060014 4.345773 
59330.091796 4.494824 
59330.123578 4.641859 
59330.155360 4.786749 
59330.187142 4.929367 
59330.218924 5.069591 
59330.250706 5.207300 
59330.282488 5.342376 
59330.314270 5.474703 
59330.346052 5.604170 
59330.377834 5.730666 
59330.409616 5.854086 
59330.441398 5.974328 
59330.473180 6.091291 
59330.504962 6.204882 
59330.536744 6.315007 
59330.568526 6.421578 
59330.600308 6.524512 
