# time model 
59325.801227 8.830760 
59325.833009 9.317972 
59325.864791 9.808917 
59325.896573 10.302940 
59325.928355 10.799373 
59325.960137 11.297535 
59325.991919 11.796732 
59326.023701 12.296260 
59326.055483 12.795401 
59326.087265 13.293432 
59326.119047 13.789616 
59326.150829 14.283214 
59326.182611 14.773474 
59326.214393 15.259643 
59326.246175 15.740961 
59326.277957 16.216664 
59326.309739 16.685985 
59326.341521 17.148157 
59326.373303 17.602410 
59326.405085 18.047976 
59326.436867 18.484088 
59326.468649 18.909979 
59326.500431 19.324888 
59326.532213 19.728059 
59326.563995 20.118740 
59326.595777 20.496186 
59326.627559 20.859659 
59326.659341 21.208430 
59326.691123 21.541782 
59326.722905 21.859005 
59326.754687 22.159404 
59326.786469 22.442294 
59326.818251 22.707007 
59326.850033 22.952888 
59326.881815 23.179297 
59326.913597 23.385612 
59326.945379 23.571228 
59326.977161 23.735559 
59327.008943 23.878038 
59327.040725 23.998120 
59327.072507 24.095279 
59327.104289 24.169011 
59327.136071 24.218837 
59327.167853 24.244299 
59327.199635 24.244966 
59327.231417 24.220429 
59327.263199 24.170308 
59327.294981 24.094247 
59327.326763 23.991917 
59327.358545 23.863018 
59327.390327 23.707278 
59327.422109 23.524451 
59327.453891 23.314324 
59327.485673 23.076711 
59327.517455 22.811457 
59327.549237 22.518436 
59327.581019 22.197555 
59327.612801 21.848749 
59327.644583 21.471988 
59327.676365 21.067269 
59327.708147 20.634624 
59327.739929 20.174115 
59327.771711 19.685836 
59327.803493 19.169914 
59327.835275 18.626506 
59327.867057 18.055802 
59327.898839 17.458024 
59327.930621 16.833424 
59327.962402 16.182287 
59327.994184 15.504929 
59328.025966 14.801696 
59328.057748 14.072967 
59328.089530 13.319147 
59328.121312 12.540677 
59328.153094 11.738021 
59328.184876 10.911679 
59328.216658 10.062173 
59328.248440 9.190059 
59328.280222 8.295917 
59328.312004 7.380354 
59328.343786 6.444006 
59328.375568 5.487532 
59328.407350 4.511618 
59328.439132 3.516972 
59328.470914 2.504328 
59328.502696 1.474442 
59328.534478 0.428090 
59328.566260 -0.633929 
59328.598042 -1.710796 
59328.629824 -2.801672 
59328.661606 -3.905703 
59328.693388 -5.022015 
59328.725170 -6.149717 
59328.756952 -7.287905 
59328.788734 -8.435659 
59328.820516 -9.592046 
59328.852298 -10.756121 
59328.884080 -11.926928 
59328.915862 -13.103501 
59328.947644 -14.284865 
59328.979426 -15.470036 
59329.011208 -16.658026 
59329.042990 -17.847840 
59329.074772 -19.038477 
59329.106554 -20.228936 
59329.138336 -21.418210 
59329.170118 -22.605296 
59329.201900 -23.789187 
59329.233682 -24.968879 
59329.265464 -26.143371 
59329.297246 -27.311665 
59329.329028 -28.472769 
59329.360810 -29.625695 
59329.392592 -30.769464 
59329.424374 -31.903105 
59329.456156 -33.025656 
59329.487938 -34.136164 
59329.519720 -35.233692 
59329.551502 -36.317311 
59329.583284 -37.386108 
59329.615066 -38.439185 
59329.646848 -39.475659 
59329.678630 -40.494664 
59329.710412 -41.495352 
59329.742194 -42.476894 
59329.773976 -43.438480 
59329.805758 -44.379320 
59329.837540 -45.298648 
59329.869322 -46.195718 
59329.901104 -47.069807 
59329.932886 -47.920219 
59329.964668 -48.746278 
59329.996450 -49.547338 
59330.028232 -50.322776 
59330.060014 -51.071997 
59330.091796 -51.794434 
59330.123578 -52.489546 
59330.155360 -53.156823 
59330.187142 -53.795782 
59330.218924 -54.405971 
59330.250706 -54.986968 
59330.282488 -55.538381 
59330.314270 -56.059848 
59330.346052 -56.551039 
59330.377834 -57.011655 
59330.409616 -57.441430 
59330.441398 -57.840128 
59330.473180 -58.207546 
59330.504962 -58.543513 
59330.536744 -58.847890 
59330.568526 -59.120571 
59330.600308 -59.361482 
59330.632090 -59.570580 
59330.663871 -59.747856 
59330.695653 -59.893332 
59330.727435 -60.007063 
59330.759217 -60.089134 
59330.790999 -60.139664 
59330.822781 -60.158800 
59330.854563 -60.146722 
59330.886345 -60.103642 
59330.918127 -60.029798 
59330.949909 -59.925461 
59330.981691 -59.790931 
59331.013473 -59.626536 
59331.045255 -59.432632 
59331.077037 -59.209605 
59331.108819 -58.957864 
59331.140601 -58.677849 
