# time model 
59290.205401 0.570780 
59290.237182 0.587283 
59290.268964 0.603733 
59290.300746 0.620125 
59290.332528 0.636455 
59290.364310 0.652717 
59290.396092 0.668906 
59290.427874 0.685017 
59290.459656 0.701045 
59290.491438 0.716984 
59290.523220 0.732829 
59290.555002 0.748574 
59290.586784 0.764214 
59290.618566 0.779744 
59290.650348 0.795157 
59290.682130 0.810449 
59290.713912 0.825613 
59290.745694 0.840644 
59290.777476 0.855537 
59290.809258 0.870285 
59290.841040 0.884883 
59290.872822 0.899324 
59290.904604 0.913604 
59290.936386 0.927717 
59290.968168 0.941656 
59290.999950 0.955416 
59291.031732 0.968991 
59291.063514 0.982376 
59291.095296 0.995564 
59291.127078 1.008551 
59291.158860 1.021329 
59291.190642 1.033894 
59291.222424 1.046240 
59291.254206 1.058362 
59291.285988 1.070253 
59291.317770 1.081909 
59291.349552 1.093323 
59291.381334 1.104492 
59291.413116 1.115408 
59291.444898 1.126068 
59291.476680 1.136465 
59291.508462 1.146596 
59291.540244 1.156454 
59291.572026 1.166036 
59291.603808 1.175335 
59291.635590 1.184349 
59291.667372 1.193071 
59291.699154 1.201498 
59291.730936 1.209626 
59291.762718 1.217450 
59291.794500 1.224966 
59291.826282 1.232170 
59291.858064 1.239059 
59291.889846 1.245628 
59291.921628 1.251876 
59291.953410 1.257797 
59291.985192 1.263390 
59292.016974 1.268650 
59292.048756 1.273576 
59292.080538 1.278165 
59292.112320 1.282413 
59292.144102 1.286320 
59292.175884 1.289883 
59292.207666 1.293099 
59292.239448 1.295968 
59292.271230 1.298488 
59292.303012 1.300657 
59292.334794 1.302474 
59292.366576 1.303939 
59292.398358 1.305050 
59292.430140 1.305807 
59292.461922 1.306210 
59292.493704 1.306259 
59292.525486 1.305953 
59292.557268 1.305293 
59292.589050 1.304280 
59292.620832 1.302913 
59292.652614 1.301194 
59292.684396 1.299124 
59292.716178 1.296704 
59292.747960 1.293936 
59292.779742 1.290820 
59292.811524 1.287360 
59292.843306 1.283556 
59292.875088 1.279412 
59292.906869 1.274929 
59292.938651 1.270110 
59292.970433 1.264957 
59293.002215 1.259474 
59293.033997 1.253664 
59293.065779 1.247529 
59293.097561 1.241074 
59293.129343 1.234301 
59293.161125 1.227214 
59293.192907 1.219817 
59293.224689 1.212115 
59293.256471 1.204110 
59293.288253 1.195808 
59293.320035 1.187212 
59293.351817 1.178327 
59293.383599 1.169158 
59293.415381 1.159709 
59293.447163 1.149985 
59293.478945 1.139991 
59293.510727 1.129732 
59293.542509 1.119213 
59293.574291 1.108439 
59293.606073 1.097415 
59293.637855 1.086146 
59293.669637 1.074638 
59293.701419 1.062897 
59293.733201 1.050927 
59293.764983 1.038734 
59293.796765 1.026324 
59293.828547 1.013702 
59293.860329 1.000874 
59293.892111 0.987846 
59293.923893 0.974622 
59293.955675 0.961210 
59293.987457 0.947613 
59294.019239 0.933839 
59294.051021 0.919893 
59294.082803 0.905781 
59294.114585 0.891508 
59294.146367 0.877079 
59294.178149 0.862502 
59294.209931 0.847780 
59294.241713 0.832921 
59294.273495 0.817929 
59294.305277 0.802810 
59294.337059 0.787570 
59294.368841 0.772213 
59294.400623 0.756747 
59294.432405 0.741175 
59294.464187 0.725504 
59294.495969 0.709738 
59294.527751 0.693884 
59294.559533 0.677946 
59294.591315 0.661929 
59294.623097 0.645839 
59294.654879 0.629680 
59294.686661 0.613458 
59294.718443 0.597177 
59294.750225 0.580843 
59294.782007 0.564461 
59294.813789 0.548034 
59294.845571 0.531568 
59294.877353 0.515067 
59294.909135 0.498536 
59294.940917 0.481980 
59294.972699 0.465402 
59295.004481 0.448807 
59295.036263 0.432199 
59295.068045 0.415583 
59295.099827 0.398962 
59295.131609 0.382341 
59295.163391 0.365723 
59295.195173 0.349113 
59295.226955 0.332514 
59295.258737 0.315930 
59295.290519 0.299365 
59295.322301 0.282821 
59295.354083 0.266304 
59295.385865 0.249815 
59295.417647 0.233359 
59295.449429 0.216939 
59295.481211 0.200557 
59295.512993 0.184218 
59295.544775 0.167923 
59295.576557 0.151677 
59295.608338 0.135482 
59295.640120 0.119340 
59295.671902 0.103256 
59295.703684 0.087231 
59295.735466 0.071267 
59295.767248 0.055369 
59295.799030 0.039537 
59295.830812 0.023775 
59295.862594 0.008085 
59295.894376 -0.007531 
59295.926158 -0.023071 
59295.957940 -0.038531 
59295.989722 -0.053911 
