# time model 
59290.205401 2.017334 
59290.237182 2.018315 
59290.268964 2.019275 
59290.300746 2.020213 
59290.332528 2.021131 
59290.364310 2.022028 
59290.396092 2.022905 
59290.427874 2.023760 
59290.459656 2.024595 
59290.491438 2.025408 
59290.523220 2.026202 
59290.555002 2.026974 
59290.586784 2.027726 
59290.618566 2.028457 
59290.650348 2.029168 
59290.682130 2.029858 
59290.713912 2.030527 
59290.745694 2.031177 
59290.777476 2.031805 
59290.809258 2.032414 
59290.841040 2.033001 
59290.872822 2.033569 
59290.904604 2.034116 
59290.936386 2.034643 
59290.968168 2.035150 
59290.999950 2.035637 
59291.031732 2.036103 
59291.063514 2.036549 
59291.095296 2.036975 
59291.127078 2.037382 
59291.158860 2.037768 
59291.190642 2.038134 
59291.222424 2.038480 
59291.254206 2.038806 
59291.285988 2.039112 
59291.317770 2.039399 
59291.349552 2.039665 
59291.381334 2.039912 
59291.413116 2.040139 
59291.444898 2.040346 
59291.476680 2.040534 
59291.508462 2.040702 
59291.540244 2.040850 
59291.572026 2.040979 
59291.603808 2.041088 
59291.635590 2.041177 
59291.667372 2.041247 
59291.699154 2.041298 
59291.730936 2.041329 
59291.762718 2.041341 
59291.794500 2.041333 
59291.826282 2.041306 
59291.858064 2.041260 
59291.889846 2.041194 
59291.921628 2.041109 
59291.953410 2.041005 
59291.985192 2.040882 
59292.016974 2.040740 
59292.048756 2.040578 
59292.080538 2.040398 
59292.112320 2.040198 
59292.144102 2.039979 
59292.175884 2.039742 
59292.207666 2.039485 
59292.239448 2.039210 
59292.271230 2.038915 
59292.303012 2.038602 
59292.334794 2.038270 
59292.366576 2.037919 
59292.398358 2.037549 
59292.430140 2.037161 
59292.461922 2.036754 
59292.493704 2.036328 
59292.525486 2.035884 
59292.557268 2.035421 
59292.589050 2.034939 
59292.620832 2.034439 
59292.652614 2.033920 
59292.684396 2.033383 
59292.716178 2.032827 
59292.747960 2.032253 
59292.779742 2.031660 
59292.811524 2.031050 
59292.843306 2.030420 
59292.875088 2.029773 
59292.906869 2.029107 
59292.938651 2.028423 
59292.970433 2.027721 
59293.002215 2.027000 
59293.033997 2.026261 
59293.065779 2.025505 
59293.097561 2.024730 
59293.129343 2.023937 
59293.161125 2.023126 
59293.192907 2.022297 
