# time model 
59290.205401 6.847538 
59290.237182 6.849493 
59290.268964 6.849050 
59290.300746 6.846232 
59290.332528 6.841066 
59290.364310 6.833581 
59290.396092 6.823807 
59290.427874 6.811779 
59290.459656 6.797530 
59290.491438 6.781099 
59290.523220 6.762523 
59290.555002 6.741845 
59290.586784 6.719107 
59290.618566 6.694353 
59290.650348 6.667630 
59290.682130 6.638986 
59290.713912 6.608471 
59290.745694 6.576136 
59290.777476 6.542032 
59290.809258 6.506215 
59290.841040 6.468739 
59290.872822 6.429661 
59290.904604 6.389038 
59290.936386 6.346929 
59290.968168 6.303395 
59290.999950 6.258494 
59291.031732 6.212290 
59291.063514 6.164843 
59291.095296 6.116218 
59291.127078 6.066477 
59291.158860 6.015684 
59291.190642 5.963904 
59291.222424 5.911201 
59291.254206 5.857641 
59291.285988 5.803289 
59291.317770 5.748209 
59291.349552 5.692468 
59291.381334 5.636130 
59291.413116 5.579260 
59291.444898 5.521924 
59291.476680 5.464185 
59291.508462 5.406108 
59291.540244 5.347757 
59291.572026 5.289194 
59291.603808 5.230482 
59291.635590 5.171682 
59291.667372 5.112856 
59291.699154 5.054064 
59291.730936 4.995365 
59291.762718 4.936816 
59291.794500 4.878476 
59291.826282 4.820400 
59291.858064 4.762643 
59291.889846 4.705258 
59291.921628 4.648297 
59291.953410 4.591813 
59291.985192 4.535853 
59292.016974 4.480465 
59292.048756 4.425697 
59292.080538 4.371593 
59292.112320 4.318196 
59292.144102 4.265548 
59292.175884 4.213687 
59292.207666 4.162654 
59292.239448 4.112482 
59292.271230 4.063208 
59292.303012 4.014863 
59292.334794 3.967477 
59292.366576 3.921081 
59292.398358 3.875700 
59292.430140 3.831358 
59292.461922 3.788080 
59292.493704 3.745886 
59292.525486 3.704794 
59292.557268 3.664821 
59292.589050 3.625983 
59292.620832 3.588291 
59292.652614 3.551756 
59292.684396 3.516388 
59292.716178 3.482192 
59292.747960 3.449173 
59292.779742 3.417334 
59292.811524 3.386676 
59292.843306 3.357197 
59292.875088 3.328893 
59292.906869 3.301760 
59292.938651 3.275790 
59292.970433 3.250975 
59293.002215 3.227302 
59293.033997 3.204761 
59293.065779 3.183335 
59293.097561 3.163009 
59293.129343 3.143765 
59293.161125 3.125583 
59293.192907 3.108441 
59293.224689 3.092317 
59293.256471 3.077187 
59293.288253 3.063024 
59293.320035 3.049801 
59293.351817 3.037489 
59293.383599 3.026058 
59293.415381 3.015477 
59293.447163 3.005714 
59293.478945 2.996734 
59293.510727 2.988503 
59293.542509 2.980984 
59293.574291 2.974142 
59293.606073 2.967939 
59293.637855 2.962335 
59293.669637 2.957291 
59293.701419 2.952769 
59293.733201 2.948726 
59293.764983 2.945123 
59293.796765 2.941916 
59293.828547 2.939065 
59293.860329 2.936526 
59293.892111 2.934258 
59293.923893 2.932217 
59293.955675 2.930360 
59293.987457 2.928645 
59294.019239 2.927027 
59294.051021 2.925465 
59294.082803 2.923915 
59294.114585 2.922336 
59294.146367 2.920684 
59294.178149 2.918917 
59294.209931 2.916996 
59294.241713 2.914877 
59294.273495 2.912521 
59294.305277 2.909889 
59294.337059 2.906941 
59294.368841 2.903639 
59294.400623 2.899946 
59294.432405 2.895824 
59294.464187 2.891239 
59294.495969 2.886155 
59294.527751 2.880539 
59294.559533 2.874359 
59294.591315 2.867583 
59294.623097 2.860181 
59294.654879 2.852125 
59294.686661 2.843386 
59294.718443 2.833938 
59294.750225 2.823758 
59294.782007 2.812820 
59294.813789 2.801104 
59294.845571 2.788588 
59294.877353 2.775254 
59294.909135 2.761084 
59294.940917 2.746063 
59294.972699 2.730176 
59295.004481 2.713410 
59295.036263 2.695755 
59295.068045 2.677201 
59295.099827 2.657740 
59295.131609 2.637367 
59295.163391 2.616077 
59295.195173 2.593867 
59295.226955 2.570737 
59295.258737 2.546687 
59295.290519 2.521720 
59295.322301 2.495839 
59295.354083 2.469050 
59295.385865 2.441361 
59295.417647 2.412781 
59295.449429 2.383320 
59295.481211 2.352991 
59295.512993 2.321807 
59295.544775 2.289784 
59295.576557 2.256939 
59295.608338 2.223291 
59295.640120 2.188858 
59295.671902 2.153662 
59295.703684 2.117727 
59295.735466 2.081076 
59295.767248 2.043735 
59295.799030 2.005730 
59295.830812 1.967090 
59295.862594 1.927843 
59295.894376 1.888019 
59295.926158 1.847650 
59295.957940 1.806769 
59295.989722 1.765409 
59296.021504 1.723603 
59296.053286 1.681388 
59296.085068 1.638799 
59296.116850 1.595873 
59296.148632 1.552647 
59296.180414 1.509160 
59296.212196 1.465450 
59296.243978 1.421556 
59296.275760 1.377518 
59296.307542 1.333376 
59296.339324 1.289170 
59296.371106 1.244941 
59296.402888 1.200730 
59296.434670 1.156577 
59296.466452 1.112523 
59296.498234 1.068610 
59296.530016 1.024878 
59296.561798 0.981369 
59296.593580 0.938121 
59296.625362 0.895177 
59296.657144 0.852576 
59296.688926 0.810357 
59296.720708 0.768560 
59296.752490 0.727223 
59296.784272 0.686385 
59296.816054 0.646082 
59296.847836 0.606351 
59296.879618 0.567229 
59296.911400 0.528751 
59296.943182 0.490950 
59296.974964 0.453861 
59297.006746 0.417515 
59297.038528 0.381944 
59297.070310 0.347179 
59297.102092 0.313249 
59297.133874 0.280181 
59297.165656 0.248003 
59297.197438 0.216741 
59297.229220 0.186418 
59297.261002 0.157058 
59297.292784 0.128682 
59297.324566 0.101312 
59297.356348 0.074965 
59297.388130 0.049659 
59297.419912 0.025411 
59297.451694 0.002235 
59297.483476 -0.019856 
59297.515258 -0.040851 
59297.547040 -0.060740 
59297.578822 -0.079513 
59297.610604 -0.097165 
59297.642386 -0.113689 
59297.674168 -0.129083 
59297.705950 -0.143344 
59297.737732 -0.156471 
59297.769514 -0.168466 
59297.801296 -0.179330 
59297.833078 -0.189069 
59297.864860 -0.197688 
59297.896642 -0.205193 
59297.928424 -0.211595 
59297.960206 -0.216902 
59297.991988 -0.221127 
59298.023770 -0.224284 
59298.055552 -0.226386 
59298.087334 -0.227449 
59298.119116 -0.227492 
59298.150898 -0.226533 
59298.182680 -0.224593 
59298.214462 -0.221692 
59298.246244 -0.217853 
59298.278026 -0.213100 
59298.309807 -0.207459 
59298.341589 -0.200955 
