# time model 
59290.205401 0.295498 
59290.237182 0.300322 
59290.268964 0.305146 
59290.300746 0.309970 
59290.332528 0.314792 
59290.364310 0.319614 
59290.396092 0.324436 
59290.427874 0.329256 
59290.459656 0.334076 
59290.491438 0.338895 
59290.523220 0.343713 
59290.555002 0.348530 
59290.586784 0.353346 
59290.618566 0.358161 
59290.650348 0.362974 
59290.682130 0.367787 
59290.713912 0.372598 
59290.745694 0.377408 
59290.777476 0.382216 
59290.809258 0.387023 
59290.841040 0.391829 
59290.872822 0.396633 
59290.904604 0.401435 
59290.936386 0.406236 
59290.968168 0.411034 
59290.999950 0.415832 
59291.031732 0.420627 
59291.063514 0.425420 
59291.095296 0.430211 
59291.127078 0.435000 
59291.158860 0.439788 
59291.190642 0.444573 
59291.222424 0.449355 
59291.254206 0.454136 
59291.285988 0.458914 
59291.317770 0.463690 
59291.349552 0.468463 
59291.381334 0.473233 
59291.413116 0.478002 
59291.444898 0.482767 
59291.476680 0.487530 
59291.508462 0.492290 
59291.540244 0.497047 
59291.572026 0.501801 
59291.603808 0.506552 
59291.635590 0.511301 
59291.667372 0.516046 
59291.699154 0.520788 
59291.730936 0.525527 
59291.762718 0.530262 
59291.794500 0.534994 
59291.826282 0.539723 
59291.858064 0.544448 
59291.889846 0.549170 
59291.921628 0.553888 
59291.953410 0.558603 
59291.985192 0.563314 
59292.016974 0.568021 
59292.048756 0.572724 
59292.080538 0.577423 
59292.112320 0.582118 
59292.144102 0.586809 
59292.175884 0.591496 
59292.207666 0.596179 
59292.239448 0.600858 
59292.271230 0.605532 
59292.303012 0.610202 
59292.334794 0.614868 
59292.366576 0.619529 
59292.398358 0.624185 
59292.430140 0.628837 
59292.461922 0.633484 
59292.493704 0.638126 
59292.525486 0.642763 
59292.557268 0.647396 
59292.589050 0.652023 
59292.620832 0.656646 
59292.652614 0.661263 
59292.684396 0.665875 
59292.716178 0.670482 
59292.747960 0.675084 
59292.779742 0.679680 
59292.811524 0.684271 
59292.843306 0.688856 
59292.875088 0.693436 
59292.906869 0.698010 
59292.938651 0.702578 
59292.970433 0.707140 
59293.002215 0.711697 
59293.033997 0.716247 
59293.065779 0.720792 
59293.097561 0.725330 
59293.129343 0.729863 
59293.161125 0.734389 
59293.192907 0.738909 
59293.224689 0.743422 
59293.256471 0.747929 
59293.288253 0.752430 
59293.320035 0.756923 
59293.351817 0.761411 
59293.383599 0.765891 
59293.415381 0.770365 
59293.447163 0.774832 
59293.478945 0.779292 
59293.510727 0.783745 
59293.542509 0.788190 
59293.574291 0.792629 
59293.606073 0.797060 
59293.637855 0.801485 
59293.669637 0.805901 
59293.701419 0.810311 
59293.733201 0.814712 
59293.764983 0.819107 
59293.796765 0.823493 
59293.828547 0.827872 
59293.860329 0.832243 
59293.892111 0.836606 
59293.923893 0.840961 
59293.955675 0.845308 
59293.987457 0.849647 
59294.019239 0.853978 
59294.051021 0.858300 
59294.082803 0.862614 
59294.114585 0.866920 
59294.146367 0.871217 
59294.178149 0.875506 
59294.209931 0.879786 
59294.241713 0.884057 
59294.273495 0.888320 
59294.305277 0.892574 
59294.337059 0.896818 
59294.368841 0.901054 
59294.400623 0.905281 
59294.432405 0.909498 
59294.464187 0.913707 
59294.495969 0.917905 
59294.527751 0.922095 
59294.559533 0.926275 
59294.591315 0.930445 
59294.623097 0.934606 
59294.654879 0.938757 
59294.686661 0.942899 
59294.718443 0.947030 
59294.750225 0.951152 
59294.782007 0.955263 
59294.813789 0.959365 
59294.845571 0.963456 
59294.877353 0.967537 
59294.909135 0.971608 
59294.940917 0.975668 
59294.972699 0.979718 
59295.004481 0.983757 
59295.036263 0.987786 
59295.068045 0.991804 
59295.099827 0.995811 
59295.131609 0.999807 
59295.163391 1.003793 
59295.195173 1.007767 
59295.226955 1.011730 
59295.258737 1.015682 
59295.290519 1.019623 
59295.322301 1.023552 
59295.354083 1.027470 
59295.385865 1.031376 
59295.417647 1.035271 
59295.449429 1.039154 
59295.481211 1.043026 
59295.512993 1.046885 
59295.544775 1.050733 
59295.576557 1.054569 
59295.608338 1.058392 
59295.640120 1.062204 
59295.671902 1.066003 
59295.703684 1.069790 
59295.735466 1.073565 
59295.767248 1.077327 
59295.799030 1.081076 
59295.830812 1.084813 
59295.862594 1.088537 
59295.894376 1.092249 
59295.926158 1.095947 
59295.957940 1.099633 
59295.989722 1.103306 
59296.021504 1.106965 
59296.053286 1.110612 
59296.085068 1.114245 
59296.116850 1.117864 
59296.148632 1.121470 
59296.180414 1.125063 
59296.212196 1.128642 
59296.243978 1.132208 
59296.275760 1.135760 
59296.307542 1.139297 
59296.339324 1.142821 
59296.371106 1.146331 
59296.402888 1.149827 
59296.434670 1.153309 
59296.466452 1.156776 
59296.498234 1.160230 
59296.530016 1.163668 
59296.561798 1.167093 
59296.593580 1.170502 
59296.625362 1.173897 
59296.657144 1.177278 
59296.688926 1.180643 
59296.720708 1.183994 
59296.752490 1.187329 
59296.784272 1.190650 
59296.816054 1.193956 
59296.847836 1.197246 
59296.879618 1.200521 
59296.911400 1.203780 
59296.943182 1.207024 
59296.974964 1.210253 
59297.006746 1.213466 
59297.038528 1.216663 
59297.070310 1.219845 
59297.102092 1.223010 
59297.133874 1.226160 
59297.165656 1.229294 
