# time model 
59325.801227 1.139771 
59325.833009 1.138148 
59325.864791 1.136243 
59325.896573 1.134055 
59325.928355 1.131584 
59325.960137 1.128829 
59325.991919 1.125791 
59326.023701 1.122469 
59326.055483 1.118864 
59326.087265 1.114978 
59326.119047 1.110809 
59326.150829 1.106360 
59326.182611 1.101631 
59326.214393 1.096624 
59326.246175 1.091339 
59326.277957 1.085778 
59326.309739 1.079944 
59326.341521 1.073836 
59326.373303 1.067459 
59326.405085 1.060813 
59326.436867 1.053900 
59326.468649 1.046724 
59326.500431 1.039286 
59326.532213 1.031589 
59326.563995 1.023636 
59326.595777 1.015430 
59326.627559 1.006973 
59326.659341 0.998269 
59326.691123 0.989321 
59326.722905 0.980133 
59326.754687 0.970707 
59326.786469 0.961047 
59326.818251 0.951158 
59326.850033 0.941042 
59326.881815 0.930704 
59326.913597 0.920147 
59326.945379 0.909376 
59326.977161 0.898395 
59327.008943 0.887208 
59327.040725 0.875820 
59327.072507 0.864234 
59327.104289 0.852456 
59327.136071 0.840489 
59327.167853 0.828340 
59327.199635 0.816011 
59327.231417 0.803508 
59327.263199 0.790836 
59327.294981 0.778000 
59327.326763 0.765005 
59327.358545 0.751855 
59327.390327 0.738555 
59327.422109 0.725112 
59327.453891 0.711529 
59327.485673 0.697812 
59327.517455 0.683967 
59327.549237 0.669997 
59327.581019 0.655910 
59327.612801 0.641708 
59327.644583 0.627399 
59327.676365 0.612988 
59327.708147 0.598478 
59327.739929 0.583877 
59327.771711 0.569188 
59327.803493 0.554418 
59327.835275 0.539572 
59327.867057 0.524654 
59327.898839 0.509670 
59327.930621 0.494626 
59327.962402 0.479526 
59327.994184 0.464375 
59328.025966 0.449179 
59328.057748 0.433943 
59328.089530 0.418672 
59328.121312 0.403371 
59328.153094 0.388045 
59328.184876 0.372698 
59328.216658 0.357336 
59328.248440 0.341964 
59328.280222 0.326586 
59328.312004 0.311207 
59328.343786 0.295831 
59328.375568 0.280464 
59328.407350 0.265109 
59328.439132 0.249772 
59328.470914 0.234457 
59328.502696 0.219167 
59328.534478 0.203908 
59328.566260 0.188683 
59328.598042 0.173496 
59328.629824 0.158352 
59328.661606 0.143254 
59328.693388 0.128206 
59328.725170 0.113212 
59328.756952 0.098276 
59328.788734 0.083400 
59328.820516 0.068590 
59328.852298 0.053847 
59328.884080 0.039175 
59328.915862 0.024577 
59328.947644 0.010057 
59328.979426 -0.004383 
59329.011208 -0.018740 
59329.042990 -0.033010 
59329.074772 -0.047193 
59329.106554 -0.061284 
59329.138336 -0.075282 
59329.170118 -0.089184 
59329.201900 -0.102987 
59329.233682 -0.116691 
59329.265464 -0.130293 
59329.297246 -0.143790 
