# time model 
59290.205401 3.238400 
59290.237182 3.171212 
59290.268964 3.084785 
59290.300746 2.980902 
59290.332528 2.861839 
59290.364310 2.730288 
59290.396092 2.589274 
59290.427874 2.442055 
59290.459656 2.292027 
59290.491438 2.142616 
59290.523220 1.997188 
59290.555002 1.858956 
59290.586784 1.730902 
59290.618566 1.615711 
59290.650348 1.515717 
59290.682130 1.432860 
59290.713912 1.368657 
59290.745694 1.324185 
59290.777476 1.300071 
59290.809258 1.296490 
59290.841040 1.313172 
59290.872822 1.349418 
59290.904604 1.404114 
59290.936386 1.475756 
59290.968168 1.562476 
59290.999950 1.662077 
59291.031732 1.772068 
59291.063514 1.889713 
59291.095296 2.012071 
59291.127078 2.136064 
59291.158860 2.258529 
59291.190642 2.376295 
59291.222424 2.486256 
59291.254206 2.585447 
59291.285988 2.671132 
59291.317770 2.740881 
59291.349552 2.792649 
59291.381334 2.824851 
59291.413116 2.836413 
59291.444898 2.826827 
59291.476680 2.796172 
59291.508462 2.745123 
59291.540244 2.674934 
59291.572026 2.587405 
59291.603808 2.484822 
59291.635590 2.369888 
59291.667372 2.245631 
59291.699154 2.115309 
59291.730936 1.982310 
59291.762718 1.850051 
59291.794500 1.721883 
59291.826282 1.600997 
59291.858064 1.490354 
59291.889846 1.392612 
59291.921628 1.310076 
59291.953410 1.244656 
59291.985192 1.197840 
59292.016974 1.170671 
59292.048756 1.163743 
59292.080538 1.177202 
59292.112320 1.210746 
59292.144102 1.263646 
59292.175884 1.334758 
59292.207666 1.422550 
59292.239448 1.525129 
59292.271230 1.640274 
59292.303012 1.765472 
59292.334794 1.897965 
59292.366576 2.034800 
59292.398358 2.172880 
59292.430140 2.309036 
59292.461922 2.440088 
59292.493704 2.562928 
59292.525486 2.674594 
59292.557268 2.772355 
59292.589050 2.853791 
59292.620832 2.916873 
59292.652614 2.960031 
59292.684396 2.982214 
59292.716178 2.982935 
59292.747960 2.962296 
59292.779742 2.920996 
59292.811524 2.860311 
59292.843306 2.782062 
59292.875088 2.688552 
59292.906869 2.582496 
59292.938651 2.466932 
59292.970433 2.345122 
59293.002215 2.220454 
59293.033997 2.096338 
59293.065779 1.976115 
59293.097561 1.862965 
59293.129343 1.759829 
59293.161125 1.669346 
59293.192907 1.593800 
59293.224689 1.535077 
59293.256471 1.494640 
59293.288253 1.473509 
59293.320035 1.472252 
59293.351817 1.490991 
59293.383599 1.529401 
59293.415381 1.586729 
59293.447163 1.661812 
59293.478945 1.753098 
59293.510727 1.858675 
59293.542509 1.976307 
59293.574291 2.103467 
59293.606073 2.237387 
59293.637855 2.375103 
59293.669637 2.513517 
59293.701419 2.649456 
59293.733201 2.779745 
59293.764983 2.901281 
59293.796765 3.011113 
59293.828547 3.106525 
59293.860329 3.185119 
59293.892111 3.244886 
59293.923893 3.284285 
59293.955675 3.302295 
59293.987457 3.298459 
59294.019239 3.272915 
59294.051021 3.226391 
59294.082803 3.160198 
59294.114585 3.076184 
59294.146367 2.976679 
59294.178149 2.864421 
59294.209931 2.742465 
59294.241713 2.614086 
59294.273495 2.482681 
59294.305277 2.351665 
59294.337059 2.224376 
59294.368841 2.103989 
59294.400623 1.993439 
59294.432405 1.895354 
59294.464187 1.812003 
59294.495969 1.745259 
59294.527751 1.696569 
59294.559533 1.666937 
59294.591315 1.656917 
59294.623097 1.666612 
59294.654879 1.695684 
59294.686661 1.743367 
59294.718443 1.808483 
59294.750225 1.889470 
59294.782007 1.984407 
59294.813789 2.091048 
59294.845571 2.206862 
59294.877353 2.329078 
59294.909135 2.454731 
59294.940917 2.580726 
59294.972699 2.703895 
59295.004481 2.821075 
59295.036263 2.929174 
59295.068045 3.025262 
59295.099827 3.106643 
59295.131609 3.170946 
59295.163391 3.216192 
59295.195173 3.240873 
59295.226955 3.244003 
59295.258737 3.225165 
59295.290519 3.184531 
59295.322301 3.122871 
59295.354083 3.041531 
59295.385865 2.942392 
59295.417647 2.827818 
59295.449429 2.700570 
59295.481211 2.563727 
59295.512993 2.420581 
59295.544775 2.274540 
59295.576557 2.129026 
59295.608338 1.987380 
59295.640120 1.852775 
59295.671902 1.728141 
59295.703684 1.616097 
59295.735466 1.518902 
59295.767248 1.438417 
59295.799030 1.376075 
59295.830812 1.332865 
59295.862594 1.309328 
59295.894376 1.305552 
59295.926158 1.321186 
59295.957940 1.355450 
59295.989722 1.407155 
59296.021504 1.474727 
59296.053286 1.556236 
59296.085068 1.649428 
59296.116850 1.751767 
59296.148632 1.860477 
59296.180414 1.972594 
59296.212196 2.085023 
59296.243978 2.194603 
59296.275760 2.298176 
59296.307542 2.392667 
59296.339324 2.475159 
59296.371106 2.542978 
59296.402888 2.593776 
59296.434670 2.625603 
59296.466452 2.636979 
59296.498234 2.626954 
59296.530016 2.595142 
59296.561798 2.541754 
59296.593580 2.467592 
59296.625362 2.374034 
59296.657144 2.262993 
59296.688926 2.136857 
59296.720708 1.998412 
59296.752490 1.850753 
59296.784272 1.697183 
59296.816054 1.541119 
59296.847836 1.385983 
59296.879618 1.235113 
59296.911400 1.091677 
59296.943182 0.958591 
59296.974964 0.838461 
