# time model 
59290.205401 0.889586 
59290.237182 0.858261 
59290.268964 0.804355 
59290.300746 0.729637 
59290.332528 0.636485 
59290.364310 0.527765 
59290.396092 0.406699 
59290.427874 0.276729 
59290.459656 0.141390 
59290.491438 0.004197 
59290.523220 -0.131455 
59290.555002 -0.262367 
59290.586784 -0.385595 
59290.618566 -0.498489 
59290.650348 -0.598719 
59290.682130 -0.684290 
59290.713912 -0.753550 
59290.745694 -0.805190 
59290.777476 -0.838243 
59290.809258 -0.852082 
59290.841040 -0.846422 
59290.872822 -0.821322 
59290.904604 -0.777189 
59290.936386 -0.714786 
59290.968168 -0.635236 
59290.999950 -0.540033 
59291.031732 -0.431045 
59291.063514 -0.310511 
59291.095296 -0.181027 
59291.127078 -0.045525 
59291.158860 0.092768 
59291.190642 0.230395 
59291.222424 0.363750 
59291.254206 0.489179 
59291.285988 0.603103 
59291.317770 0.702157 
59291.349552 0.783328 
59291.381334 0.844092 
59291.413116 0.882540 
59291.444898 0.897468 
59291.476680 0.888437 
59291.508462 0.855798 
59291.540244 0.800659 
59291.572026 0.724829 
59291.603808 0.630715 
59291.635590 0.521207 
59291.667372 0.399543 
59291.699154 0.269174 
59291.730936 0.133638 
59291.762718 -0.003557 
59291.794500 -0.139024 
59291.826282 -0.269578 
59291.858064 -0.392288 
59291.889846 -0.504524 
59291.921628 -0.603973 
59291.953410 -0.688662 
59291.985192 -0.756956 
59292.016974 -0.807566 
59292.048756 -0.839544 
59292.080538 -0.852283 
59292.112320 -0.845517 
59292.144102 -0.819325 
59292.175884 -0.774134 
59292.207666 -0.710726 
59292.239448 -0.630246 
59292.271230 -0.534210 
59292.303012 -0.424505 
59292.334794 -0.303391 
59292.366576 -0.173485 
59292.398358 -0.037737 
59292.430140 0.100613 
59292.461922 0.238096 
59292.493704 0.371099 
59292.525486 0.495971 
59292.557268 0.609140 
59292.589050 0.707258 
59292.620832 0.787335 
59292.652614 0.846881 
59292.684396 0.884022 
59292.716178 0.897597 
