# time model 
59325.801227 1.191495 
59325.833009 1.187448 
59325.864791 1.183176 
59325.896573 1.178682 
59325.928355 1.173968 
59325.960137 1.169036 
59325.991919 1.163889 
59326.023701 1.158531 
59326.055483 1.152963 
59326.087265 1.147189 
59326.119047 1.141212 
59326.150829 1.135035 
59326.182611 1.128661 
59326.214393 1.122094 
59326.246175 1.115337 
59326.277957 1.108394 
59326.309739 1.101269 
59326.341521 1.093965 
59326.373303 1.086486 
59326.405085 1.078835 
59326.436867 1.071018 
59326.468649 1.063038 
59326.500431 1.054899 
59326.532213 1.046606 
59326.563995 1.038162 
59326.595777 1.029573 
59326.627559 1.020841 
59326.659341 1.011973 
59326.691123 1.002973 
59326.722905 0.993844 
59326.754687 0.984592 
59326.786469 0.975221 
59326.818251 0.965736 
59326.850033 0.956142 
59326.881815 0.946443 
59326.913597 0.936645 
59326.945379 0.926752 
59326.977161 0.916768 
59327.008943 0.906699 
59327.040725 0.896550 
59327.072507 0.886325 
59327.104289 0.876029 
59327.136071 0.865667 
59327.167853 0.855245 
59327.199635 0.844766 
59327.231417 0.834236 
59327.263199 0.823659 
59327.294981 0.813041 
59327.326763 0.802386 
59327.358545 0.791699 
59327.390327 0.780985 
59327.422109 0.770248 
59327.453891 0.759493 
59327.485673 0.748724 
59327.517455 0.737947 
59327.549237 0.727166 
59327.581019 0.716385 
59327.612801 0.705609 
59327.644583 0.694842 
59327.676365 0.684089 
59327.708147 0.673354 
59327.739929 0.662640 
59327.771711 0.651953 
59327.803493 0.641296 
59327.835275 0.630674 
59327.867057 0.620089 
59327.898839 0.609547 
59327.930621 0.599051 
59327.962402 0.588604 
59327.994184 0.578210 
59328.025966 0.567873 
59328.057748 0.557596 
59328.089530 0.547382 
59328.121312 0.537235 
59328.153094 0.527157 
59328.184876 0.517152 
59328.216658 0.507223 
59328.248440 0.497373 
59328.280222 0.487603 
59328.312004 0.477918 
59328.343786 0.468319 
59328.375568 0.458808 
59328.407350 0.449388 
59328.439132 0.440061 
59328.470914 0.430830 
59328.502696 0.421695 
59328.534478 0.412660 
59328.566260 0.403724 
59328.598042 0.394891 
59328.629824 0.386162 
59328.661606 0.377537 
59328.693388 0.369018 
59328.725170 0.360606 
59328.756952 0.352302 
59328.788734 0.344107 
59328.820516 0.336021 
59328.852298 0.328046 
59328.884080 0.320181 
59328.915862 0.312427 
59328.947644 0.304784 
59328.979426 0.297252 
59329.011208 0.289831 
59329.042990 0.282521 
59329.074772 0.275321 
59329.106554 0.268232 
59329.138336 0.261252 
59329.170118 0.254381 
59329.201900 0.247618 
59329.233682 0.240963 
59329.265464 0.234414 
59329.297246 0.227969 
59329.329028 0.221629 
59329.360810 0.215391 
59329.392592 0.209254 
59329.424374 0.203216 
59329.456156 0.197277 
59329.487938 0.191433 
59329.519720 0.185683 
59329.551502 0.180024 
59329.583284 0.174456 
59329.615066 0.168976 
59329.646848 0.163580 
59329.678630 0.158268 
59329.710412 0.153036 
59329.742194 0.147882 
59329.773976 0.142803 
59329.805758 0.137797 
59329.837540 0.132860 
59329.869322 0.127990 
59329.901104 0.123184 
59329.932886 0.118438 
59329.964668 0.113749 
59329.996450 0.109115 
59330.028232 0.104532 
59330.060014 0.099997 
59330.091796 0.095506 
59330.123578 0.091056 
59330.155360 0.086643 
59330.187142 0.082264 
59330.218924 0.077915 
59330.250706 0.073593 
59330.282488 0.069294 
59330.314270 0.065014 
59330.346052 0.060750 
59330.377834 0.056497 
59330.409616 0.052253 
59330.441398 0.048012 
59330.473180 0.043773 
59330.504962 0.039529 
59330.536744 0.035279 
59330.568526 0.031017 
59330.600308 0.026740 
59330.632090 0.022445 
59330.663871 0.018127 
59330.695653 0.013782 
59330.727435 0.009407 
59330.759217 0.004998 
59330.790999 0.000551 
59330.822781 -0.003938 
59330.854563 -0.008472 
59330.886345 -0.013055 
59330.918127 -0.017690 
59330.949909 -0.022383 
59330.981691 -0.027135 
59331.013473 -0.031951 
59331.045255 -0.036833 
59331.077037 -0.041787 
59331.108819 -0.046814 
59331.140601 -0.051918 
59331.172383 -0.057103 
59331.204165 -0.062371 
59331.235947 -0.067727 
59331.267729 -0.073172 
59331.299511 -0.078710 
59331.331293 -0.084344 
59331.363075 -0.090077 
59331.394857 -0.095910 
59331.426639 -0.101848 
59331.458421 -0.107893 
59331.490203 -0.114047 
59331.521985 -0.120312 
59331.553767 -0.126691 
59331.585549 -0.133187 
59331.617331 -0.139800 
59331.649113 -0.146533 
59331.680895 -0.153389 
59331.712677 -0.160368 
59331.744459 -0.167473 
59331.776241 -0.174704 
59331.808023 -0.182064 
59331.839805 -0.189554 
59331.871587 -0.197175 
59331.903369 -0.204927 
59331.935151 -0.212813 
59331.966933 -0.220833 
59331.998715 -0.228987 
59332.030497 -0.237276 
59332.062279 -0.245701 
59332.094061 -0.254262 
59332.125843 -0.262958 
59332.157625 -0.271791 
59332.189407 -0.280761 
59332.221189 -0.289866 
59332.252971 -0.299106 
59332.284753 -0.308482 
59332.316535 -0.317993 
59332.348317 -0.327637 
59332.380099 -0.337414 
59332.411881 -0.347324 
59332.443663 -0.357364 
59332.475445 -0.367534 
59332.507227 -0.377832 
59332.539009 -0.388256 
59332.570791 -0.398806 
59332.602573 -0.409479 
59332.634355 -0.420274 
59332.666137 -0.431188 
59332.697919 -0.442219 
59332.729701 -0.453364 
59332.761483 -0.464623 
59332.793265 -0.475991 
59332.825047 -0.487466 
59332.856829 -0.499045 
59332.888611 -0.510726 
59332.920393 -0.522506 
59332.952175 -0.534381 
59332.983957 -0.546347 
59333.015739 -0.558402 
59333.047521 -0.570543 
59333.079303 -0.582764 
59333.111085 -0.595064 
59333.142867 -0.607437 
59333.174649 -0.619881 
59333.206431 -0.632390 
59333.238213 -0.644961 
59333.269995 -0.657590 
59333.301777 -0.670272 
59333.333559 -0.683002 
59333.365340 -0.695777 
59333.397122 -0.708592 
59333.428904 -0.721442 
59333.460686 -0.734323 
59333.492468 -0.747229 
59333.524250 -0.760156 
59333.556032 -0.773098 
59333.587814 -0.786051 
59333.619596 -0.799010 
59333.651378 -0.811969 
59333.683160 -0.824924 
59333.714942 -0.837869 
59333.746724 -0.850798 
59333.778506 -0.863707 
59333.810288 -0.876590 
59333.842070 -0.889442 
59333.873852 -0.902257 
59333.905634 -0.915030 
59333.937416 -0.927755 
59333.969198 -0.940427 
59334.000980 -0.953040 
59334.032762 -0.965589 
59334.064544 -0.978069 
59334.096326 -0.990473 
59334.128108 -1.002796 
59334.159890 -1.015032 
59334.191672 -1.027177 
59334.223454 -1.039225 
59334.255236 -1.051169 
59334.287018 -1.063005 
59334.318800 -1.074727 
59334.350582 -1.086330 
59334.382364 -1.097808 
59334.414146 -1.109156 
59334.445928 -1.120369 
59334.477710 -1.131441 
59334.509492 -1.142367 
59334.541274 -1.153143 
59334.573056 -1.163762 
59334.604838 -1.174220 
59334.636620 -1.184512 
59334.668402 -1.194633 
59334.700184 -1.204578 
59334.731966 -1.214342 
59334.763748 -1.223921 
59334.795530 -1.233310 
59334.827312 -1.242505 
59334.859094 -1.251501 
59334.890876 -1.260294 
59334.922658 -1.268880 
59334.954440 -1.277254 
59334.986222 -1.285412 
59335.018004 -1.293351 
59335.049786 -1.301067 
59335.081568 -1.308556 
59335.113350 -1.315815 
59335.145132 -1.322839 
