# time model 
59290.205401 0.901865 
59290.237182 0.825075 
59290.268964 0.715325 
59290.300746 0.574900 
59290.332528 0.408911 
59290.364310 0.225103 
59290.396092 0.033074 
59290.427874 -0.156958 
59290.459656 -0.335503 
59290.491438 -0.494872 
59290.523220 -0.629760 
59290.555002 -0.737297 
59290.586784 -0.816711 
59290.618566 -0.868806 
59290.650348 -0.895412 
59290.682130 -0.898928 
59290.713912 -0.881964 
59290.745694 -0.847117 
59290.777476 -0.796832 
59290.809258 -0.733337 
59290.841040 -0.658619 
59290.872822 -0.574435 
59290.904604 -0.482336 
59290.936386 -0.383703 
59290.968168 -0.279784 
59290.999950 -0.171737 
59291.031732 -0.060670 
59291.063514 0.052314 
59291.095296 0.166070 
59291.127078 0.279360 
59291.158860 0.390806 
59291.190642 0.498826 
59291.222424 0.601579 
59291.254206 0.696901 
59291.285988 0.782255 
59291.317770 0.854691 
59291.349552 0.910846 
59291.381334 0.947011 
59291.413116 0.959291 
59291.444898 0.943910 
59291.476680 0.897679 
59291.508462 0.818619 
59291.540244 0.706672 
59291.572026 0.564307 
59291.603808 0.396828 
59291.635590 0.212139 
59291.667372 0.019923 
59291.699154 -0.169612 
59291.730936 -0.347067 
59291.762718 -0.504905 
59291.794500 -0.637991 
59291.826282 -0.743611 
59291.858064 -0.821120 
59291.889846 -0.871408 
59291.921628 -0.896358 
59291.953410 -0.898391 
59291.985192 -0.880125 
59292.016974 -0.844148 
59292.048756 -0.792894 
59292.080538 -0.728572 
59292.112320 -0.653154 
59292.144102 -0.568382 
59292.175884 -0.475795 
59292.207666 -0.376763 
59292.239448 -0.272527 
59292.271230 -0.164238 
59292.303012 -0.053005 
59292.334794 0.060069 
59292.366576 0.173833 
59292.398358 0.287044 
59292.430140 0.398309 
59292.461922 0.506031 
59292.493704 0.608349 
59292.525486 0.703077 
59292.557268 0.787647 
59292.589050 0.859082 
59292.620832 0.913994 
59292.652614 0.948653 
59292.684396 0.959161 
59292.716178 0.941766 
59292.747960 0.893338 
59292.779742 0.812010 
59292.811524 0.697876 
59292.843306 0.553596 
59292.875088 0.384665 
59292.906869 0.199141 
59292.938651 0.006785 
59292.970433 -0.182208 
59293.002215 -0.358538 
59293.033997 -0.514821 
59293.065779 -0.646092 
59293.097561 -0.749794 
59293.129343 -0.825402 
59293.161125 -0.873891 
59293.192907 -0.897196 
59293.224689 -0.897760 
59293.256471 -0.878203 
59293.288253 -0.841109 
59293.320035 -0.788895 
59293.351817 -0.723756 
59293.383599 -0.647646 
59293.415381 -0.562294 
59293.447163 -0.469225 
59293.478945 -0.369799 
59293.510727 -0.265250 
59293.542509 -0.156726 
59293.574291 -0.045331 
59293.606073 0.067827 
59293.637855 0.181595 
59293.669637 0.294719 
59293.701419 0.405795 
59293.733201 0.513211 
59293.764983 0.615085 
59293.796765 0.709204 
59293.828547 0.792978 
59293.860329 0.863397 
59293.892111 0.917048 
59293.923893 0.950183 
59293.955675 0.958901 
59293.987457 0.939476 
59294.019239 0.888844 
59294.051021 0.805247 
59294.082803 0.688938 
59294.114585 0.542768 
59294.146367 0.372423 
59294.178149 0.186110 
59294.209931 -0.006337 
59294.241713 -0.194744 
59294.273495 -0.369914 
59294.305277 -0.524620 
59294.337059 -0.654065 
59294.368841 -0.755845 
59294.400623 -0.829557 
59294.432405 -0.876257 
59294.464187 -0.897929 
59294.495969 -0.897035 
59294.527751 -0.876200 
59294.559533 -0.837999 
59294.591315 -0.784836 
59294.623097 -0.718888 
59294.654879 -0.642095 
59294.686661 -0.556169 
59294.718443 -0.462625 
59294.750225 -0.362811 
59294.782007 -0.257955 
59294.813789 -0.149200 
59294.845571 -0.037650 
59294.877353 0.075588 
59294.909135 0.189353 
59294.940917 0.302384 
59294.972699 0.413264 
59295.004481 0.520365 
59295.036263 0.621784 
59295.068045 0.715284 
59295.099827 0.798246 
59295.131609 0.867634 
59295.163391 0.920006 
59295.195173 0.951598 
59295.226955 0.958510 
59295.258737 0.937041 
59295.290519 0.884195 
59295.322301 0.798330 
59295.354083 0.679860 
59295.385865 0.531828 
59295.417647 0.360107 
59295.449429 0.173051 
59295.481211 -0.019440 
59295.512993 -0.207218 
59295.544775 -0.381195 
59295.576557 -0.534300 
59295.608338 -0.661907 
59295.640120 -0.761765 
59295.671902 -0.833586 
59295.703684 -0.878507 
59295.735466 -0.898556 
59295.767248 -0.896217 
59295.799030 -0.874116 
59295.830812 -0.834820 
59295.862594 -0.780717 
59295.894376 -0.713970 
59295.926158 -0.636501 
59295.957940 -0.550009 
59295.989722 -0.455996 
59296.021504 -0.355800 
59296.053286 -0.250642 
59296.085068 -0.141661 
59296.116850 -0.029960 
59296.148632 0.083351 
59296.180414 0.197108 
59296.212196 0.310039 
59296.243978 0.420716 
59296.275760 0.527493 
59296.307542 0.628446 
59296.339324 0.721315 
59296.371106 0.803452 
59296.402888 0.871792 
59296.434670 0.922868 
59296.466452 0.952899 
59296.498234 0.957986 
59296.530016 0.934459 
59296.561798 0.879391 
59296.593580 0.791260 
59296.625362 0.670643 
59296.657144 0.520775 
59296.688926 0.347718 
59296.720708 0.159966 
59296.752490 -0.032521 
59296.784272 -0.219627 
59296.816054 -0.392377 
59296.847836 -0.543860 
59296.879618 -0.669620 
59296.911400 -0.767553 
59296.943182 -0.837489 
59296.974964 -0.880640 
59297.006746 -0.899079 
59297.038528 -0.895307 
59297.070310 -0.871952 
59297.102092 -0.831571 
59297.133874 -0.776539 
59297.165656 -0.709002 
59297.197438 -0.630865 
59297.229220 -0.543814 
59297.261002 -0.449338 
59297.292784 -0.348766 
59297.324566 -0.243311 
59297.356348 -0.134110 
59297.388130 -0.022263 
59297.419912 0.091117 
59297.451694 0.204859 
59297.483476 0.317684 
59297.515258 0.428150 
59297.547040 0.534594 
59297.578822 0.635071 
59297.610604 0.727296 
59297.642386 0.808593 
59297.674168 0.875869 
59297.705950 0.925632 
59297.737732 0.954083 
59297.769514 0.957328 
59297.801296 0.931729 
59297.833078 0.874433 
59297.864860 0.784037 
59297.896642 0.661289 
59297.928424 0.509614 
59297.960206 0.335260 
59297.991988 0.146859 
59298.023770 -0.045576 
59298.055552 -0.231968 
59298.087334 -0.403459 
59298.119116 -0.553300 
59298.150898 -0.677202 
59298.182680 -0.773210 
59298.214462 -0.841267 
59298.246244 -0.882658 
59298.278026 -0.899498 
59298.309807 -0.894306 
59298.341589 -0.869709 
59298.373371 -0.828255 
59298.405153 -0.772303 
59298.436935 -0.703984 
59298.468717 -0.625188 
59298.500499 -0.537585 
59298.532281 -0.442651 
59298.564063 -0.341709 
59298.595845 -0.235963 
59298.627627 -0.126546 
59298.659409 -0.014558 
59298.691191 0.098884 
59298.722973 0.212606 
59298.754755 0.325317 
59298.786537 0.435565 
59298.818319 0.541667 
59298.850101 0.641658 
59298.881883 0.733227 
59298.913665 0.813670 
59298.945447 0.879865 
59298.977229 0.928296 
59299.009011 0.955150 
59299.040793 0.956536 
59299.072575 0.928851 
59299.104357 0.869319 
59299.136139 0.776663 
59299.167921 0.651798 
59299.199703 0.498346 
59299.231485 0.322737 
59299.263267 0.133733 
59299.295049 -0.058602 
59299.326831 -0.244238 
59299.358613 -0.414439 
59299.390395 -0.562617 
59299.422177 -0.684653 
59299.453959 -0.778737 
59299.485741 -0.844920 
59299.517523 -0.884561 
59299.549305 -0.899814 
59299.581087 -0.893214 
59299.612869 -0.867387 
59299.644651 -0.824871 
59299.676433 -0.768010 
59299.708215 -0.698918 
59299.739997 -0.619470 
59299.771779 -0.531321 
59299.803561 -0.435937 
59299.835343 -0.334629 
59299.867125 -0.228597 
59299.898907 -0.118970 
59299.930689 -0.006847 
59299.962471 0.106653 
59299.994253 0.220348 
59300.026035 0.332940 
59300.057817 0.442961 
59300.089599 0.548712 
59300.121381 0.648205 
59300.153163 0.739105 
59300.184945 0.818679 
59300.216727 0.883778 
59300.248509 0.930860 
59300.280291 0.956098 
59300.312073 0.955608 
59300.343855 0.925824 
59300.375637 0.864050 
59300.407419 0.769138 
59300.439201 0.642174 
59300.470983 0.486974 
59300.502765 0.310150 
59300.534547 0.120591 
59300.566329 -0.071597 
59300.598111 -0.256436 
59300.629893 -0.425316 
59300.661675 -0.571812 
59300.693457 -0.691973 
59300.725239 -0.784133 
59300.757021 -0.848449 
59300.788803 -0.886351 
59300.820585 -0.900029 
59300.852367 -0.892033 
59300.884149 -0.864988 
59300.915931 -0.821420 
59300.947713 -0.763660 
59300.979495 -0.693804 
59301.011276 -0.613712 
59301.043058 -0.525024 
59301.074840 -0.429195 
59301.106622 -0.327528 
59301.138404 -0.221215 
59301.170186 -0.111382 
59301.201968 0.000870 
