# time model 
59290.205401 -0.068674 
59290.237182 -0.121084 
59290.268964 -0.174919 
59290.300746 -0.230021 
59290.332528 -0.286195 
59290.364310 -0.343202 
59290.396092 -0.400757 
59290.427874 -0.458516 
59290.459656 -0.516081 
59290.491438 -0.572986 
59290.523220 -0.628701 
59290.555002 -0.682631 
59290.586784 -0.734116 
59290.618566 -0.782441 
59290.650348 -0.826846 
59290.682130 -0.866546 
59290.713912 -0.900751 
59290.745694 -0.928695 
59290.777476 -0.949673 
59290.809258 -0.963068 
59290.841040 -0.968395 
59290.872822 -0.965325 
59290.904604 -0.953715 
59290.936386 -0.933619 
59290.968168 -0.905296 
59290.999950 -0.869195 
59291.031732 -0.825939 
59291.063514 -0.776293 
59291.095296 -0.721125 
59291.127078 -0.661369 
59291.158860 -0.597982 
59291.190642 -0.531911 
59291.222424 -0.464059 
59291.254206 -0.395268 
59291.285988 -0.326297 
59291.317770 -0.257816 
59291.349552 -0.190401 
59291.381334 -0.124537 
59291.413116 -0.060621 
59291.444898 0.001032 
59291.476680 0.060175 
59291.508462 0.116628 
59291.540244 0.170263 
59291.572026 0.220999 
59291.603808 0.268791 
59291.635590 0.313625 
59291.667372 0.355513 
59291.699154 0.394485 
59291.730936 0.430585 
59291.762718 0.463867 
59291.794500 0.494395 
59291.826282 0.522236 
59291.858064 0.547458 
59291.889846 0.570134 
59291.921628 0.590332 
59291.953410 0.608123 
59291.985192 0.623573 
59292.016974 0.636744 
59292.048756 0.647698 
59292.080538 0.656491 
59292.112320 0.663175 
59292.144102 0.667798 
59292.175884 0.670405 
59292.207666 0.671036 
59292.239448 0.669725 
59292.271230 0.666506 
59292.303012 0.661405 
59292.334794 0.654446 
59292.366576 0.645648 
59292.398358 0.635027 
59292.430140 0.622595 
59292.461922 0.608362 
59292.493704 0.592332 
59292.525486 0.574508 
59292.557268 0.554890 
59292.589050 0.533474 
59292.620832 0.510256 
59292.652614 0.485228 
59292.684396 0.458381 
59292.716178 0.429707 
59292.747960 0.399194 
59292.779742 0.366832 
59292.811524 0.332614 
59292.843306 0.296531 
59292.875088 0.258580 
59292.906869 0.218762 
59292.938651 0.177082 
59292.970433 0.133555 
59293.002215 0.088205 
59293.033997 0.041068 
59293.065779 -0.007804 
59293.097561 -0.058340 
59293.129343 -0.110448 
59293.161125 -0.164008 
59293.192907 -0.218870 
59293.224689 -0.274847 
59293.256471 -0.331709 
59293.288253 -0.389179 
59293.320035 -0.446927 
59293.351817 -0.504566 
59293.383599 -0.561644 
59293.415381 -0.617643 
59293.447163 -0.671982 
59293.478945 -0.724014 
59293.510727 -0.773032 
59293.542509 -0.818287 
59293.574291 -0.858995 
59293.606073 -0.894365 
59293.637855 -0.923625 
59293.669637 -0.946053 
59293.701419 -0.961014 
59293.733201 -0.967992 
59293.764983 -0.966625 
59293.796765 -0.956730 
59293.828547 -0.938323 
59293.860329 -0.911621 
59293.892111 -0.877035 
59293.923893 -0.835158 
59293.955675 -0.786728 
59293.987457 -0.732595 
59294.019239 -0.673683 
59294.051021 -0.610948 
59294.082803 -0.545341 
59294.114585 -0.477777 
59294.146367 -0.409111 
59294.178149 -0.340119 
59294.209931 -0.271490 
59294.241713 -0.203820 
59294.273495 -0.137610 
59294.305277 -0.073275 
59294.337059 -0.011146 
59294.368841 0.048517 
59294.400623 0.105522 
