# time model 
59325.801227 -7.201383 
59325.833009 -7.159318 
59325.864791 -7.116698 
59325.896573 -7.073535 
59325.928355 -7.029843 
59325.960137 -6.985637 
59325.991919 -6.940928 
59326.023701 -6.895733 
59326.055483 -6.850063 
59326.087265 -6.803934 
59326.119047 -6.757358 
59326.150829 -6.710351 
59326.182611 -6.662925 
59326.214393 -6.615095 
59326.246175 -6.566874 
59326.277957 -6.518278 
59326.309739 -6.469318 
59326.341521 -6.420010 
59326.373303 -6.370368 
59326.405085 -6.320404 
59326.436867 -6.270133 
59326.468649 -6.219569 
59326.500431 -6.168725 
59326.532213 -6.117614 
59326.563995 -6.066250 
59326.595777 -6.014646 
59326.627559 -5.962815 
59326.659341 -5.910771 
59326.691123 -5.858526 
59326.722905 -5.806094 
59326.754687 -5.753486 
59326.786469 -5.700716 
59326.818251 -5.647795 
59326.850033 -5.594736 
59326.881815 -5.541551 
59326.913597 -5.488252 
59326.945379 -5.434850 
59326.977161 -5.381357 
59327.008943 -5.327784 
59327.040725 -5.274142 
59327.072507 -5.220442 
59327.104289 -5.166694 
59327.136071 -5.112910 
59327.167853 -5.059098 
59327.199635 -5.005270 
59327.231417 -4.951434 
59327.263199 -4.897601 
59327.294981 -4.843779 
59327.326763 -4.789977 
59327.358545 -4.736204 
59327.390327 -4.682469 
59327.422109 -4.628779 
59327.453891 -4.575143 
59327.485673 -4.521569 
59327.517455 -4.468062 
59327.549237 -4.414632 
59327.581019 -4.361284 
59327.612801 -4.308025 
59327.644583 -4.254862 
59327.676365 -4.201799 
59327.708147 -4.148844 
59327.739929 -4.096002 
59327.771711 -4.043277 
59327.803493 -3.990674 
59327.835275 -3.938199 
59327.867057 -3.885855 
59327.898839 -3.833646 
59327.930621 -3.781576 
59327.962402 -3.729649 
59327.994184 -3.677868 
59328.025966 -3.626236 
59328.057748 -3.574754 
59328.089530 -3.523427 
59328.121312 -3.472254 
59328.153094 -3.421240 
59328.184876 -3.370384 
59328.216658 -3.319689 
59328.248440 -3.269155 
59328.280222 -3.218782 
59328.312004 -3.168573 
59328.343786 -3.118525 
59328.375568 -3.068641 
59328.407350 -3.018919 
59328.439132 -2.969359 
