# time model 
59290.205401 -0.330115 
59290.237182 -0.368450 
59290.268964 -0.405163 
59290.300746 -0.440062 
59290.332528 -0.472963 
59290.364310 -0.503689 
59290.396092 -0.532072 
59290.427874 -0.557955 
59290.459656 -0.581191 
59290.491438 -0.601646 
59290.523220 -0.619199 
59290.555002 -0.633746 
59290.586784 -0.645196 
59290.618566 -0.653476 
59290.650348 -0.658529 
59290.682130 -0.660317 
59290.713912 -0.658820 
59290.745694 -0.654038 
59290.777476 -0.645988 
59290.809258 -0.634706 
59290.841040 -0.620249 
59290.872822 -0.602691 
59290.904604 -0.582124 
59290.936386 -0.558657 
59290.968168 -0.532418 
59290.999950 -0.503548 
59291.031732 -0.472204 
59291.063514 -0.438557 
59291.095296 -0.402788 
59291.127078 -0.365092 
59291.158860 -0.325672 
59291.190642 -0.284737 
59291.222424 -0.242506 
59291.254206 -0.199202 
59291.285988 -0.155048 
59291.317770 -0.110275 
59291.349552 -0.065110 
59291.381334 -0.019780 
59291.413116 0.025488 
59291.444898 0.070473 
59291.476680 0.114957 
59291.508462 0.158728 
59291.540244 0.201581 
59291.572026 0.243318 
59291.603808 0.283749 
59291.635590 0.322695 
59291.667372 0.359983 
59291.699154 0.395454 
59291.730936 0.428957 
59291.762718 0.460354 
59291.794500 0.489516 
59291.826282 0.516326 
59291.858064 0.540681 
59291.889846 0.562487 
59291.921628 0.581661 
59291.953410 0.598136 
59291.985192 0.611853 
59292.016974 0.622765 
59292.048756 0.630839 
59292.080538 0.636050 
59292.112320 0.638386 
59292.144102 0.637848 
59292.175884 0.634445 
59292.207666 0.628199 
59292.239448 0.619141 
59292.271230 0.607313 
59292.303012 0.592768 
59292.334794 0.575568 
59292.366576 0.555787 
59292.398358 0.533506 
59292.430140 0.508818 
59292.461922 0.481823 
59292.493704 0.452632 
59292.525486 0.421364 
59292.557268 0.388147 
59292.589050 0.353117 
59292.620832 0.316419 
59292.652614 0.278203 
59292.684396 0.238631 
59292.716178 0.197867 
59292.747960 0.156086 
59292.779742 0.113467 
59292.811524 0.070194 
59292.843306 0.026458 
59292.875088 -0.017548 
59292.906869 -0.061624 
59292.938651 -0.105569 
59292.970433 -0.149180 
59293.002215 -0.192250 
59293.033997 -0.234576 
59293.065779 -0.275950 
59293.097561 -0.316170 
59293.129343 -0.355034 
59293.161125 -0.392344 
59293.192907 -0.427908 
59293.224689 -0.461538 
59293.256471 -0.493054 
59293.288253 -0.522287 
59293.320035 -0.549074 
59293.351817 -0.573264 
59293.383599 -0.594719 
59293.415381 -0.613314 
59293.447163 -0.628938 
59293.478945 -0.641496 
59293.510727 -0.650907 
59293.542509 -0.657109 
59293.574291 -0.660058 
59293.606073 -0.659727 
59293.637855 -0.656109 
59293.669637 -0.649214 
59293.701419 -0.639073 
59293.733201 -0.625734 
59293.764983 -0.609266 
59293.796765 -0.589754 
59293.828547 -0.567302 
59293.860329 -0.542030 
