# time model 
59290.205401 0.941741 
59290.237182 0.944004 
59290.268964 0.946263 
59290.300746 0.948519 
59290.332528 0.950773 
59290.364310 0.953023 
59290.396092 0.955271 
59290.427874 0.957516 
59290.459656 0.959758 
59290.491438 0.961997 
59290.523220 0.964234 
59290.555002 0.966467 
59290.586784 0.968698 
59290.618566 0.970926 
59290.650348 0.973150 
59290.682130 0.975372 
59290.713912 0.977591 
59290.745694 0.979807 
59290.777476 0.982020 
59290.809258 0.984230 
59290.841040 0.986437 
59290.872822 0.988641 
59290.904604 0.990842 
59290.936386 0.993040 
59290.968168 0.995236 
59290.999950 0.997428 
59291.031732 0.999617 
59291.063514 1.001803 
59291.095296 1.003986 
59291.127078 1.006166 
59291.158860 1.008343 
59291.190642 1.010517 
59291.222424 1.012688 
59291.254206 1.014856 
59291.285988 1.017020 
59291.317770 1.019182 
59291.349552 1.021341 
59291.381334 1.023496 
59291.413116 1.025648 
59291.444898 1.027798 
59291.476680 1.029944 
59291.508462 1.032087 
59291.540244 1.034226 
59291.572026 1.036363 
59291.603808 1.038496 
59291.635590 1.040627 
59291.667372 1.042754 
59291.699154 1.044878 
59291.730936 1.046999 
59291.762718 1.049116 
59291.794500 1.051230 
59291.826282 1.053342 
59291.858064 1.055449 
59291.889846 1.057554 
59291.921628 1.059656 
59291.953410 1.061754 
59291.985192 1.063849 
59292.016974 1.065940 
59292.048756 1.068029 
59292.080538 1.070114 
59292.112320 1.072195 
59292.144102 1.074274 
59292.175884 1.076349 
59292.207666 1.078421 
59292.239448 1.080489 
59292.271230 1.082555 
59292.303012 1.084616 
59292.334794 1.086675 
59292.366576 1.088730 
59292.398358 1.090782 
59292.430140 1.092830 
59292.461922 1.094875 
59292.493704 1.096917 
59292.525486 1.098955 
59292.557268 1.100990 
59292.589050 1.103021 
59292.620832 1.105049 
59292.652614 1.107073 
59292.684396 1.109094 
59292.716178 1.111112 
59292.747960 1.113126 
59292.779742 1.115137 
59292.811524 1.117144 
59292.843306 1.119148 
59292.875088 1.121148 
59292.906869 1.123145 
59292.938651 1.125138 
59292.970433 1.127127 
59293.002215 1.129114 
59293.033997 1.131096 
59293.065779 1.133075 
59293.097561 1.135051 
59293.129343 1.137023 
59293.161125 1.138991 
59293.192907 1.140956 
59293.224689 1.142917 
59293.256471 1.144875 
59293.288253 1.146829 
59293.320035 1.148779 
59293.351817 1.150726 
59293.383599 1.152669 
59293.415381 1.154608 
59293.447163 1.156544 
59293.478945 1.158476 
59293.510727 1.160405 
59293.542509 1.162330 
59293.574291 1.164251 
59293.606073 1.166168 
59293.637855 1.168082 
