# time model 
59290.205401 -0.037526 
59290.237182 -0.081282 
59290.268964 -0.124824 
59290.300746 -0.167964 
59290.332528 -0.210515 
59290.364310 -0.252290 
59290.396092 -0.293100 
59290.427874 -0.332757 
59290.459656 -0.371074 
59290.491438 -0.407866 
59290.523220 -0.442951 
59290.555002 -0.476151 
59290.586784 -0.507290 
59290.618566 -0.536202 
59290.650348 -0.562724 
59290.682130 -0.586703 
59290.713912 -0.607994 
59290.745694 -0.626463 
59290.777476 -0.641988 
59290.809258 -0.654457 
59290.841040 -0.663775 
59290.872822 -0.669861 
59290.904604 -0.672651 
59290.936386 -0.672096 
59290.968168 -0.668169 
59290.999950 -0.660858 
59291.031732 -0.650175 
59291.063514 -0.636149 
59291.095296 -0.618833 
59291.127078 -0.598297 
59291.158860 -0.574634 
59291.190642 -0.547959 
59291.222424 -0.518405 
59291.254206 -0.486125 
59291.285988 -0.451290 
59291.317770 -0.414089 
59291.349552 -0.374727 
59291.381334 -0.333422 
59291.413116 -0.290406 
59291.444898 -0.245920 
59291.476680 -0.200216 
59291.508462 -0.153552 
59291.540244 -0.106188 
59291.572026 -0.058389 
59291.603808 -0.010422 
59291.635590 0.037453 
59291.667372 0.084974 
59291.699154 0.131889 
59291.730936 0.177950 
59291.762718 0.222920 
59291.794500 0.266571 
59291.826282 0.308687 
59291.858064 0.349067 
59291.889846 0.387518 
59291.921628 0.423868 
59291.953410 0.457955 
59291.985192 0.489635 
59292.016974 0.518778 
59292.048756 0.545270 
59292.080538 0.569015 
59292.112320 0.589929 
59292.144102 0.607945 
59292.175884 0.623011 
59292.207666 0.635090 
59292.239448 0.644159 
59292.271230 0.650206 
59292.303012 0.653237 
59292.334794 0.653265 
59292.366576 0.650320 
59292.398358 0.644440 
59292.430140 0.635674 
59292.461922 0.624084 
59292.493704 0.609738 
59292.525486 0.592715 
59292.557268 0.573104 
59292.589050 0.550999 
59292.620832 0.526503 
59292.652614 0.499729 
59292.684396 0.470792 
59292.716178 0.439818 
59292.747960 0.406936 
59292.779742 0.372283 
59292.811524 0.336001 
59292.843306 0.298236 
59292.875088 0.259140 
59292.906869 0.218871 
59292.938651 0.177590 
59292.970433 0.135461 
59293.002215 0.092655 
59293.033997 0.049345 
59293.065779 0.005706 
59293.097561 -0.038082 
59293.129343 -0.081837 
59293.161125 -0.125374 
59293.192907 -0.168508 
59293.224689 -0.211051 
59293.256471 -0.252815 
59293.288253 -0.293611 
59293.320035 -0.333252 
59293.351817 -0.371551 
59293.383599 -0.408323 
59293.415381 -0.443385 
59293.447163 -0.476559 
59293.478945 -0.507671 
59293.510727 -0.536554 
59293.542509 -0.563045 
59293.574291 -0.586990 
59293.606073 -0.608247 
59293.637855 -0.626679 
59293.669637 -0.642165 
59293.701419 -0.654595 
59293.733201 -0.663873 
59293.764983 -0.669917 
59293.796765 -0.672665 
59293.828547 -0.672067 
59293.860329 -0.668097 
59293.892111 -0.660744 
59293.923893 -0.650018 
59293.955675 -0.635950 
59293.987457 -0.618592 
59294.019239 -0.598016 
59294.051021 -0.574314 
59294.082803 -0.547602 
59294.114585 -0.518012 
59294.146367 -0.485699 
59294.178149 -0.450832 
59294.209931 -0.413603 
59294.241713 -0.374215 
59294.273495 -0.332886 
59294.305277 -0.289850 
59294.337059 -0.245348 
59294.368841 -0.199630 
59294.400623 -0.152954 
59294.432405 -0.105583 
59294.464187 -0.057781 
59294.495969 -0.009813 
59294.527751 0.038059 
59294.559533 0.085574 
59294.591315 0.132479 
59294.623097 0.178528 
59294.654879 0.223482 
59294.686661 0.267115 
59294.718443 0.309211 
59294.750225 0.349567 
59294.782007 0.387993 
59294.813789 0.424315 
59294.845571 0.458372 
59294.877353 0.490021 
59294.909135 0.519131 
59294.940917 0.545589 
59294.972699 0.569298 
59295.004481 0.590176 
59295.036263 0.608155 
59295.068045 0.623183 
59295.099827 0.635224 
59295.131609 0.644254 
59295.163391 0.650264 
59295.195173 0.653256 
59295.226955 0.653246 
59295.258737 0.650264 
59295.290519 0.644346 
59295.322301 0.635545 
59295.354083 0.623919 
59295.385865 0.609538 
59295.417647 0.592483 
59295.449429 0.572839 
59295.481211 0.550703 
59295.512993 0.526178 
59295.544775 0.499375 
59295.576557 0.470412 
59295.608338 0.439412 
59295.640120 0.406507 
59295.671902 0.371833 
59295.703684 0.335530 
59295.735466 0.297748 
59295.767248 0.258636 
59295.799030 0.218353 
59295.830812 0.177060 
59295.862594 0.134922 
59295.894376 0.092108 
59295.926158 0.048793 
59295.957940 0.005151 
59295.989722 -0.038638 
59296.021504 -0.082391 
59296.053286 -0.125924 
59296.085068 -0.169052 
59296.116850 -0.211586 
59296.148632 -0.253339 
59296.180414 -0.294122 
59296.212196 -0.333747 
59296.243978 -0.372028 
59296.275760 -0.408779 
59296.307542 -0.443818 
59296.339324 -0.476967 
59296.371106 -0.508052 
