# time model 
59325.801227 -8.952838 
59325.833009 -8.933527 
59325.864791 -8.913993 
59325.896573 -8.894247 
59325.928355 -8.874304 
59325.960137 -8.854178 
59325.991919 -8.833880 
59326.023701 -8.813425 
59326.055483 -8.792826 
59326.087265 -8.772094 
59326.119047 -8.751244 
59326.150829 -8.730286 
59326.182611 -8.709235 
59326.214393 -8.688102 
59326.246175 -8.666898 
59326.277957 -8.645637 
59326.309739 -8.624330 
59326.341521 -8.602988 
59326.373303 -8.581624 
59326.405085 -8.560247 
59326.436867 -8.538869 
59326.468649 -8.517502 
59326.500431 -8.496155 
59326.532213 -8.474839 
59326.563995 -8.453565 
59326.595777 -8.432342 
59326.627559 -8.411180 
59326.659341 -8.390089 
59326.691123 -8.369078 
59326.722905 -8.348156 
59326.754687 -8.327332 
59326.786469 -8.306615 
59326.818251 -8.286013 
59326.850033 -8.265535 
59326.881815 -8.245188 
59326.913597 -8.224980 
59326.945379 -8.204918 
59326.977161 -8.185011 
59327.008943 -8.165263 
59327.040725 -8.145683 
59327.072507 -8.126277 
59327.104289 -8.107051 
59327.136071 -8.088010 
59327.167853 -8.069162 
59327.199635 -8.050510 
59327.231417 -8.032060 
59327.263199 -8.013817 
59327.294981 -7.995785 
59327.326763 -7.977970 
59327.358545 -7.960375 
59327.390327 -7.943003 
59327.422109 -7.925859 
59327.453891 -7.908946 
59327.485673 -7.892267 
59327.517455 -7.875824 
59327.549237 -7.859621 
59327.581019 -7.843659 
59327.612801 -7.827941 
59327.644583 -7.812468 
59327.676365 -7.797242 
59327.708147 -7.782264 
59327.739929 -7.767536 
59327.771711 -7.753058 
59327.803493 -7.738830 
59327.835275 -7.724853 
59327.867057 -7.711127 
59327.898839 -7.697652 
59327.930621 -7.684428 
59327.962402 -7.671453 
59327.994184 -7.658727 
59328.025966 -7.646250 
59328.057748 -7.634019 
59328.089530 -7.622033 
59328.121312 -7.610290 
59328.153094 -7.598789 
59328.184876 -7.587528 
59328.216658 -7.576503 
59328.248440 -7.565713 
59328.280222 -7.555154 
59328.312004 -7.544825 
59328.343786 -7.534721 
59328.375568 -7.524839 
59328.407350 -7.515177 
59328.439132 -7.505730 
59328.470914 -7.496494 
59328.502696 -7.487466 
59328.534478 -7.478641 
59328.566260 -7.470015 
59328.598042 -7.461584 
59328.629824 -7.453343 
59328.661606 -7.445288 
59328.693388 -7.437412 
59328.725170 -7.429712 
59328.756952 -7.422183 
59328.788734 -7.414818 
59328.820516 -7.407613 
59328.852298 -7.400562 
59328.884080 -7.393660 
59328.915862 -7.386900 
59328.947644 -7.380278 
59328.979426 -7.373787 
59329.011208 -7.367420 
59329.042990 -7.361173 
59329.074772 -7.355039 
59329.106554 -7.349011 
59329.138336 -7.343084 
59329.170118 -7.337251 
59329.201900 -7.331505 
59329.233682 -7.325841 
59329.265464 -7.320251 
59329.297246 -7.314729 
59329.329028 -7.309268 
