# time model 
59290.205401 2.421528 
59290.237182 2.371040 
59290.268964 2.281396 
59290.300746 2.154077 
59290.332528 1.995688 
59290.364310 1.817004 
59290.396092 1.630627 
59290.427874 1.448321 
59290.459656 1.279119 
59290.491438 1.128683 
59290.523220 0.999631 
59290.555002 0.892348 
59290.586784 0.805824 
59290.618566 0.738332 
59290.650348 0.687884 
59290.682130 0.652505 
59290.713912 0.630380 
59290.745694 0.619913 
59290.777476 0.619745 
59290.809258 0.628738 
59290.841040 0.645955 
59290.872822 0.670636 
59290.904604 0.702165 
59290.936386 0.740048 
59290.968168 0.783886 
59290.999950 0.833352 
59291.031732 0.888164 
59291.063514 0.948055 
59291.095296 1.012747 
59291.127078 1.081902 
59291.158860 1.155074 
59291.190642 1.231641 
59291.222424 1.310707 
59291.254206 1.390986 
59291.285988 1.470646 
59291.317770 1.547121 
59291.349552 1.616915 
59291.381334 1.675434 
59291.413116 1.716943 
59291.444898 1.734818 
59291.476680 1.722265 
59291.508462 1.673635 
59291.540244 1.586193 
59291.572026 1.461732 
59291.603808 1.307158 
59291.635590 1.133437 
59291.667372 0.953194 
59291.699154 0.778064 
59291.730936 0.616880 
59291.762718 0.475095 
59291.794500 0.355165 
59291.826282 0.257363 
59291.858064 0.180617 
59291.889846 0.123169 
59291.921628 0.083023 
59291.953410 0.058209 
59291.985192 0.046922 
59292.016974 0.047578 
59292.048756 0.058827 
59292.080538 0.079541 
59292.112320 0.108792 
59292.144102 0.145825 
59292.175884 0.190028 
59292.207666 0.240910 
59292.239448 0.298073 
59292.271230 0.361187 
59292.303012 0.429967 
59292.334794 0.504142 
59292.366576 0.583425 
59292.398358 0.667468 
59292.430140 0.755811 
59292.461922 0.847811 
59292.493704 0.942545 
59292.525486 1.038693 
59292.557268 1.134376 
59292.589050 1.226970 
59292.620832 1.312907 
59292.652614 1.387515 
59292.684396 1.444987 
59292.716178 1.478653 
59292.747960 1.481737 
59292.779742 1.448709 
59292.811524 1.377065 
59292.843306 1.268904 
59292.875088 1.131421 
59292.906869 0.975753 
59292.938651 0.814530 
59292.970433 0.659244 
59293.002215 0.518516 
59293.033997 0.397587 
59293.065779 0.298743 
59293.097561 0.222141 
59293.129343 0.166642 
59293.161125 0.130452 
59293.192907 0.111561 
59293.224689 0.107997 
59293.256471 0.117957 
59293.288253 0.139862 
59293.320035 0.172366 
59293.351817 0.214344 
59293.383599 0.264871 
59293.415381 0.323189 
59293.447163 0.388686 
59293.478945 0.460866 
59293.510727 0.539325 
59293.542509 0.623728 
59293.574291 0.713780 
59293.606073 0.809201 
59293.637855 0.909690 
59293.669637 1.014883 
59293.701419 1.124302 
59293.733201 1.237278 
59293.764983 1.352859 
59293.796765 1.469683 
59293.828547 1.585819 
59293.860329 1.698583 
59293.892111 1.804333 
59293.923893 1.898312 
59293.955675 1.974640 
59293.987457 2.026602 
59294.019239 2.047444 
59294.051021 2.031759 
59294.082803 1.977276 
59294.114585 1.886402 
59294.146367 1.766614 
59294.178149 1.629213 
59294.209931 1.486818 
59294.241713 1.350773 
59294.273495 1.229483 
59294.305277 1.127978 
59294.337059 1.048379 
59294.368841 0.990731 
59294.400623 0.953827 
59294.432405 0.935842 
59294.464187 0.934755 
59294.495969 0.948590 
59294.527751 0.975549 
59294.559533 1.014060 
59294.591315 1.062783 
59294.623097 1.120597 
59294.654879 1.186579 
59294.686661 1.259975 
59294.718443 1.340173 
59294.750225 1.426674 
59294.782007 1.519074 
59294.813789 1.617033 
59294.845571 1.720250 
59294.877353 1.828439 
59294.909135 1.941290 
59294.940917 2.058427 
59294.972699 2.179355 
59295.004481 2.303386 
59295.036263 2.429539 
59295.068045 2.556418 
59295.099827 2.682047 
59295.131609 2.803680 
59295.163391 2.917606 
59295.195173 3.018993 
59295.226955 3.101892 
59295.258737 3.159551 
59295.290519 3.185250 
59295.322301 3.173717 
59295.354083 3.122930 
59295.385865 3.035609 
59295.417647 2.919517 
59295.449429 2.786112 
59295.481211 2.648002 
59295.512993 2.516382 
59295.544775 2.399447 
59295.576557 2.302027 
59295.608338 2.226085 
59295.640120 2.171566 
59295.671902 2.137209 
59295.703684 2.121162 
59295.735466 2.121402 
59295.767248 2.135961 
59295.799030 2.163054 
59295.830812 2.201120 
59295.862594 2.248835 
59295.894376 2.305092 
59295.926158 2.368979 
59295.957940 2.439751 
59295.989722 2.516804 
59296.021504 2.599649 
59296.053286 2.687887 
59296.085068 2.781181 
59296.116850 2.879237 
59296.148632 2.981768 
59296.180414 3.088463 
59296.212196 3.198944 
59296.243978 3.312710 
59296.275760 3.429058 
59296.307542 3.546992 
59296.339324 3.665087 
59296.371106 3.781327 
59296.402888 3.892918 
59296.434670 3.996087 
59296.466452 4.085935 
59296.498234 4.156452 
59296.530016 4.200867 
59296.561798 4.212502 
59296.593580 4.186242 
59296.625362 4.120325 
59296.657144 4.017794 
59296.688926 3.886704 
59296.720708 3.738668 
59296.752490 3.586282 
59296.784272 3.440594 
59296.816054 3.309597 
59296.847836 3.197931 
59296.879618 3.107415 
59296.911400 3.037906 
59296.943182 2.988095 
59296.974964 2.956120 
59297.006746 2.939961 
59297.038528 2.937669 
59297.070310 2.947477 
59297.102092 2.967849 
59297.133874 2.997482 
59297.165656 3.035289 
59297.197438 3.080379 
59297.229220 3.132026 
59297.261002 3.189641 
59297.292784 3.252750 
59297.324566 3.320968 
59297.356348 3.393972 
59297.388130 3.471476 
59297.419912 3.553204 
59297.451694 3.638851 
59297.483476 3.728043 
59297.515258 3.820279 
59297.547040 3.914852 
59297.578822 4.010751 
59297.610604 4.106531 
59297.642386 4.200145 
59297.674168 4.288754 
59297.705950 4.368529 
59297.737732 4.434510 
59297.769514 4.480638 
59297.801296 4.500124 
59297.833078 4.486352 
59297.864860 4.434372 
59297.896642 4.342694 
59297.928424 4.214694 
59297.960206 4.058716 
59297.991988 3.886524 
59298.023770 3.710695 
59298.055552 3.542133 
59298.087334 3.388631 
59298.119116 3.254645 
59298.150898 3.141861 
59298.182680 3.050051 
59298.214462 2.977870 
59298.246244 2.923448 
59298.278026 2.884775 
59298.309807 2.859922 
59298.341589 2.847147 
59298.373371 2.844941 
59298.405153 2.852026 
59298.436935 2.867338 
59298.468717 2.890010 
59298.500499 2.919334 
59298.532281 2.954743 
59298.564063 2.995780 
59298.595845 3.042073 
59298.627627 3.093315 
59298.659409 3.149233 
59298.691191 3.209559 
59298.722973 3.273999 
59298.754755 3.342181 
59298.786537 3.413605 
59298.818319 3.487560 
59298.850101 3.563021 
59298.881883 3.638523 
59298.913665 3.711984 
59298.945447 3.780520 
59298.977229 3.840245 
59299.009011 3.886138 
59299.040793 3.912088 
59299.072575 3.911293 
59299.104357 3.877203 
59299.136139 3.805034 
59299.167921 3.693576 
59299.199703 3.546532 
59299.231485 3.372527 
59299.263267 3.183463 
59299.295049 2.991885 
59299.326831 2.808542 
59299.358613 2.641023 
59299.390395 2.493599 
59299.422177 2.367818 
59299.453959 2.263369 
59299.485741 2.178864 
59299.517523 2.112423 
59299.549305 2.062039 
59299.581087 2.025799 
59299.612869 2.001979 
59299.644651 1.989088 
59299.676433 1.985866 
59299.708215 1.991267 
59299.739997 2.004436 
59299.771779 2.024679 
59299.803561 2.051438 
59299.835343 2.084265 
59299.867125 2.122794 
59299.898907 2.166723 
59299.930689 2.215781 
59299.962471 2.269702 
59299.994253 2.328186 
59300.026035 2.390858 
59300.057817 2.457206 
59300.089599 2.526501 
59300.121381 2.597697 
59300.153163 2.669291 
59300.184945 2.739160 
59300.216727 2.804359 
59300.248509 2.860933 
59300.280291 2.903786 
59300.312073 2.926746 
59300.343855 2.922991 
59300.375637 2.886024 
59300.407419 2.811228 
59300.439201 2.697662 
59300.470983 2.549344 
59300.502765 2.375160 
59300.534547 2.187126 
59300.566329 1.997734 
59300.598111 1.817558 
59300.629893 1.653970 
59300.661675 1.511044 
59300.693457 1.390181 
59300.725239 1.290976 
59300.757021 1.211991 
59300.788803 1.151318 
59300.820585 1.106946 
59300.852367 1.076962 
59300.884149 1.059650 
59300.915931 1.053523 
59300.947713 1.057327 
59300.979495 1.070020 
59301.011276 1.090748 
59301.043058 1.118818 
59301.074840 1.153671 
59301.106622 1.194854 
59301.138404 1.241998 
59301.170186 1.294793 
59301.201968 1.352960 
59301.233750 1.416222 
59301.265532 1.484267 
59301.297314 1.556702 
59301.329096 1.632996 
59301.360878 1.712393 
59301.392660 1.793812 
59301.424442 1.875710 
59301.456224 1.955906 
59301.488006 2.031390 
59301.519788 2.098128 
59301.551570 2.150944 
59301.583352 2.183598 
59301.615134 2.189245 
59301.646916 2.161442 
59301.678698 2.095739 
59301.710480 1.991465 
59301.742262 1.852948 
59301.774044 1.689321 
59301.805826 1.512704 
59301.837608 1.335519 
59301.869390 1.168157 
59301.901172 1.017772 
59301.932954 0.888239 
59301.964736 0.780815 
59301.996518 0.695001 
59302.028300 0.629308 
59302.060082 0.581804 
59302.091864 0.550472 
59302.123646 0.533400 
59302.155428 0.528877 
59302.187210 0.535425 
59302.218992 0.551794 
59302.250774 0.576948 
59302.282556 0.610036 
59302.314338 0.650367 
59302.346120 0.697381 
59302.377902 0.750626 
59302.409684 0.809730 
59302.441466 0.874380 
59302.473248 0.944289 
59302.505030 1.019176 
59302.536812 1.098718 
59302.568594 1.182511 
59302.600376 1.270006 
59302.632158 1.360426 
59302.663940 1.452660 
59302.695722 1.545126 
59302.727504 1.635593 
59302.759286 1.720990 
59302.791068 1.797208 
59302.822850 1.858998 
59302.854632 1.900061 
59302.886414 1.913535 
59302.918196 1.893048 
59302.949978 1.834328 
59302.981760 1.736985 
59303.013542 1.605665 
59303.045324 1.449749 
59303.077106 1.281452 
59303.108888 1.113127 
59303.140670 0.954986 
59303.172452 0.813969 
59303.204234 0.693764 
59303.236016 0.595494 
59303.267798 0.518578 
59303.299580 0.461481 
59303.331362 0.422260 
59303.363144 0.398897 
59303.394926 0.389491 
59303.426708 0.392343 
59303.458490 0.405990 
59303.490272 0.429195 
59303.522054 0.460934 
59303.553836 0.500366 
59303.585618 0.546810 
59303.617400 0.599713 
59303.649182 0.658630 
59303.680964 0.723192 
59303.712745 0.793089 
59303.744527 0.868039 
59303.776309 0.947757 
59303.808091 1.031920 
59303.839873 1.120117 
59303.871655 1.211788 
59303.903437 1.306142 
59303.935219 1.402043 
59303.967001 1.497877 
59303.998783 1.591368 
59304.030565 1.679387 
59304.062347 1.757761 
59304.094129 1.821170 
59304.125911 1.863264 
59304.157693 1.877176 
59304.189475 1.856615 
59304.221257 1.797501 
59304.253039 1.699734 
59304.284821 1.568282 
59304.316603 1.412772 
59304.348385 1.245509 
59304.380167 1.078775 
59304.411949 0.922598 
59304.443731 0.783713 
59304.475513 0.665628 
59304.507295 0.569338 
59304.539077 0.494186 
59304.570859 0.438603 
59304.602641 0.400635 
59304.634423 0.378270 
59304.666205 0.369620 
59304.697987 0.373005 
59304.729769 0.386976 
59304.761551 0.410315 
59304.793333 0.442012 
59304.825115 0.481241 
59304.856897 0.527332 
59304.888679 0.579741 
59304.920461 0.638032 
59304.952243 0.701845 
59304.984025 0.770874 
59305.015807 0.844841 
59305.047589 0.923463 
59305.079371 1.006415 
59305.111153 1.093283 
59305.142935 1.183497 
59305.174717 1.276251 
59305.206499 1.370390 
59305.238281 1.464263 
59305.270063 1.555552 
59305.301845 1.641072 
59305.333627 1.716583 
59305.365409 1.776697 
59305.397191 1.815014 
59305.428973 1.824670 
59305.460755 1.799460 
59305.492537 1.735501 
59305.524319 1.632993 
59305.556101 1.497220 
59305.587883 1.338049 
59305.619665 1.167864 
59305.651447 0.998864 
59305.683229 0.840895 
59305.715011 0.700483 
59305.746793 0.580958 
59305.778575 0.483193 
59305.810357 0.406454 
59305.842139 0.349140 
59305.873921 0.309287 
59305.905703 0.284888 
59305.937485 0.274068 
59305.969267 0.275163 
59306.001049 0.286741 
59306.032831 0.307599 
59306.064613 0.336740 
59306.096395 0.373350 
59306.128177 0.416768 
59306.159959 0.466462 
59306.191741 0.522000 
59306.223523 0.583029 
59306.255305 0.649245 
59306.287087 0.720373 
59306.318869 0.796130 
59306.350651 0.876188 
59306.382432 0.960125 
59306.414214 1.047363 
59306.445996 1.137076 
59306.477778 1.228085 
59306.509560 1.318704 
59306.541342 1.406568 
59306.573124 1.488432 
59306.604906 1.559988 
59306.636688 1.615778 
59306.668470 1.649355 
59306.700252 1.653853 
59306.732034 1.623162 
59306.763816 1.553603 
59306.795598 1.445671 
59306.827380 1.304967 
59306.859162 1.141586 
59306.890944 0.967979 
59306.922726 0.796252 
59306.954508 0.636062 
59306.986290 0.493722 
59307.018072 0.372390 
59307.049854 0.272813 
59307.081636 0.194185 
59307.113418 0.134870 
59307.145200 0.092893 
59307.176982 0.066252 
59307.208764 0.053083 
59307.240546 0.051735 
59307.272328 0.060792 
59307.304110 0.079061 
59307.335892 0.105560 
59307.367674 0.139484 
59307.399456 0.180180 
59307.431238 0.227122 
59307.463020 0.279883 
59307.494802 0.338114 
59307.526584 0.401513 
59307.558366 0.469805 
59307.590148 0.542705 
59307.621930 0.619879 
59307.653712 0.700900 
59307.685494 0.785173 
59307.717276 0.871856 
59307.749058 0.959742 
59307.780840 1.047108 
59307.812622 1.131540 
59307.844404 1.209732 
59307.876186 1.277304 
59307.907968 1.328731 
59307.939750 1.357515 
59307.971532 1.356799 
59308.003314 1.320566 
59308.035096 1.245350 
59308.066878 1.131946 
59308.098660 0.986268 
59308.130442 0.818629 
59308.162224 0.641535 
59308.194006 0.466991 
59308.225788 0.304460 
59308.257570 0.160047 
59308.289352 0.036735 
59308.321134 -0.064849 
59308.352916 -0.145580 
59308.384698 -0.207130 
59308.416480 -0.251481 
59308.448262 -0.280630 
59308.480044 -0.296431 
59308.511826 -0.300520 
59308.543608 -0.294300 
59308.575390 -0.278949 
59308.607172 -0.255438 
59308.638954 -0.224563 
59308.670736 -0.186967 
59308.702518 -0.143169 
59308.734300 -0.093591 
59308.766082 -0.038579 
59308.797864 0.021570 
59308.829646 0.086579 
59308.861428 0.156162 
59308.893210 0.229982 
59308.924992 0.307603 
59308.956774 0.388419 
59308.988556 0.471568 
59309.020338 0.555817 
59309.052120 0.639407 
59309.083901 0.719874 
59309.115683 0.793852 
59309.147465 0.856890 
59309.179247 0.903397 
59309.211029 0.926828 
59309.242811 0.920338 
59309.274593 0.878017 
59309.306375 0.796615 
59309.338157 0.677233 
59309.369939 0.526097 
59309.401721 0.353729 
59309.433503 0.172684 
59309.465285 -0.005143 
59309.497067 -0.170485 
59309.528849 -0.317441 
59309.560631 -0.443200 
59309.592413 -0.547250 
59309.624195 -0.630531 
59309.655977 -0.694745 
59309.687759 -0.741882 
59309.719541 -0.773932 
59309.751323 -0.792735 
59309.783105 -0.799912 
59309.814887 -0.796851 
59309.846669 -0.784713 
59309.878451 -0.764460 
59309.910233 -0.736873 
59309.942015 -0.702586 
59309.973797 -0.662111 
59310.005579 -0.615862 
59310.037361 -0.564181 
59310.069143 -0.507361 
59310.100925 -0.445676 
59310.132707 -0.379413 
59310.164489 -0.308913 
59310.196271 -0.234618 
59310.228053 -0.157146 
59310.259835 -0.077375 
59310.291617 0.003433 
59310.323399 0.083485 
59310.355181 0.160269 
59310.386963 0.230356 
59310.418745 0.289228 
59310.450527 0.331226 
59310.482309 0.349766 
59310.514091 0.338018 
59310.545873 0.290186 
59310.577655 0.203245 
59310.609437 0.078607 
59310.641219 -0.077197 
59310.673001 -0.253438 
59310.704783 -0.437526 
59310.736565 -0.617682 
59310.768347 -0.784836 
59310.800129 -0.933291 
59310.831911 -1.060403 
59310.863693 -1.165770 
59310.895475 -1.250396 
59310.927257 -1.316011 
59310.959039 -1.364609 
59310.990821 -1.398173 
59311.022603 -1.418530 
59311.054385 -1.427284 
59311.086167 -1.425807 
59311.117949 -1.415247 
59311.149731 -1.396549 
59311.181513 -1.370486 
59311.213295 -1.337682 
59311.245077 -1.298639 
59311.276859 -1.253765 
59311.308641 -1.203396 
59311.340423 -1.147822 
59311.372205 -1.087316 
59311.403987 -1.022165 
59311.435769 -0.952712 
59311.467551 -0.879409 
59311.499333 -0.802883 
59311.531115 -0.724031 
59311.562897 -0.644141 
59311.594679 -0.565046 
59311.626461 -0.489305 
59311.658243 -0.420409 
59311.690025 -0.362945 
59311.721807 -0.322638 
59311.753589 -0.306112 
59311.785370 -0.320172 
59311.817152 -0.370499 
59311.848934 -0.459882 
59311.880716 -0.586600 
59311.912498 -0.743815 
59311.944280 -0.920606 
59311.976062 -1.104358 
59312.007844 -1.283412 
59312.039626 -1.448900 
59312.071408 -1.595331 
59312.103190 -1.720219 
59312.134972 -1.823273 
59312.166754 -1.905559 
59312.198536 -1.968832 
59312.230318 -2.015091 
59312.262100 -2.046312 
59312.293882 -2.064306 
59312.325664 -2.070663 
59312.357446 -2.066740 
59312.389228 -2.053670 
59312.421010 -2.032386 
59312.452792 -2.003650 
59312.484574 -1.968076 
59312.516356 -1.926159 
59312.548138 -1.878301 
59312.579920 -1.824834 
59312.611702 -1.766044 
59312.643484 -1.702205 
59312.675266 -1.633604 
59312.707048 -1.560589 
59312.738830 -1.483618 
59312.770612 -1.403334 
59312.802394 -1.320653 
59312.834176 -1.236892 
59312.865958 -1.153920 
59312.897740 -1.074350 
59312.929522 -1.001736 
59312.961304 -0.940735 
59312.993086 -0.897139 
59313.024868 -0.877610 
59313.056650 -0.888927 
59313.088432 -0.936647 
59313.120214 -1.023322 
59313.151996 -1.146918 
59313.183778 -1.300299 
59313.215560 -1.472361 
59313.247342 -1.650477 
59313.279124 -1.823120 
59313.310906 -1.981626 
59313.342688 -2.120709 
59313.374470 -2.238046 
59313.406252 -2.333455 
59313.438034 -2.408060 
59313.469816 -2.463646 
59313.501598 -2.502218 
59313.533380 -2.525747 
59313.565162 -2.536034 
59313.596944 -2.534657 
59313.628726 -2.522961 
59313.660508 -2.502069 
59313.692290 -2.472906 
59313.724072 -2.436226 
59313.755854 -2.392639 
59313.787636 -2.342637 
59313.819418 -2.286620 
59313.851200 -2.224921 
59313.882982 -2.157828 
59313.914764 -2.085618 
59313.946546 -2.008586 
59313.978328 -1.927090 
59314.010110 -1.841601 
59314.041892 -1.752780 
59314.073674 -1.661570 
59314.105456 -1.569322 
59314.137238 -1.477951 
59314.169020 -1.390127 
59314.200802 -1.309474 
59314.232584 -1.240726 
59314.264366 -1.189747 
59314.296148 -1.163239 
59314.327930 -1.167958 
59314.359712 -1.209334 
59314.391494 -1.289683 
59314.423276 -1.406662 
59314.455058 -1.552847 
59314.486839 -1.716968 
59314.518621 -1.886400 
59314.550403 -2.049764 
59314.582185 -2.198607 
59314.613967 -2.327851 
59314.645749 -2.435339 
59314.677531 -2.521000 
59314.709313 -2.586022 
59314.741095 -2.632222 
59314.772877 -2.661616 
59314.804659 -2.676174 
59314.836441 -2.677694 
59314.868223 -2.667746 
59314.900005 -2.647668 
59314.931787 -2.618577 
59314.963569 -2.581396 
59314.995351 -2.536874 
59315.027133 -2.485623 
59315.058915 -2.428135 
59315.090697 -2.364813 
59315.122479 -2.295992 
59315.154261 -2.221967 
59315.186043 -2.143022 
59315.217825 -2.059461 
59315.249607 -1.971654 
59315.281389 -1.880089 
59315.313171 -1.785448 
59315.344953 -1.688700 
59315.376735 -1.591232 
59315.408517 -1.495008 
59315.440299 -1.402756 
59315.472081 -1.318174 
59315.503863 -1.246066 
59315.535645 -1.192369 
59315.567427 -1.163821 
59315.599209 -1.167149 
59315.630991 -1.207648 
59315.662773 -1.287389 
59315.694555 -1.403715 
59315.726337 -1.548917 
59315.758119 -1.711565 
59315.789901 -1.879045 
59315.821683 -2.040124 
59315.853465 -2.186562 
59315.885247 -2.313482 
59315.917029 -2.418883 
59315.948811 -2.502796 
59315.980593 -2.566467 
59316.012375 -2.611736 
59316.044157 -2.640625 
59316.075939 -2.655095 
59316.107721 -2.656931 
59316.139503 -2.647691 
59316.171285 -2.628698 
59316.203067 -2.601056 
59316.234849 -2.565676 
59316.266631 -2.523297 
