# time model 
59290.205401 0.717460 
59290.237182 0.647913 
59290.268964 0.561742 
59290.300746 0.461266 
59290.332528 0.349201 
59290.364310 0.228570 
59290.396092 0.102601 
59290.427874 -0.025380 
59290.459656 -0.152053 
59290.491438 -0.274199 
59290.523220 -0.388791 
59290.555002 -0.493064 
59290.586784 -0.584580 
59290.618566 -0.661270 
59290.650348 -0.721469 
59290.682130 -0.763930 
59290.713912 -0.787836 
59290.745694 -0.792798 
59290.777476 -0.778845 
59290.809258 -0.746413 
59290.841040 -0.696321 
59290.872822 -0.629757 
59290.904604 -0.548247 
59290.936386 -0.453631 
59290.968168 -0.348035 
59290.999950 -0.233831 
59291.031732 -0.113607 
59291.063514 0.009880 
59291.095296 0.133750 
59291.127078 0.255058 
59291.158860 0.370848 
59291.190642 0.478230 
59291.222424 0.574445 
59291.254206 0.656947 
59291.285988 0.723479 
59291.317770 0.772152 
59291.349552 0.801515 
59291.381334 0.810616 
59291.413116 0.799051 
59291.444898 0.766993 
59291.476680 0.715199 
59291.508462 0.644999 
59291.540244 0.558253 
59291.572026 0.457296 
59291.603808 0.344858 
59291.635590 0.223970 
59291.667372 0.097867 
59291.699154 -0.030125 
59291.730936 -0.156687 
59291.762718 -0.278605 
59291.794500 -0.392861 
59291.826282 -0.496702 
59291.858064 -0.587702 
59291.889846 -0.663808 
59291.921628 -0.723368 
59291.953410 -0.765152 
59291.985192 -0.788360 
59292.016974 -0.792617 
59292.048756 -0.777968 
59292.080538 -0.744863 
59292.112320 -0.694137 
59292.144102 -0.626988 
59292.175884 -0.544957 
59292.207666 -0.449895 
59292.239448 -0.343935 
59292.271230 -0.229460 
59292.303012 -0.109065 
59292.334794 0.014488 
59292.366576 0.138317 
59292.398358 0.259472 
59292.430140 0.375001 
59292.461922 0.482017 
59292.493704 0.577767 
59292.525486 0.659714 
59292.557268 0.725615 
59292.589050 0.773594 
59292.620832 0.802219 
59292.652614 0.810556 
59292.684396 0.798224 
59292.716178 0.765417 
59292.747960 0.712913 
59292.779742 0.642062 
59292.811524 0.554744 
59292.843306 0.453310 
59292.875088 0.340503 
59292.906869 0.219363 
59292.938651 0.093130 
59292.970433 -0.034868 
59293.002215 -0.161314 
59293.033997 -0.283000 
59293.065779 -0.396917 
59293.097561 -0.500323 
59293.129343 -0.590804 
59293.161125 -0.666323 
59293.192907 -0.725242 
59293.224689 -0.766349 
59293.256471 -0.788857 
59293.288253 -0.792409 
