# time model 
59325.801227 -3.430011 
59325.833009 -3.398715 
59325.864791 -3.366754 
59325.896573 -3.334146 
59325.928355 -3.300910 
59325.960137 -3.267064 
59325.991919 -3.232628 
59326.023701 -3.197619 
59326.055483 -3.162057 
59326.087265 -3.125963 
59326.119047 -3.089354 
59326.150829 -3.052252 
59326.182611 -3.014677 
59326.214393 -2.976647 
59326.246175 -2.938185 
59326.277957 -2.899310 
59326.309739 -2.860042 
59326.341521 -2.820403 
59326.373303 -2.780413 
59326.405085 -2.740093 
59326.436867 -2.699464 
59326.468649 -2.658546 
59326.500431 -2.617361 
59326.532213 -2.575928 
59326.563995 -2.534270 
59326.595777 -2.492406 
59326.627559 -2.450358 
59326.659341 -2.408146 
59326.691123 -2.365790 
59326.722905 -2.323312 
59326.754687 -2.280731 
59326.786469 -2.238068 
59326.818251 -2.195343 
59326.850033 -2.152576 
59326.881815 -2.109786 
59326.913597 -2.066994 
59326.945379 -2.024218 
59326.977161 -1.981478 
59327.008943 -1.938792 
59327.040725 -1.896180 
59327.072507 -1.853660 
59327.104289 -1.811250 
59327.136071 -1.768969 
59327.167853 -1.726832 
59327.199635 -1.684859 
59327.231417 -1.643066 
59327.263199 -1.601470 
59327.294981 -1.560087 
59327.326763 -1.518933 
59327.358545 -1.478024 
59327.390327 -1.437376 
59327.422109 -1.397002 
59327.453891 -1.356919 
59327.485673 -1.317139 
59327.517455 -1.277677 
59327.549237 -1.238546 
59327.581019 -1.199760 
59327.612801 -1.161330 
59327.644583 -1.123268 
59327.676365 -1.085587 
59327.708147 -1.048298 
59327.739929 -1.011411 
59327.771711 -0.974937 
59327.803493 -0.938885 
59327.835275 -0.903265 
59327.867057 -0.868087 
59327.898839 -0.833357 
59327.930621 -0.799085 
59327.962402 -0.765278 
59327.994184 -0.731942 
59328.025966 -0.699085 
59328.057748 -0.666712 
59328.089530 -0.634830 
59328.121312 -0.603442 
59328.153094 -0.572554 
59328.184876 -0.542169 
59328.216658 -0.512292 
59328.248440 -0.482925 
59328.280222 -0.454071 
59328.312004 -0.425732 
59328.343786 -0.397910 
59328.375568 -0.370605 
59328.407350 -0.343820 
59328.439132 -0.317552 
59328.470914 -0.291804 
59328.502696 -0.266572 
59328.534478 -0.241858 
59328.566260 -0.217657 
59328.598042 -0.193970 
59328.629824 -0.170792 
59328.661606 -0.148121 
59328.693388 -0.125953 
59328.725170 -0.104285 
59328.756952 -0.083112 
59328.788734 -0.062429 
59328.820516 -0.042230 
59328.852298 -0.022511 
59328.884080 -0.003266 
59328.915862 0.015513 
59328.947644 0.033832 
59328.979426 0.051698 
59329.011208 0.069119 
59329.042990 0.086103 
59329.074772 0.102657 
59329.106554 0.118791 
59329.138336 0.134513 
59329.170118 0.149834 
59329.201900 0.164761 
59329.233682 0.179306 
59329.265464 0.193478 
59329.297246 0.207288 
59329.329028 0.220746 
59329.360810 0.233864 
59329.392592 0.246652 
59329.424374 0.259122 
59329.456156 0.271286 
59329.487938 0.283155 
59329.519720 0.294742 
59329.551502 0.306058 
59329.583284 0.317116 
59329.615066 0.327929 
59329.646848 0.338509 
59329.678630 0.348870 
59329.710412 0.359023 
59329.742194 0.368982 
59329.773976 0.378760 
59329.805758 0.388370 
59329.837540 0.397826 
59329.869322 0.407140 
59329.901104 0.416327 
59329.932886 0.425398 
59329.964668 0.434369 
59329.996450 0.443252 
59330.028232 0.452060 
59330.060014 0.460806 
59330.091796 0.469505 
59330.123578 0.478169 
59330.155360 0.486811 
59330.187142 0.495445 
59330.218924 0.504083 
59330.250706 0.512738 
59330.282488 0.521422 
59330.314270 0.530150 
59330.346052 0.538932 
59330.377834 0.547782 
59330.409616 0.556710 
59330.441398 0.565730 
59330.473180 0.574853 
59330.504962 0.584091 
59330.536744 0.593455 
59330.568526 0.602955 
59330.600308 0.612604 
59330.632090 0.622411 
59330.663871 0.632386 
59330.695653 0.642541 
59330.727435 0.652885 
59330.759217 0.663427 
59330.790999 0.674176 
59330.822781 0.685142 
59330.854563 0.696333 
59330.886345 0.707757 
59330.918127 0.719423 
59330.949909 0.731337 
59330.981691 0.743508 
59331.013473 0.755943 
59331.045255 0.768646 
59331.077037 0.781626 
59331.108819 0.794888 
59331.140601 0.808437 
59331.172383 0.822278 
59331.204165 0.836416 
59331.235947 0.850855 
59331.267729 0.865599 
59331.299511 0.880652 
59331.331293 0.896017 
59331.363075 0.911696 
59331.394857 0.927691 
59331.426639 0.944005 
59331.458421 0.960638 
59331.490203 0.977592 
59331.521985 0.994868 
59331.553767 1.012465 
59331.585549 1.030383 
59331.617331 1.048621 
59331.649113 1.067179 
59331.680895 1.086055 
59331.712677 1.105246 
59331.744459 1.124751 
59331.776241 1.144566 
59331.808023 1.164688 
59331.839805 1.185114 
59331.871587 1.205840 
59331.903369 1.226860 
59331.935151 1.248171 
59331.966933 1.269766 
59331.998715 1.291640 
59332.030497 1.313788 
59332.062279 1.336201 
59332.094061 1.358875 
59332.125843 1.381800 
59332.157625 1.404970 
59332.189407 1.428377 
59332.221189 1.452012 
59332.252971 1.475866 
59332.284753 1.499931 
59332.316535 1.524196 
59332.348317 1.548653 
59332.380099 1.573291 
59332.411881 1.598099 
59332.443663 1.623067 
59332.475445 1.648184 
59332.507227 1.673439 
59332.539009 1.698820 
59332.570791 1.724314 
59332.602573 1.749911 
59332.634355 1.775597 
59332.666137 1.801360 
59332.697919 1.827187 
59332.729701 1.853065 
59332.761483 1.878980 
59332.793265 1.904920 
59332.825047 1.930870 
59332.856829 1.956817 
59332.888611 1.982746 
59332.920393 2.008643 
59332.952175 2.034495 
59332.983957 2.060286 
59333.015739 2.086002 
59333.047521 2.111629 
59333.079303 2.137151 
59333.111085 2.162554 
59333.142867 2.187823 
59333.174649 2.212943 
59333.206431 2.237899 
59333.238213 2.262675 
59333.269995 2.287258 
59333.301777 2.311632 
59333.333559 2.335781 
59333.365340 2.359691 
59333.397122 2.383348 
59333.428904 2.406735 
59333.460686 2.429839 
59333.492468 2.452644 
59333.524250 2.475136 
59333.556032 2.497300 
59333.587814 2.519123 
59333.619596 2.540588 
59333.651378 2.561684 
59333.683160 2.582395 
59333.714942 2.602707 
59333.746724 2.622607 
59333.778506 2.642082 
59333.810288 2.661119 
59333.842070 2.679703 
59333.873852 2.697823 
59333.905634 2.715466 
59333.937416 2.732620 
59333.969198 2.749273 
59334.000980 2.765412 
59334.032762 2.781027 
59334.064544 2.796106 
59334.096326 2.810639 
59334.128108 2.824614 
59334.159890 2.838023 
59334.191672 2.850854 
59334.223454 2.863099 
59334.255236 2.874748 
59334.287018 2.885792 
59334.318800 2.896224 
59334.350582 2.906035 
59334.382364 2.915217 
59334.414146 2.923763 
59334.445928 2.931667 
59334.477710 2.938922 
59334.509492 2.945522 
59334.541274 2.951462 
59334.573056 2.956736 
59334.604838 2.961340 
59334.636620 2.965270 
59334.668402 2.968522 
59334.700184 2.971092 
59334.731966 2.972978 
59334.763748 2.974178 
59334.795530 2.974689 
59334.827312 2.974510 
59334.859094 2.973640 
59334.890876 2.972080 
59334.922658 2.969828 
59334.954440 2.966886 
59334.986222 2.963254 
59335.018004 2.958933 
59335.049786 2.953927 
59335.081568 2.948237 
59335.113350 2.941867 
59335.145132 2.934819 
59335.176914 2.927098 
59335.208696 2.918708 
59335.240478 2.909654 
59335.272260 2.899942 
59335.304042 2.889578 
59335.335824 2.878567 
59335.367606 2.866916 
59335.399388 2.854634 
59335.431170 2.841727 
59335.462952 2.828204 
59335.494734 2.814074 
59335.526516 2.799346 
59335.558298 2.784029 
59335.590080 2.768134 
59335.621862 2.751671 
59335.653644 2.734651 
59335.685426 2.717085 
59335.717208 2.698985 
59335.748990 2.680363 
59335.780772 2.661232 
59335.812554 2.641605 
59335.844336 2.621495 
59335.876118 2.600916 
59335.907900 2.579882 
59335.939682 2.558407 
59335.971464 2.536506 
59336.003246 2.514195 
59336.035028 2.491488 
59336.066809 2.468402 
59336.098591 2.444953 
59336.130373 2.421157 
59336.162155 2.397030 
59336.193937 2.372590 
59336.225719 2.347854 
59336.257501 2.322838 
59336.289283 2.297562 
59336.321065 2.272043 
59336.352847 2.246298 
59336.384629 2.220347 
59336.416411 2.194207 
59336.448193 2.167897 
59336.479975 2.141437 
59336.511757 2.114844 
59336.543539 2.088139 
59336.575321 2.061339 
59336.607103 2.034466 
59336.638885 2.007537 
59336.670667 1.980572 
59336.702449 1.953591 
59336.734231 1.926614 
59336.766013 1.899659 
59336.797795 1.872747 
59336.829577 1.845897 
59336.861359 1.819128 
59336.893141 1.792461 
59336.924923 1.765914 
59336.956705 1.739507 
59336.988487 1.713259 
59337.020269 1.687190 
59337.052051 1.661318 
59337.083833 1.635664 
59337.115615 1.610245 
59337.147397 1.585080 
