# time model 
59290.205401 3.666012 
59290.237182 3.571586 
59290.268964 3.459976 
59290.300746 3.334972 
59290.332528 3.200526 
59290.364310 3.060550 
59290.396092 2.918758 
59290.427874 2.778554 
59290.459656 2.642972 
59290.491438 2.514648 
59290.523220 2.395827 
59290.555002 2.288386 
59290.586784 2.193866 
59290.618566 2.113509 
59290.650348 2.048298 
59290.682130 1.998988 
59290.713912 1.966128 
59290.745694 1.950086 
59290.777476 1.951050 
59290.809258 1.969035 
59290.841040 2.003864 
59290.872822 2.055154 
59290.904604 2.122286 
59290.936386 2.204363 
59290.968168 2.300174 
59290.999950 2.408138 
59291.031732 2.526268 
59291.063514 2.652133 
59291.095296 2.782837 
59291.127078 2.915035 
59291.158860 3.044984 
59291.190642 3.168640 
59291.222424 3.281817 
59291.254206 3.380392 
59291.285988 3.460553 
59291.317770 3.519056 
59291.349552 3.553477 
59291.381334 3.562397 
59291.413116 3.545519 
59291.444898 3.503676 
59291.476680 3.438745 
59291.508462 3.353473 
59291.540244 3.251252 
59291.572026 3.135870 
59291.603808 3.011274 
59291.635590 2.881367 
59291.667372 2.749849 
59291.699154 2.620108 
59291.730936 2.495161 
59291.762718 2.377629 
59291.794500 2.269739 
59291.826282 2.173353 
59291.858064 2.089995 
59291.889846 2.020896 
59291.921628 1.967023 
59291.953410 1.929119 
59291.985192 1.907722 
59292.016974 1.903186 
59292.048756 1.915690 
59292.080538 1.945233 
59292.112320 1.991629 
59292.144102 2.054481 
59292.175884 2.133155 
59292.207666 2.226742 
59292.239448 2.334011 
59292.271230 2.453368 
59292.303012 2.582806 
59292.334794 2.719875 
59292.366576 2.861661 
59292.398358 3.004802 
59292.430140 3.145538 
59292.461922 3.279812 
59292.493704 3.403430 
59292.525486 3.512266 
59292.557268 3.602511 
59292.589050 3.670931 
59292.620832 3.715115 
59292.652614 3.733664 
59292.684396 3.726301 
59292.716178 3.693879 
59292.747960 3.638290 
59292.779742 3.562294 
59292.811524 3.469286 
59292.843306 3.363057 
59292.875088 3.247546 
59292.906869 3.126649 
59292.938651 3.004050 
59292.970433 2.883126 
59293.002215 2.766876 
59293.033997 2.657907 
59293.065779 2.558432 
59293.097561 2.470297 
59293.129343 2.395014 
59293.161125 2.333802 
59293.192907 2.287618 
59293.224689 2.257193 
59293.256471 2.243056 
59293.288253 2.245554 
59293.320035 2.264854 
59293.351817 2.300949 
59293.383599 2.353642 
59293.415381 2.422528 
59293.447163 2.506963 
59293.478945 2.606026 
59293.510727 2.718476 
59293.542509 2.842704 
59293.574291 2.976693 
59293.606073 3.117976 
59293.637855 3.263626 
59293.669637 3.410269 
59293.701419 3.554132 
59293.733201 3.691153 
59293.764983 3.817133 
59293.796765 3.927950 
59293.828547 4.019802 
59293.860329 4.089472 
59293.892111 4.134570 
59293.923893 4.153722 
59293.955675 4.146676 
59293.987457 4.114312 
59294.019239 4.058543 
59294.051021 3.982147 
59294.082803 3.888532 
59294.114585 3.781494 
59294.146367 3.664975 
59294.178149 3.542865 
59294.209931 3.418847 
59294.241713 3.296286 
59294.273495 3.178176 
59294.305277 3.067114 
59294.337059 2.965305 
59294.368841 2.874589 
59294.400623 2.796473 
59294.432405 2.732169 
59294.464187 2.682633 
59294.495969 2.648592 
59294.527751 2.630573 
59294.559533 2.628921 
59294.591315 2.643803 
59294.623097 2.675210 
59294.654879 2.722944 
59294.686661 2.786597 
59294.718443 2.865523 
59294.750225 2.958797 
59294.782007 3.065175 
59294.813789 3.183042 
59294.845571 3.310374 
59294.877353 3.444699 
59294.909135 3.583083 
59294.940917 3.722146 
59294.972699 3.858111 
59295.004481 3.986917 
59295.036263 4.104368 
59295.068045 4.206352 
59295.099827 4.289083 
59295.131609 4.349368 
59295.163391 4.384843 
