# time model 
2455007.429878 0.000110 
2455009.095720 0.000114 
2455010.761563 0.000032 
2455012.427406 0.000030 
2455014.093248 0.000105 
2455015.759091 0.000051 
2455017.424934 -0.000079 
2455019.090776 -0.000069 
2455020.756619 -0.000043 
2455022.422462 -0.000238 
2455024.088304 -0.000451 
2455025.754147 -0.000367 
2455027.419989 -0.000141 
2455029.085832 -0.000060 
2455030.751675 -0.000035 
2455032.417517 0.000056 
2455034.083360 0.000062 
2455035.749203 -0.000042 
2455037.415045 -0.000042 
2455039.080888 0.000052 
2455040.746730 0.000026 
2455042.412573 -0.000057 
2455044.078416 -0.000019 
2455045.744258 -0.000006 
2455047.410101 -0.000179 
2455049.075944 -0.000324 
2455050.741786 -0.000258 
2455052.407629 -0.000168 
2455054.073472 -0.000183 
2455055.739314 -0.000163 
2455057.405157 -0.000081 
2455059.070999 -0.000085 
2455060.736842 -0.000149 
2455062.402685 -0.000147 
2455064.068527 -0.000104 
2455065.734370 -0.000056 
2455067.400213 0.000027 
2455069.066055 0.000053 
2455070.731898 -0.000033 
2455072.397741 -0.000035 
2455074.063583 0.000094 
2455075.729426 0.000055 
2455077.395268 -0.000189 
2455079.061111 -0.000272 
2455080.726954 -0.000166 
2455082.392796 -0.000186 
2455084.058639 -0.000257 
2455085.724482 -0.000162 
2455087.390324 -0.000149 
2455089.056167 -0.000302 
2455090.722010 -0.000153 
2455092.387852 0.000207 
2455094.053695 0.000058 
2455095.719537 -0.000328 
2455097.385380 0.000008 
2455099.051223 0.000599 
2455100.717065 0.000247 
2455102.382908 -0.000469 
2455104.048751 -0.000254 
2455105.714593 0.000294 
2455107.380436 0.000083 
2455109.046279 -0.000161 
2455110.712121 0.000227 
2455112.377964 0.000240 
2455114.043806 -0.000290 
2455115.709649 -0.000043 
2455117.375492 0.000544 
2455119.041334 -0.000197 
2455120.707177 -0.001197 
2455122.373020 -0.000439 
2455124.038862 0.000448 
2455125.704705 -0.000746 
2455127.370547 -0.001799 
2455129.036390 -0.000225 
2455130.702233 0.001599 
2455132.368075 0.001265 
2455134.033918 0.000794 
2455135.699761 0.001523 
2455137.365603 0.001383 
2455139.031446 0.000370 
2455140.697289 0.000779 
2455142.363131 0.001176 
2455144.028974 -0.001005 
2455145.694816 -0.002925 
2455147.360659 -0.001805 
2455149.026502 -0.001649 
2455150.692344 -0.004894 
2455152.358187 -0.005668 
2455154.024030 -0.000698 
2455155.689872 0.003779 
2455157.355715 0.003721 
2455159.021558 0.003294 
2455160.687400 0.004253 
2455162.353243 0.003413 
2455164.019085 0.002005 
2455165.684928 0.002981 
2455167.350771 0.002343 
2455169.016613 -0.002633 
2455170.682456 -0.005499 
2455172.348299 -0.004088 
2455174.014141 -0.006909 
2455175.679984 -0.014397 
2455177.345827 -0.013817 
2455179.011669 -0.002667 
2455180.677512 0.005914 
2455182.343354 0.006826 
2455184.009197 0.007412 
2455185.675040 0.008418 
2455187.340882 0.005705 
2455189.006725 0.004178 
2455190.672568 0.006777 
2455192.338410 0.004215 
2455194.004253 -0.005033 
2455195.670096 -0.008246 
2455197.335938 -0.006304 
2455199.001781 -0.015074 
2455200.667623 -0.029558 
2455202.333466 -0.026528 
2455203.999309 -0.007082 
2455205.665151 0.005793 
2455207.330994 0.008130 
2455208.996837 0.011442 
2455210.662679 0.012541 
2455212.328522 0.006391 
2455213.994364 0.004976 
2455215.660207 0.010764 
2455217.326050 0.006314 
2455218.991892 -0.007455 
2455220.657735 -0.009588 
2455222.323578 -0.006474 
2455223.989420 -0.022885 
2455225.655263 -0.045436 
2455227.321106 -0.039655 
2455228.986948 -0.013465 
2455230.652791 0.000622 
2455232.318633 0.003680 
2455233.984476 0.011208 
2455235.650319 0.012827 
2455237.316161 0.002593 
2455238.982004 0.001247 
2455240.647847 0.010912 
2455242.313689 0.006627 
2455243.979532 -0.008176 
2455245.645375 -0.007369 
2455247.311217 -0.003181 
2455248.977060 -0.024305 
2455250.642902 -0.049673 
2455252.308745 -0.042445 
2455253.974588 -0.018643 
2455255.640430 -0.010646 
2455257.306273 -0.008664 
2455258.972116 0.001989 
2455260.637958 0.004013 
2455262.303801 -0.007488 
2455263.969644 -0.008710 
2455265.635486 0.001633 
2455267.301329 0.001518 
2455268.967171 -0.004605 
2455270.633014 -0.000351 
2455272.298857 0.000576 
2455273.964699 -0.014992 
2455275.630542 -0.026559 
2455277.296385 -0.021690 
2455278.962227 -0.019036 
2455280.628070 -0.024403 
2455282.293913 -0.022034 
2455283.959755 -0.014429 
2455285.625598 -0.015434 
2455287.291440 -0.019440 
2455288.957283 -0.019127 
2455290.623126 -0.018637 
2455292.288968 -0.011014 
2455293.954811 0.006526 
2455295.620654 0.008561 
2455297.286496 -0.008076 
2455298.952339 -0.001808 
2455300.618181 0.027047 
2455302.284024 0.019759 
2455303.949867 -0.022641 
2455305.615709 -0.032895 
2455307.281552 -0.012351 
2455308.947395 -0.017828 
2455310.613237 -0.031854 
2455312.279080 -0.014267 
2455313.944923 -0.009337 
2455315.610765 -0.037101 
2455317.276608 -0.021867 
2455318.942450 0.030303 
2455320.608293 0.007684 
2455322.274136 -0.055663 
2455323.939978 -0.012665 
2455325.605821 0.074343 
2455327.271664 0.026080 
2455328.937506 -0.075534 
2455330.603349 -0.034530 
2455332.269192 0.061528 
2455333.935034 0.039127 
2455335.600877 -0.002125 
2455337.266719 0.050070 
2455338.932562 0.058198 
2455340.598405 -0.018009 
2455342.264247 0.003541 
2455343.930090 0.078068 
2455345.595933 -0.026956 
2455347.261775 -0.178549 
2455348.927618 -0.094488 
2455350.593461 0.015579 
2455352.259303 -0.152998 
2455353.925146 -0.295688 
2455355.590988 -0.057087 
2455357.256831 0.235214 
2455358.922674 0.217333 
2455360.588516 0.148215 
2455362.254359 0.237275 
2455363.920202 0.222940 
2455365.586044 0.088168 
2455367.251887 0.131986 
2455368.917730 0.173942 
2455370.583572 -0.128213 
2455372.249415 -0.405041 
2455373.915257 -0.284228 
2455375.581100 -0.295479 
2455377.246943 -0.761649 
2455378.912785 -0.879191 
2455380.578628 -0.182034 
2455382.244471 0.486105 
2455383.910313 0.533355 
2455385.576156 0.486763 
2455387.241998 0.602888 
2455388.907841 0.484477 
2455390.573684 0.298845 
2455392.239526 0.434161 
2455393.905369 0.352106 
2455395.571212 -0.319925 
2455397.237054 -0.721052 
2455398.902897 -0.551137 
2455400.568740 -0.957418 
2455402.234582 -2.019625 
2455403.900425 -2.010644 
2455405.566267 -0.532694 
2455407.232110 0.670206 
2455408.897953 0.859379 
2455410.563795 0.973750 
2455412.229638 1.115907 
2455413.895481 0.739011 
2455415.561323 0.517932 
2455417.227166 0.893285 
2455418.893009 0.620411 
2455420.558851 -0.582147 
2455422.224694 -1.027943 
2455423.890536 -0.745256 
2455425.556379 -1.855016 
2455427.222222 -3.833035 
2455428.888064 -3.612060 
2455430.553907 -1.175330 
2455432.219750 0.511982 
2455433.885592 0.850909 
2455435.551435 1.330478 
2455437.217278 1.538993 
2455438.883120 0.733460 
2455440.548963 0.476059 
2455442.214805 1.265845 
2455443.880648 0.870549 
2455445.546491 -0.812228 
2455447.212333 -1.120561 
