# time model 
2455007.429878 -0.000003 
2455008.361176 -0.000003 
2455009.292474 -0.000002 
2455010.223771 -0.000001 
2455011.155069 0.000000 
2455012.086367 0.000000 
2455013.017665 -0.000001 
2455013.948963 -0.000001 
2455014.880261 -0.000001 
2455015.811558 0.000001 
2455016.742856 0.000003 
2455017.674154 0.000004 
2455018.605452 0.000004 
2455019.536750 0.000004 
2455020.468048 0.000003 
2455021.399346 0.000005 
2455022.330643 0.000008 
2455023.261941 0.000012 
2455024.193239 0.000014 
2455025.124537 0.000013 
2455026.055835 0.000010 
2455026.987133 0.000006 
2455027.918431 0.000003 
2455028.849728 0.000002 
2455029.781026 0.000002 
2455030.712324 0.000001 
2455031.643622 0.000000 
2455032.574920 -0.000001 
2455033.506218 -0.000001 
2455034.437515 -0.000000 
2455035.368813 0.000002 
2455036.300111 0.000003 
2455037.231409 0.000002 
2455038.162707 0.000001 
2455039.094005 -0.000000 
2455040.025303 -0.000000 
2455040.956600 0.000001 
2455041.887898 0.000003 
2455042.819196 0.000003 
2455043.750494 0.000003 
2455044.681792 0.000002 
2455045.613090 0.000002 
2455046.544388 0.000004 
2455047.475685 0.000008 
2455048.406983 0.000010 
2455049.338281 0.000011 
2455050.269579 0.000010 
2455051.200877 0.000008 
2455052.132175 0.000006 
2455053.063472 0.000006 
2455053.994770 0.000006 
2455054.926068 0.000006 
2455055.857366 0.000006 
2455056.788664 0.000004 
2455057.719962 0.000003 
2455058.651260 0.000003 
2455059.582557 0.000004 
2455060.513855 0.000005 
2455061.445153 0.000005 
2455062.376451 0.000005 
2455063.307749 0.000004 
2455064.239047 0.000003 
2455065.170345 0.000003 
2455066.101642 0.000002 
2455067.032940 0.000001 
2455067.964238 -0.000001 
2455068.895536 -0.000001 
2455069.826834 0.000001 
2455070.758132 0.000002 
2455071.689430 0.000003 
2455072.620727 0.000002 
2455073.552025 -0.000000 
2455074.483323 -0.000001 
2455075.414621 -0.000000 
2455076.345919 0.000003 
2455077.277217 0.000007 
2455078.208514 0.000009 
2455079.139812 0.000009 
2455080.071110 0.000007 
2455081.002408 0.000006 
2455081.933706 0.000006 
2455082.865004 0.000007 
2455083.796302 0.000008 
2455084.727599 0.000007 
2455085.658897 0.000005 
2455086.590195 0.000004 
2455087.521493 0.000005 
2455088.452791 0.000007 
2455089.384089 0.000008 
2455090.315387 0.000006 
2455091.246684 0.000000 
2455092.177982 -0.000005 
2455093.109280 -0.000006 
2455094.040578 -0.000002 
2455094.971876 0.000005 
2455095.903174 0.000009 
2455096.834471 0.000004 
2455097.765769 -0.000006 
2455098.697067 -0.000015 
2455099.628365 -0.000016 
2455100.559663 -0.000008 
2455101.490961 0.000005 
2455102.422259 0.000014 
2455103.353556 0.000013 
2455104.284854 0.000004 
2455105.216152 -0.000005 
2455106.147450 -0.000008 
2455107.078748 -0.000004 
2455108.010046 0.000003 
2455108.941344 0.000005 
2455109.872641 0.000001 
2455110.803939 -0.000006 
2455111.735237 -0.000008 
2455112.666535 -0.000003 
2455113.597833 0.000006 
2455114.529131 0.000010 
2455115.460428 0.000005 
2455116.391726 -0.000006 
2455117.323024 -0.000012 
2455118.254322 -0.000006 
2455119.185620 0.000012 
2455120.116918 0.000029 
2455121.048216 0.000033 
2455121.979513 0.000020 
2455122.910811 -0.000000 
2455123.842109 -0.000012 
2455124.773407 -0.000004 
2455125.704705 0.000020 
2455126.636003 0.000041 
2455127.567301 0.000042 
2455128.498598 0.000019 
2455129.429896 -0.000017 
2455130.361194 -0.000044 
2455131.292492 -0.000051 
2455132.223790 -0.000040 
2455133.155088 -0.000026 
2455134.086386 -0.000023 
2455135.017683 -0.000032 
2455135.948981 -0.000042 
2455136.880279 -0.000039 
2455137.811577 -0.000023 
2455138.742875 -0.000005 
2455139.674173 0.000001 
2455140.605470 -0.000009 
2455141.536768 -0.000020 
2455142.468066 -0.000014 
2455143.399364 0.000017 
2455144.330662 0.000060 
2455145.261960 0.000090 
2455146.193258 0.000091 
2455147.124555 0.000068 
2455148.055853 0.000046 
2455148.987151 0.000054 
2455149.918449 0.000094 
2455150.849747 0.000142 
2455151.781045 0.000159 
2455152.712343 0.000120 
2455153.643640 0.000037 
2455154.574938 -0.000055 
2455155.506236 -0.000114 
2455156.437534 -0.000128 
2455157.368832 -0.000111 
2455158.300130 -0.000095 
2455159.231427 -0.000095 
2455160.162725 -0.000107 
2455161.094023 -0.000108 
2455162.025321 -0.000088 
2455162.956619 -0.000054 
2455163.887917 -0.000031 
2455164.819215 -0.000032 
2455165.750512 -0.000046 
2455166.681810 -0.000043 
