# time model 
2455007.429878 0.000060 
2455008.361176 0.000012 
2455009.292474 -0.000080 
2455010.223771 -0.000189 
2455011.155069 -0.000272 
2455012.086367 -0.000306 
2455013.017665 -0.000313 
2455013.948963 -0.000343 
2455014.880261 -0.000436 
2455015.811558 -0.000582 
2455016.742856 -0.000727 
2455017.674154 -0.000814 
2455018.605452 -0.000833 
2455019.536750 -0.000826 
2455020.468048 -0.000862 
2455021.399346 -0.000968 
2455022.330643 -0.001107 
2455023.261941 -0.001191 
2455024.193239 -0.001142 
2455025.124537 -0.000954 
2455026.055835 -0.000693 
2455026.987133 -0.000457 
2455027.918431 -0.000312 
2455028.849728 -0.000256 
2455029.781026 -0.000237 
2455030.712324 -0.000209 
2455031.643622 -0.000168 
2455032.574920 -0.000149 
2455033.506218 -0.000189 
2455034.437515 -0.000284 
2455035.368813 -0.000386 
2455036.300111 -0.000440 
2455037.231409 -0.000432 
2455038.162707 -0.000398 
2455039.094005 -0.000399 
2455040.025303 -0.000465 
2455040.956600 -0.000578 
2455041.887898 -0.000680 
2455042.819196 -0.000732 
2455043.750494 -0.000741 
2455044.681792 -0.000759 
2455045.613090 -0.000836 
2455046.544388 -0.000971 
2455047.475685 -0.001110 
2455048.406983 -0.001178 
2455049.338281 -0.001138 
2455050.269579 -0.001018 
2455051.200877 -0.000883 
2455052.132175 -0.000793 
2455053.063472 -0.000756 
2455053.994770 -0.000739 
2455054.926068 -0.000700 
2455055.857366 -0.000629 
2455056.788664 -0.000553 
2455057.719962 -0.000510 
2455058.651260 -0.000516 
2455059.582557 -0.000546 
2455060.513855 -0.000562 
2455061.445153 -0.000540 
2455062.376451 -0.000485 
2455063.307749 -0.000422 
2455064.239047 -0.000369 
2455065.170345 -0.000324 
2455066.101642 -0.000280 
2455067.032940 -0.000243 
2455067.964238 -0.000238 
2455068.895536 -0.000285 
2455069.826834 -0.000375 
2455070.758132 -0.000464 
2455071.689430 -0.000502 
2455072.620727 -0.000481 
2455073.552025 -0.000450 
2455074.483323 -0.000483 
2455075.414621 -0.000618 
2455076.345919 -0.000819 
2455077.277217 -0.000990 
2455078.208514 -0.001047 
2455079.139812 -0.000982 
2455080.071110 -0.000862 
2455081.002408 -0.000776 
2455081.933706 -0.000763 
2455082.865004 -0.000779 
2455083.796302 -0.000751 
2455084.727599 -0.000646 
2455085.658897 -0.000511 
2455086.590195 -0.000426 
2455087.521493 -0.000425 
2455088.452791 -0.000444 
2455089.384089 -0.000373 
2455090.315387 -0.000155 
2455091.246684 0.000135 
2455092.177982 0.000322 
2455093.109280 0.000275 
2455094.040578 0.000028 
2455094.971876 -0.000212 
2455095.903174 -0.000211 
2455096.834471 0.000093 
2455097.765769 0.000514 
2455098.697067 0.000731 
2455099.628365 0.000528 
