# time model 
2453115.032645 1.691432 
2453115.963943 1.750668 
2453116.895241 1.619098 
2453117.826539 1.295521 
2453118.757836 0.774855 
2453119.689134 0.060712 
2453120.620432 -0.803790 
2453121.551730 -1.679867 
2453122.483028 -2.291832 
2453123.414326 -2.340159 
2453124.345624 -1.783550 
2453125.276921 -0.895505 
2453126.208219 0.010298 
2453127.139517 0.760160 
2453128.070815 1.299316 
2453129.002113 1.626059 
2453129.933411 1.751982 
2453130.864708 1.685793 
2453131.796006 1.428760 
2453132.727304 0.976305 
2453133.658602 0.326750 
2453134.589900 -0.495473 
2453135.521198 -1.391817 
2453136.452496 -2.132355 
2453137.383793 -2.397804 
2453138.315091 -2.030160 
2453139.246389 -1.216368 
2453140.177687 -0.289151 
2453141.108985 0.525007 
2453142.040283 1.138345 
2453142.971581 1.536980 
2453143.902878 1.730654 
2453144.834176 1.729982 
2453145.765474 1.538884 
2453146.696772 1.154256 
2453147.628070 0.571759 
2453148.559368 -0.197151 
2453149.490665 -1.086452 
2453150.421963 -1.915292 
2453151.353261 -2.376950 
2453152.284559 -2.222759 
2453153.215857 -1.525088 
2453154.147155 -0.603257 
2453155.078453 0.265505 
2453156.009750 0.951819 
2453156.941048 1.423678 
2453157.872346 1.686415 
2453158.803644 1.751726 
2453159.734942 1.626151 
2453160.666240 1.308702 
2453161.597538 0.794291 
2453162.528835 0.085914 
2453163.460133 -0.775292 
2453164.391431 -1.654531 
2453165.322729 -2.279945 
2453166.254027 -2.348654 
2453167.185325 -1.808017 
2453168.116622 -0.925095 
2453169.047920 -0.016395 
2453169.979218 0.739653 
2453170.910516 1.285618 
2453171.841814 1.618889 
2453172.773112 1.750973 
2453173.704410 1.690778 
2453174.635707 1.439811 
2453175.567005 0.993594 
2453176.498303 0.350109 
2453177.429601 -0.467622 
2453178.360899 -1.364360 
2453179.292197 -2.114658 
2453180.223495 -2.399168 
2453181.154792 -2.050273 
2453182.086090 -1.245361 
2453183.017388 -0.317418 
2453183.948686 0.502215 
2453184.879984 1.122317 
2453185.811282 1.527612 
2453186.742580 1.727558 
2453187.673877 1.732909 
2453188.605175 1.547830 
2453189.536473 1.169388 
2453190.467771 0.593106 
2453191.399069 -0.170507 
2453192.330367 -1.058017 
2453193.261664 -1.892993 
2453194.192962 -2.371146 
2453195.124260 -2.237240 
2453196.055558 -1.552313 
2453196.986856 -0.632555 
2453197.918154 0.240562 
2453198.849452 0.933439 
2453199.780749 1.412063 
2453200.712047 1.681202 
2453201.643345 1.752595 
2453202.574643 1.633014 
2453203.505941 1.321686 
2453204.437239 0.813532 
2453205.368537 0.110957 
2453206.299834 -0.746826 
2453207.231132 -1.628949 
2453208.162430 -2.267481 
2453209.093728 -2.356513 
2453210.025026 -1.832142 
2453210.956324 -0.954675 
2453211.887621 -0.043251 
2453212.818919 0.718933 
2453213.750217 1.271709 
2453214.681515 1.611519 
2453215.612813 1.749774 
2453216.544111 1.695574 
2453217.475409 1.450668 
2453218.406706 1.010686 
2453219.338004 0.373289 
2453220.269302 -0.439861 
2453221.200600 -1.336770 
2453222.131898 -2.096486 
2453223.063196 -2.399869 
2453223.994494 -2.069921 
2453224.925791 -1.274244 
2453225.857089 -0.345805 
2453226.788387 0.479219 
2453227.719685 1.106074 
2453228.650983 1.518041 
2453229.582281 1.724269 
2453230.513578 1.735648 
2453231.444876 1.556584 
2453232.376174 1.184323 
2453233.307472 0.614263 
2453234.238770 -0.143995 
2453235.170068 -1.029544 
2453236.101366 -1.870338 
2453237.032663 -2.364703 
2453237.963961 -2.251150 
2453238.895259 -1.579310 
2453239.826557 -0.661914 
2453240.757855 0.215432 
2453241.689153 0.914844 
2453242.620451 1.400240 
2453243.551748 1.675793 
2453244.483046 1.753275 
2453245.414344 1.639687 
2453246.345642 1.334475 
2453247.276940 0.832576 
2453248.208238 0.135838 
2453249.139536 -0.718397 
2453250.070833 -1.603132 
2453251.002131 -2.254450 
2453251.933429 -2.363730 
2453252.864727 -1.855913 
2453253.796025 -0.984234 
2453254.727323 -0.070265 
2453255.658620 0.698001 
2453256.589918 1.257586 
2453257.521216 1.603950 
2453258.452514 1.748384 
2453259.383812 1.700182 
2453260.315110 1.461332 
2453261.246408 1.027581 
2453262.177705 0.396289 
2453263.109003 -0.412195 
2453264.040301 -1.309054 
2453264.971599 -2.077849 
2453265.902897 -2.399905 
2453266.834195 -2.089091 
2453267.765493 -1.303007 
2453268.696790 -0.374308 
2453269.628088 0.456020 
2453270.559386 1.089616 
2453271.490684 1.508265 
2453272.421982 1.720788 
2453273.353280 1.738198 
2453274.284577 1.565147 
2453275.215875 1.199060 
2453276.147173 0.635228 
2453277.078471 -0.117620 
2453278.009769 -1.001039 
2453278.941067 -1.847338 
2453279.872365 -2.357626 
2453280.803662 -2.264480 
2453281.734960 -1.606070 
2453282.666258 -0.691326 
2453283.597556 0.190116 
2453284.528854 0.896033 
2453285.460152 1.388208 
2453286.391450 1.670188 
2453287.322747 1.753766 
2453288.254045 1.646170 
2453289.185343 1.347067 
2453290.116641 0.851425 
2453291.047939 0.160556 
2453291.979237 -0.690011 
2453292.910535 -1.577089 
2453293.841832 -2.240858 
2453294.773130 -2.370301 
2453295.704428 -1.879320 
2453296.635726 -1.013765 
2453297.567024 -0.097434 
2453298.498322 0.676857 
2453299.429619 1.243251 
2453300.360917 1.596181 
2453301.292215 1.746804 
2453302.223513 1.704600 
2453303.154811 1.471802 
2453304.086109 1.044277 
2453305.017407 0.419108 
2453305.948704 -0.384628 
2453306.880002 -1.281222 
2453307.811300 -2.058758 
2453308.742598 -2.399279 
2453309.673896 -2.107775 
2453310.605194 -1.331639 
2453311.536492 -0.402920 
2453312.467789 0.432619 
2453313.399087 1.072942 
2453314.330385 1.498284 
2453315.261683 1.717113 
2453316.192981 1.740560 
2453317.124279 1.573518 
2453318.055576 1.213600 
2453318.986874 0.656003 
2453319.918172 -0.091383 
2453320.849470 -0.972511 
2453321.780768 -1.824004 
2453322.712066 -2.349920 
2453323.643364 -2.277222 
2453324.574661 -1.632579 
2453325.505959 -0.720786 
2453326.437257 0.164618 
2453327.368555 0.877006 
2453328.299853 1.375966 
2453329.231151 1.664386 
2453330.162449 1.754068 
2453331.093746 1.652463 
2453332.025044 1.359465 
2453332.956342 0.870077 
2453333.887640 0.185108 
2453334.818938 -0.661673 
2453335.750236 -1.550833 
2453336.681533 -2.226716 
2453337.612831 -2.376222 
2453338.544129 -1.902349 
2453339.475427 -1.043260 
2453340.406725 -0.124756 
2453341.338023 0.655502 
2453342.269321 1.228703 
2453343.200618 1.588211 
2453344.131916 1.745032 
2453345.063214 1.708830 
2453345.994512 1.482079 
2453346.925810 1.060775 
2453347.857108 0.441745 
2453348.788406 -0.357163 
2453349.719703 -1.253285 
2453350.651001 -2.039224 
2453351.582299 -2.397990 
2453352.513597 -2.125961 
2453353.444895 -1.360130 
2453354.376193 -0.431639 
2453355.307491 0.409019 
2453356.238788 1.056053 
2453357.170086 1.488098 
2453358.101384 1.713245 
2453359.032682 1.742733 
2453359.963980 1.581698 
2453360.895278 1.227943 
2453361.826575 0.676585 
2453362.757873 -0.065288 
2453363.689171 -0.943966 
2453364.620469 -1.800348 
2453365.551767 -2.341589 
2453366.483065 -2.289370 
2453367.414363 -1.658828 
2453368.345660 -0.750286 
2453369.276958 0.138940 
2453370.208256 0.857765 
2453371.139554 1.363515 
2453372.070852 1.658387 
2453373.002150 1.754181 
2453373.933448 1.658566 
2453374.864745 1.371667 
2453375.796043 0.888533 
2453376.727341 0.209493 
2453377.658639 -0.633391 
2453378.589937 -1.524373 
2453379.521235 -2.212030 
2453380.452532 -2.381490 
2453381.383830 -1.924991 
2453382.315128 -1.072709 
2453383.246426 -0.152226 
2453384.177724 0.633937 
2453385.109022 1.213942 
2453386.040320 1.580039 
2453386.971617 1.743070 
2453387.902915 1.712872 
2453388.834213 1.492162 
2453389.765511 1.077076 
2453390.696809 0.464197 
2453391.628107 -0.329807 
2453392.559405 -1.225249 
2453393.490702 -2.019257 
2453394.422000 -2.396040 
2453395.353298 -2.143639 
2453396.284596 -1.388470 
2453397.215894 -0.460457 
2453398.147192 0.385219 
2453399.078489 1.038948 
2453400.009787 1.477706 
2453400.941085 1.709183 
2453401.872383 1.744718 
2453402.803681 1.589687 
2453403.734979 1.242088 
2453404.666277 0.696975 
2453405.597574 -0.039337 
2453406.528872 -0.915412 
2453407.460170 -1.776380 
2453408.391468 -2.332640 
2453409.322766 -2.300915 
2453410.254064 -1.684803 
2453411.185362 -0.779820 
2453412.116659 0.113083 
2453413.047957 0.838309 
2453413.979255 1.350854 
2453414.910553 1.652191 
2453415.841851 1.754104 
2453416.773149 1.664481 
2453417.704447 1.383673 
2453418.635744 0.906791 
2453419.567042 0.233708 
2453420.498340 -0.605168 
2453421.429638 -1.497719 
2453422.360936 -2.196812 
2453423.292234 -2.386103 
2453424.223531 -1.947232 
2453425.154829 -1.102104 
2453426.086127 -0.179840 
2453427.017425 0.612162 
2453427.948723 1.198967 
2453428.880021 1.571667 
2453429.811319 1.740917 
2453430.742616 1.716725 
2453431.673914 1.502053 
2453432.605212 1.093179 
2453433.536510 0.486465 
2453434.467808 -0.302561 
2453435.399106 -1.197126 
2453436.330404 -1.998869 
2453437.261701 -2.393431 
2453438.192999 -2.160800 
2453439.124297 -1.416648 
2453440.055595 -0.489371 
2453440.986893 0.361221 
2453441.918191 1.021628 
2453442.849488 1.467109 
2453443.780786 1.704928 
2453444.712084 1.746514 
2453445.643382 1.597485 
2453446.574680 1.256037 
2453447.505978 0.717171 
2453448.437276 -0.013534 
2453449.368573 -0.886857 
2453450.299871 -1.752112 
2453451.231169 -2.323080 
2453452.162467 -2.311851 
2453453.093765 -1.710494 
2453454.025063 -0.809380 
2453454.956361 0.087050 
2453455.887658 0.818638 
2453456.818956 1.337983 
2453457.750254 1.645798 
2453458.681552 1.753837 
2453459.612850 1.670205 
2453460.544148 1.395485 
2453461.475445 0.924853 
2453462.406743 0.257751 
2453463.338041 -0.577012 
2453464.269339 -1.470882 
2453465.200637 -2.181070 
2453466.131935 -2.390057 
2453467.063233 -1.969062 
2453467.994530 -1.131436 
2453468.925828 -0.207595 
2453469.857126 0.590179 
2453470.788424 1.183778 
2453471.719722 1.563092 
2453472.651020 1.738572 
2453473.582318 1.720389 
2453474.513615 1.511751 
2453475.444913 1.109084 
2453476.376211 0.508547 
2453477.307509 -0.275431 
2453478.238807 -1.168922 
2453479.170105 -1.978070 
2453480.101403 -2.390165 
2453481.032700 -2.177433 
2453481.963998 -1.444653 
2453482.895296 -0.518375 
2453483.826594 0.337028 
2453484.757892 1.004092 
2453485.689190 1.456305 
2453486.620487 1.700477 
2453487.551785 1.748121 
2453488.483083 1.605092 
2453489.414381 1.269789 
2453490.345679 0.737174 
2453491.276977 0.012119 
2453492.208275 -0.858306 
2453493.139572 -1.727556 
2453494.070870 -2.312914 
2453495.002168 -2.322171 
2453495.933466 -1.735889 
2453496.864764 -0.838959 
2453497.796062 0.060845 
2453498.727360 0.798753 
2453499.658657 1.324901 
2453500.589955 1.639206 
2453501.521253 1.753381 
2453502.452551 1.675741 
2453503.383849 1.407102 
2453504.315147 0.942718 
2453505.246444 0.281622 
2453506.177742 -0.548926 
2453507.109040 -1.443873 
2453508.040338 -2.164813 
2453508.971636 -2.393351 
2453509.902934 -1.990469 
2453510.834232 -1.160695 
2453511.765529 -0.235488 
2453512.696827 0.567987 
2453513.628125 1.168375 
2453514.559423 1.554315 
2453515.490721 1.736035 
2453516.422019 1.723865 
2453517.353317 1.521256 
2453518.284614 1.124791 
2453519.215912 0.530443 
2453520.147210 -0.248421 
2453521.078508 -1.140648 
2453522.009806 -1.956871 
2453522.941104 -2.386246 
2453523.872401 -2.193529 
2453524.803699 -1.472475 
2453525.734997 -0.547462 
2453526.666295 0.312640 
2453527.597593 0.986340 
2453528.528891 1.445295 
2453529.460189 1.695833 
2453530.391486 1.749540 
2453531.322784 1.612508 
2453532.254082 1.283345 
2453533.185380 0.756982 
2453534.116678 0.037620 
2453535.047976 -0.829768 
2453535.979274 -1.702721 
2453536.910571 -2.302151 
2453537.841869 -2.331870 
2453538.773167 -1.760977 
2453539.704465 -0.868549 
2453540.635763 0.034469 
2453541.567061 0.778653 
2453542.498359 1.311608 
2453543.429656 1.632416 
2453544.360954 1.752735 
2453545.292252 1.681087 
2453546.223550 1.418525 
2453547.154848 0.960385 
2453548.086146 0.305319 
2453549.017443 -0.520916 
2453549.948741 -1.416700 
2453550.880039 -2.148052 
2453551.811337 -2.395983 
2453552.742635 -2.011443 
2453553.673933 -1.189872 
2453554.605231 -0.263513 
2453555.536528 0.545588 
2453556.467826 1.152757 
2453557.399124 1.545336 
2453558.330422 1.733306 
2453559.261720 1.727152 
2453560.193018 1.530569 
2453561.124316 1.140301 
2453562.055613 0.552151 
2453562.986911 -0.221532 
2453563.918209 -1.112311 
2453564.849507 -1.935283 
2453565.780805 -2.381676 
2453566.712103 -2.209078 
2453567.643400 -1.500102 
2453568.574698 -0.576628 
2453569.505996 0.288060 
2453570.437294 0.968372 
2453571.368592 1.434077 
2453572.299890 1.690993 
2453573.231188 1.750770 
2453574.162485 1.619735 
2453575.093783 1.296704 
2453576.025081 0.776596 
2453576.956379 0.062965 
2453577.887677 -0.801248 
2453578.818975 -1.677619 
2453579.750273 -2.290796 
2453580.681570 -2.340942 
2453581.612868 -1.785745 
2453582.544166 -0.898143 
2453583.475464 0.007925 
2453584.406762 0.758341 
2453585.338060 1.298103 
2453586.269358 1.625428 
2453587.200655 1.751900 
2453588.131953 1.686245 
2453589.063251 1.429753 
2453589.994549 0.977854 
2453590.925847 0.328839 
2453591.857145 -0.492987 
2453592.788442 -1.389375 
2453593.719740 -2.130797 
2453594.651038 -2.397952 
2453595.582336 -2.031971 
2453596.513634 -1.218957 
2453597.444932 -0.291666 
2453598.376230 0.522983 
2453599.307527 1.136925 
2453600.238825 1.536153 
2453601.170123 1.730386 
2453602.101421 1.730251 
2453603.032719 1.539690 
2453603.964017 1.155613 
2453604.895315 0.573670 
2453605.826612 -0.194770 
2453606.757910 -1.083919 
2453607.689208 -1.913319 
2453608.620506 -2.376458 
2453609.551804 -2.224073 
2453610.483102 -1.527524 
2453611.414399 -0.605866 
2453612.345697 0.263289 
2453613.276995 0.950189 
2453614.208293 1.422651 
2453615.139591 1.685958 
2453616.070889 1.751811 
2453617.002187 1.626771 
2453617.933484 1.309867 
2453618.864782 0.796014 
2453619.796080 0.088153 
2453620.727378 -0.772753 
2453621.658676 -1.652260 
2453622.589974 -2.278857 
2453623.521272 -2.349381 
2453624.452569 -1.810182 
2453625.383867 -0.927733 
2453626.315165 -0.018783 
2453627.246463 0.737814 
2453628.177761 1.284387 
2453629.109059 1.618240 
2453630.040356 1.750874 
2453630.971654 1.691213 
2453631.902952 1.440787 
2453632.834250 0.995126 
2453633.765548 0.352183 
2453634.696846 -0.465144 
2453635.628144 -1.361906 
2453636.559441 -2.113057 
2453637.490739 -2.399258 
2453638.422037 -2.052044 
2453639.353335 -1.247941 
2453640.284633 -0.319944 
2453641.215931 0.500173 
2453642.147229 1.120878 
2453643.078526 1.526767 
2453644.009824 1.727273 
2453644.941122 1.733161 
2453645.872420 1.548618 
2453646.803718 1.170727 
2453647.735016 0.595000 
2453648.666314 -0.168138 
2453649.597611 -1.055481 
2453650.528909 -1.890987 
2453651.460207 -2.370598 
2453652.391505 -2.238504 
2453653.322803 -1.554729 
2453654.254101 -0.635170 
2453655.185398 0.238329 
2453656.116696 0.931790 
2453657.047994 1.411018 
2453657.979292 1.680728 
2453658.910590 1.752663 
2453659.841888 1.633616 
2453660.773186 1.322834 
2453661.704483 0.815237 
2453662.635781 0.113182 
2453663.567079 -0.744290 
2453664.498377 -1.626657 
2453665.429675 -2.266343 
2453666.360973 -2.357182 
2453667.292271 -1.834275 
2453668.223568 -0.957311 
2453669.154866 -0.045653 
2453670.086164 0.717076 
2453671.017462 1.270458 
2453671.948760 1.610853 
2453672.880058 1.749657 
2453673.811355 1.695993 
2453674.742653 1.451627 
2453675.673951 1.012200 
2453676.605249 0.375347 
2453677.536547 -0.437391 
2453678.467845 -1.334304 
2453679.399143 -2.094843 
2453680.330440 -2.399899 
2453681.261738 -2.071649 
2453682.193036 -1.276814 
2453683.124334 -0.348341 
2453684.055632 0.477159 
2453684.986930 1.104615 
2453685.918228 1.517177 
2453686.849525 1.723967 
2453687.780823 1.735883 
