# time model 
2453115.032645 0.620165 
2453115.963943 0.339059 
2453116.895241 0.071111 
2453117.826539 -0.175920 
2453118.757836 -0.397606 
2453119.689134 -0.591868 
2453120.620432 -0.758137 
2453121.551730 -0.896732 
2453122.483028 -1.008426 
2453123.414326 -1.094153 
2453124.345624 -1.154835 
2453125.276921 -1.191269 
2453126.208219 -1.204067 
2453127.139517 -1.193626 
2453128.070815 -1.160117 
2453129.002113 -1.103494 
2453129.933411 -1.023514 
2453130.864708 -0.919784 
2453131.796006 -0.791830 
2453132.727304 -0.639214 
2453133.658602 -0.461720 
2453134.589900 -0.259620 
2453135.521198 -0.034091 
2453136.452496 0.212223 
2453137.383793 0.474466 
2453138.315091 0.744701 
2453139.246389 1.011118 
2453140.177687 1.257705 
2453141.108985 1.464986 
2453142.040283 1.612409 
2453142.971581 1.682400 
2453143.902878 1.665002 
2453144.834176 1.561051 
2453145.765474 1.382152 
2453146.696772 1.147390 
2453147.628070 0.878522 
2453148.559368 0.595770 
2453149.490665 0.315388 
2453150.421963 0.048987 
2453151.353261 -0.196001 
2453152.284559 -0.415387 
2453153.215857 -0.607249 
2453154.147155 -0.771120 
2453155.078453 -0.907370 
2453156.009750 -1.016796 
2453156.941048 -1.100337 
2453157.872346 -1.158907 
2453158.803644 -1.193289 
2453159.734942 -1.204079 
2453160.666240 -1.191652 
2453161.597538 -1.156163 
2453162.528835 -1.097545 
2453163.460133 -1.015543 
2453164.391431 -0.909750 
2453165.322729 -0.779693 
2453166.254027 -0.624945 
2453167.185325 -0.445316 
2453168.116622 -0.241141 
2453169.047920 -0.013697 
2453169.979218 0.234214 
2453170.910516 0.497505 
2453171.841814 0.767936 
2453172.773112 1.033337 
2453173.704410 1.277348 
2453174.635707 1.480284 
2453175.567005 1.621667 
2453176.498303 1.684403 
2453177.429601 1.659373 
2453178.360899 1.548393 
2453179.292197 1.363875 
2453180.223495 1.125326 
2453181.154792 0.854517 
2453182.086090 0.571396 
2453183.017388 0.291823 
2453183.948686 0.027023 
2453184.879984 -0.215892 
2453185.811282 -0.432963 
2453186.742580 -0.622424 
2453187.673877 -0.783899 
2453188.605175 -0.917810 
2453189.536473 -1.024975 
2453190.467771 -1.106336 
2453191.399069 -1.162800 
2453192.330367 -1.195136 
2453193.261664 -1.203919 
2453194.192962 -1.189509 
2453195.124260 -1.152038 
2453196.055558 -1.091424 
2453196.986856 -1.007396 
2453197.918154 -0.899538 
2453198.849452 -0.767375 
2453199.780749 -0.610491 
2453200.712047 -0.428730 
2453201.643345 -0.222490 
2453202.574643 0.006849 
2453203.505941 0.256320 
2453204.437239 0.520599 
2453205.368537 0.791136 
2453206.299834 1.055399 
2453207.231132 1.296689 
2453208.162430 1.495125 
2453209.093728 1.630340 
2453210.025026 1.685752 
2453210.956324 1.653104 
2453211.887621 1.535188 
2453212.818919 1.345197 
2453213.750217 1.103025 
2453214.681515 0.830423 
2453215.612813 0.547051 
2453216.544111 0.268370 
2453217.475409 0.005222 
2453218.406706 -0.235590 
2453219.338004 -0.450335 
2453220.269302 -0.637392 
2453221.200600 -0.796474 
2453222.131898 -0.928053 
2453223.063196 -1.032963 
2453223.994494 -1.112152 
2453224.925791 -1.166516 
2453225.857089 -1.196808 
2453226.788387 -1.203588 
2453227.719685 -1.187195 
2453228.650983 -1.147743 
2453229.582281 -1.085131 
2453230.513578 -0.999073 
2453231.444876 -0.889146 
2453232.376174 -0.754873 
2453233.307472 -0.595853 
2453234.238770 -0.411964 
2453235.170068 -0.203667 
2453236.101366 0.027546 
2453237.032663 0.278538 
2453237.963961 0.543742 
2453238.895259 0.814292 
2453239.826557 1.077294 
2453240.757855 1.315714 
2453241.689153 1.509497 
2453242.620451 1.638419 
2453243.551748 1.686443 
2453244.483046 1.646199 
2453245.414344 1.521446 
2453246.345642 1.326133 
2453247.276940 1.080500 
2453248.208238 0.806252 
2453249.139536 0.522743 
2453250.070833 0.245034 
2453251.002131 -0.016412 
2453251.933429 -0.255095 
2453252.864727 -0.467501 
2453253.796025 -0.652152 
2453254.727323 -0.808846 
2453255.658620 -0.938098 
2453256.589918 -1.040762 
2453257.521216 -1.117785 
2453258.452514 -1.170053 
2453259.383812 -1.198307 
2453260.315110 -1.203087 
2453261.246408 -1.184711 
2453262.177705 -1.143276 
2453263.109003 -1.078664 
2453264.040301 -0.990574 
2453264.971599 -0.878574 
2453265.902897 -0.742189 
2453266.834195 -0.581032 
2453267.765493 -0.395017 
2453268.696790 -0.184674 
2453269.628088 0.048390 
2453270.559386 0.300862 
2453271.490684 0.566927 
2453272.421982 0.837395 
2453273.353280 1.099009 
2453274.284577 1.334409 
2453275.215875 1.523388 
2453276.147173 1.645895 
2453277.078471 1.686476 
2453278.009769 1.638663 
2453278.941067 1.507180 
2453279.872365 1.306697 
2453280.803662 1.057767 
2453281.734960 0.782016 
2453282.666258 0.498481 
2453283.597556 0.221821 
2453284.528854 -0.037876 
2453285.460152 -0.274405 
2453286.391450 -0.484462 
2453287.322747 -0.666706 
2453288.254045 -0.821016 
2453289.185343 -0.947948 
2453290.116641 -1.048372 
2453291.047939 -1.123235 
2453291.979237 -1.173414 
2453292.910535 -1.199633 
2453293.841832 -1.202415 
2453294.773130 -1.182058 
2453295.704428 -1.138639 
2453296.635726 -1.072024 
2453297.567024 -0.981898 
2453298.498322 -0.867823 
2453299.429619 -0.729322 
2453300.360917 -0.566027 
2453301.292215 -0.377889 
2453302.223513 -0.165512 
2453303.154811 0.069379 
2453304.086109 0.323289 
2453305.017407 0.590147 
2453305.948704 0.860436 
2453306.880002 1.120533 
2453307.811300 1.352762 
2453308.742598 1.536786 
2453309.673896 1.652761 
2453310.605194 1.685850 
2453311.536492 1.630504 
2453312.467789 1.492401 
2453313.399087 1.286902 
2453314.330385 1.034837 
2453315.261683 0.757726 
2453316.192981 0.474272 
2453317.124279 0.198735 
2453318.055576 -0.059167 
2453318.986874 -0.293519 
2453319.918172 -0.501217 
2453320.849470 -0.681054 
2453321.780768 -0.832983 
2453322.712066 -0.957602 
2453323.643364 -1.055793 
2453324.574661 -1.128503 
2453325.505959 -1.176598 
2453326.437257 -1.200787 
2453327.368555 -1.201572 
2453328.299853 -1.179234 
2453329.231151 -1.133831 
2453330.162449 -1.065211 
2453331.093746 -0.973046 
2453332.025044 -0.856891 
2453332.956342 -0.716272 
2453333.887640 -0.550838 
2453334.818938 -0.360582 
2453335.750236 -0.146183 
2453336.681533 0.090509 
2453337.612831 0.345813 
2453338.544129 0.613395 
2453339.475427 0.883404 
2453340.406725 1.141854 
2453341.338023 1.370760 
2453342.269321 1.549678 
2453343.200618 1.659009 
2453344.131916 1.684564 
2453345.063214 1.621728 
2453345.994512 1.477122 
2453346.925810 1.266764 
2453347.857108 1.011724 
2453348.788406 0.733391 
2453349.719703 0.450125 
2453350.651001 0.175781 
2453351.582299 -0.080283 
2453352.513597 -0.312434 
2453353.444895 -0.517766 
2453354.376193 -0.695195 
2453355.307491 -0.844749 
2453356.238788 -0.967060 
