# time model 
2453115.032645 2.311598 
2453115.963943 2.089726 
2453116.895241 1.690209 
2453117.826539 1.119601 
2453118.757836 0.377249 
2453119.689134 -0.531156 
2453120.620432 -1.561926 
2453121.551730 -2.576599 
2453122.483028 -3.300258 
2453123.414326 -3.434312 
2453124.345624 -2.938385 
2453125.276921 -2.086774 
2453126.208219 -1.193769 
2453127.139517 -0.433466 
2453128.070815 0.139199 
2453129.002113 0.522565 
2453129.933411 0.728468 
2453130.864708 0.766009 
2453131.796006 0.636930 
2453132.727304 0.337091 
2453133.658602 -0.134970 
2453134.589900 -0.755094 
2453135.521198 -1.425908 
2453136.452496 -1.920132 
2453137.383793 -1.923338 
2453138.315091 -1.285459 
2453139.246389 -0.205250 
2453140.177687 0.968554 
2453141.108985 1.989993 
2453142.040283 2.750754 
2453142.971581 3.219381 
2453143.902878 3.395656 
2453144.834176 3.291034 
2453145.765474 2.921037 
2453146.696772 2.301646 
2453147.628070 1.450281 
2453148.559368 0.398620 
2453149.490665 -0.771064 
2453150.421963 -1.866305 
2453151.353261 -2.572951 
2453152.284559 -2.638146 
2453153.215857 -2.132337 
2453154.147155 -1.374376 
2453155.078453 -0.641865 
2453156.009750 -0.064977 
2453156.941048 0.323341 
2453157.872346 0.527508 
2453158.803644 0.558437 
2453159.734942 0.422072 
2453160.666240 0.117049 
2453161.597538 -0.361872 
2453162.528835 -1.011631 
2453163.460133 -1.790835 
2453164.391431 -2.564282 
2453165.322729 -3.059638 
2453166.254027 -2.973599 
2453167.185325 -2.253333 
2453168.116622 -1.166237 
2453169.047920 -0.030093 
2453169.979218 0.973867 
2453170.910516 1.783123 
2453171.841814 2.386824 
2453172.773112 2.784309 
2453173.704410 2.968126 
2453174.635707 2.920094 
2453175.567005 2.615262 
2453176.498303 2.034512 
2453177.429601 1.191751 
2453178.360899 0.184033 
2453179.292197 -0.750783 
2453180.223495 -1.273842 
2453181.154792 -1.195756 
2453182.086090 -0.673965 
2453183.017388 -0.025595 
2453183.948686 0.529237 
2453184.879984 0.906425 
2453185.811282 1.094649 
2453186.742580 1.105134 
2453187.673877 0.949011 
2453188.605175 0.630020 
2453189.536473 0.144413 
2453190.467771 -0.513230 
2453191.399069 -1.333307 
2453192.330367 -2.253153 
2453193.261664 -3.096912 
2453194.192962 -3.560655 
2453195.124260 -3.389278 
2453196.055558 -2.643737 
2453196.986856 -1.639950 
2453197.918154 -0.658976 
2453198.849452 0.166064 
2453199.780749 0.801572 
2453200.712047 1.252471 
2453201.643345 1.530105 
2453202.574643 1.639863 
2453203.505941 1.578006 
2453204.437239 1.334131 
2453205.368537 0.902093 
2453206.299834 0.308573 
2453207.231132 -0.332260 
2453208.162430 -0.772357 
2453209.093728 -0.726173 
2453210.025026 -0.146390 
2453210.956324 0.698429 
2453211.887621 1.491937 
2453212.818919 2.064130 
2453213.750217 2.374733 
2453214.681515 2.441942 
2453215.612813 2.296824 
2453216.544111 1.963944 
2453217.475409 1.455890 
2453218.406706 0.775096 
2453219.338004 -0.077045 
2453220.269302 -1.077253 
2453221.200600 -2.133244 
2453222.131898 -3.024538 
2453223.063196 -3.432832 
2453223.994494 -3.182072 
2453224.925791 -2.440760 
2453225.857089 -1.542613 
2453226.788387 -0.724370 
2453227.719685 -0.081121 
2453228.650983 0.370298 
2453229.582281 0.639139 
2453230.513578 0.736575 
2453231.444876 0.667438 
2453232.376174 0.429449 
2453233.307472 0.018409 
2453234.238770 -0.555959 
2453235.170068 -1.233211 
2453236.101366 -1.842792 
2453237.032663 -2.086166 
2453237.963961 -1.707408 
2453238.895259 -0.765018 
2453239.826557 0.415380 
2453240.757855 1.531145 
2453241.689153 2.424340 
2453242.620451 3.038658 
2453243.551748 3.362236 
2453244.483046 3.399474 
2453245.414344 3.161133 
2453246.345642 2.660607 
2453247.276940 1.913077 
2453248.208238 0.942091 
2453249.139536 -0.195654 
2453250.070833 -1.358097 
2453251.002131 -2.270862 
2453251.933429 -2.618825 
2453252.864727 -2.323415 
2453253.796025 -1.636386 
2453254.727323 -0.879111 
2453255.658620 -0.240097 
2453256.589918 0.216824 
2453257.521216 0.486166 
2453258.452514 0.578331 
2453259.383812 0.501874 
2453260.315110 0.258245 
2453261.246408 -0.157131 
2453262.177705 -0.746987 
2453263.109003 -1.490859 
2453264.040301 -2.299628 
2453264.971599 -2.956423 
2453265.902897 -3.142095 
2453266.834195 -2.670123 
2453267.765493 -1.698024 
2453268.696790 -0.558981 
2453269.628088 0.504410 
2453270.559386 1.390478 
2453271.490684 2.075192 
2453272.421982 2.558183 
2453273.353280 2.837208 
2453274.284577 2.899556 
2453275.215875 2.722448 
2453276.147173 2.281123 
2453277.078471 1.568857 
2453278.009769 0.637624 
2453278.941067 -0.340157 
2453279.872365 -1.050930 
2453280.803662 -1.206713 
2453281.734960 -0.824053 
2453282.666258 -0.192846 
2453283.597556 0.411937 
2453284.528854 0.858157 
2453285.460152 1.113802 
2453286.391450 1.185725 
2453287.322747 1.087060 
2453288.254045 0.825154 
2453289.185343 0.399120 
2453290.116641 -0.196947 
2453291.047939 -0.962678 
2453291.979237 -1.863425 
2453292.910535 -2.776723 
2453293.841832 -3.443273 
2453294.773130 -3.552358 
2453295.704428 -3.017959 
2453296.635726 -2.085789 
2453297.567024 -1.079333 
2453298.498322 -0.190966 
2453299.429619 0.513929 
2453300.360917 1.030154 
2453301.292215 1.368914 
2453302.223513 1.539088 
2453303.154811 1.541180 
2453304.086109 1.367566 
2453305.017407 1.009255 
2453305.948704 0.475809 
2453306.880002 -0.160689 
2453307.811300 -0.705996 
2453308.742598 -0.862493 
2453309.673896 -0.455014 
2453310.605194 0.354211 
2453311.536492 1.227584 
2453312.467789 1.925021 
2453313.399087 2.359844 
2453314.330385 2.533120 
2453315.261683 2.474839 
2453316.192981 2.214832 
2453317.124279 1.772253 
2453318.055576 1.154432 
2453318.986874 0.362484 
2453319.918172 -0.592600 
2453320.849470 -1.653565 
2453321.780768 -2.656987 
2453322.712066 -3.307521 
2453323.643364 -3.333015 
2453324.574661 -2.761082 
2453325.505959 -1.897384 
2453326.437257 -1.036168 
2453327.368555 -0.324565 
2453328.299853 0.196732 
2453329.231151 0.530555 
2453330.162449 0.688857 
2453331.093746 0.679417 
2453332.025044 0.502574 
2453332.956342 0.153805 
2453333.887640 -0.365730 
2453334.818938 -1.022255 
2453335.750236 -1.697016 
2453336.681533 -2.136206 
2453337.612831 -2.030409 
2453338.544129 -1.288954 
2453339.475427 -0.159856 
2453340.406725 1.017098 
2453341.338023 2.026262 
2453342.269321 2.778382 
2453343.200618 3.247220 
2453344.131916 3.429596 
2453345.063214 3.330559 
2453345.994512 2.959201 
2453346.925810 2.327540 
2453347.857108 1.453468 
2453348.788406 0.376227 
2453349.719703 -0.803160 
2453350.651001 -1.863443 
2453351.582299 -2.478273 
2453352.513597 -2.438395 
2453353.444895 -1.877897 
2453354.376193 -1.126834 
2453355.307491 -0.435730 
2453356.238788 0.088993 
2453357.170086 0.425072 
2453358.101384 0.579656 
2453359.032682 0.563127 
2453359.963980 0.379931 
2453360.895278 0.027384 
2453361.826575 -0.499655 
2453362.757873 -1.194139 
2453363.689171 -2.002190 
2453364.620469 -2.764365 
2453365.551767 -3.187367 
2453366.483065 -2.992408 
2453367.414363 -2.194293 
2453368.345660 -1.093382 
2453369.276958 0.012251 
2453370.208256 0.969544 
2453371.139554 1.731946 
2453372.070852 2.295051 
2453373.002150 2.660470 
2453373.933448 2.821524 
2453374.864745 2.760054 
2453375.796043 2.450587 
2453376.727341 1.874126 
2453377.658639 1.049228 
2453378.589937 0.087971 
2453379.521235 -0.750676 
2453380.452532 -1.135194 
2453381.383830 -0.936550 
2453382.315128 -0.363686 
2453383.246426 0.273821 
2453384.177724 0.786902 
2453385.109022 1.112721 
2453386.040320 1.248888 
2453386.971617 1.208962 
2453387.902915 1.003742 
2453388.834213 0.635849 
2453389.765511 0.100751 
2453390.696809 -0.605874 
2453391.628107 -1.468301 
2453392.559405 -2.407687 
2453393.490702 -3.221833 
2453394.422000 -3.595414 
2453395.353298 -3.316715 
2453396.284596 -2.512171 
2453397.215894 -1.511521 
2453398.147192 -0.569592 
2453399.078489 0.204463 
2453400.009787 0.788085 
2453400.941085 1.189274 
2453401.872383 1.419285 
2453402.803681 1.482657 
2453403.734979 1.375273 
2453404.666277 1.088110 
2453405.597574 0.620607 
2453406.528872 0.013670 
2453407.460170 -0.592548 
2453408.391468 -0.927007 
2453409.322766 -0.727013 
2453410.254064 -0.015176 
2453411.185362 0.900195 
2453412.116659 1.715439 
2453413.047957 2.283420 
2453413.979255 2.576368 
2453414.910553 2.617192 
2453415.841851 2.438735 
2453416.773149 2.066524 
2453417.704447 1.513963 
2453418.635744 0.784813 
2453419.567042 -0.115960 
2453420.498340 -1.155412 
2453421.429638 -2.220579 
2453422.360936 -3.064489 
2453423.292234 -3.371498 
2453424.223531 -3.024163 
2453425.154829 -2.245324 
2453426.086127 -1.364934 
2453427.017425 -0.591050 
2453427.948723 0.000946 
2453428.880021 0.401924 
2453429.811319 0.622538 
2453430.742616 0.672997 
2453431.673914 0.556626 
2453432.605212 0.270168 
2453433.536510 -0.189556 
2453434.467808 -0.806732 
2453435.399106 -1.504717 
2453436.330404 -2.086078 
2453437.261701 -2.238709 
2453438.192999 -1.746877 
2453439.124297 -0.733417 
2453440.055595 0.462399 
2453440.986893 1.565687 
2453441.918191 2.444110 
2453442.849488 3.052319 
2453443.780786 3.378913 
2453444.712084 3.423268 
2453445.643382 3.189262 
2453446.574680 2.684442 
2453447.505978 1.921599 
2453448.437276 0.927883 
2453449.368573 -0.226631 
2453450.299871 -1.373989 
2453451.231169 -2.215319 
2453452.162467 -2.454404 
2453453.093765 -2.078477 
2453454.025063 -1.375552 
2453454.956361 -0.649333 
2453455.887658 -0.060203 
2453456.818956 0.343711 
2453457.750254 0.562194 
2453458.681552 0.606073 
2453459.612850 0.482630 
2453460.544148 0.191808 
2453461.475445 -0.271643 
2453462.406743 -0.908487 
2453463.338041 -1.689896 
2453464.269339 -2.507101 
2453465.200637 -3.116935 
2453466.131935 -3.201412 
2453467.063233 -2.631299 
2453467.994530 -1.619684 
2453468.925828 -0.497169 
2453469.857126 0.522950 
2453470.788424 1.360167 
2453471.719722 1.999879 
2453472.651020 2.445086 
2453473.582318 2.694733 
2453474.513615 2.736594 
2453475.444913 2.548007 
2453476.376211 2.104517 
2453477.307509 1.402270 
2453478.238807 0.503917 
2453479.170105 -0.397456 
2453480.101403 -0.978916 
2453481.032700 -0.994377 
2453481.963998 -0.526952 
2453482.895296 0.117442 
2453483.826594 0.691320 
2453484.757892 1.089474 
2453485.689190 1.293363 
2453486.620487 1.314381 
2453487.551785 1.166227 
2453488.483083 0.855389 
2453489.414381 0.379984 
2453490.345679 -0.265783 
2453491.276977 -1.077971 
2453492.208275 -2.010436 
2453493.139572 -2.917437 
2453494.070870 -3.516884 
2453495.002168 -3.516973 
2453495.933466 -2.898453 
2453496.864764 -1.946177 
2453497.796062 -0.967690 
2453498.727360 -0.127372 
2453499.658657 0.525384 
2453500.589955 0.990937 
2453501.521253 1.281237 
2453502.452551 1.404361 
2453503.383849 1.360012 
2453504.315147 1.140900 
2453505.246444 0.741344 
2453506.177742 0.180860 
2453507.109040 -0.447080 
2453508.040338 -0.919859 
2453508.971636 -0.938410 
2453509.902934 -0.384302 
2453510.834232 0.520078 
2453511.765529 1.432785 
2453512.696827 2.136863 
2453513.628125 2.562033 
2453514.559423 2.715725 
2453515.490721 2.629901 
2453516.422019 2.335279 
2453517.353317 1.851813 
2453518.284614 1.187949 
2453519.215912 0.347299 
2453520.147210 -0.652427 
2453521.078508 -1.738056 
2453522.009806 -2.719687 
2453522.941104 -3.286817 
2453523.872401 -3.204978 
2453524.803699 -2.568867 
2453525.734997 -1.703778 
2453526.666295 -0.879373 
2453527.597593 -0.217751 
2453528.528891 0.252357 
2453529.460189 0.537114 
2453530.391486 0.648160 
2453531.322784 0.591833 
2453532.254082 0.367139 
2453533.185380 -0.030516 
2453534.116678 -0.596498 
2453535.047976 -1.285625 
2453535.979274 -1.955733 
2453536.910571 -2.328945 
2453537.841869 -2.111773 
2453538.773167 -1.278254 
2453539.704465 -0.115511 
2453540.635763 1.053573 
2453541.567061 2.043438 
2453542.498359 2.782132 
2453543.429656 3.248213 
2453544.360954 3.435929 
2453545.292252 3.344144 
2453546.223550 2.975099 
2453547.154848 2.336028 
2453548.086146 1.444824 
2453549.017443 0.349007 
2453549.948741 -0.829675 
2453550.880039 -1.841129 
2453551.811337 -2.354893 
2453552.742635 -2.214600 
2453553.673933 -1.611586 
2453554.605231 -0.876228 
2453555.536528 -0.230139 
2453556.467826 0.241620 
2453557.399124 0.525585 
2453558.330422 0.630797 
2453559.261720 0.566828 
2453560.193018 0.336597 
2453561.124316 -0.063740 
2453562.055613 -0.638752 
2453562.986911 -1.376235 
2453563.918209 -2.207680 
2453564.849507 -2.947924 
2453565.780805 -3.287784 
2453566.712103 -2.984374 
2453567.643400 -2.119884 
2453568.574698 -1.016016 
2453569.505996 0.053589 
2453570.437294 0.962027 
2453571.368592 1.676206 
2453572.299890 2.196775 
2453573.231188 2.527031 
2453574.162485 2.661003 
2453575.093783 2.581025 
2453576.025081 2.262255 
2453576.956379 1.687811 
2453577.887677 0.883714 
2453578.818975 -0.020420 
2453579.750273 -0.747077 
2453580.681570 -0.983721 
2453581.612868 -0.668391 
2453582.544166 -0.052258 
2453583.475464 0.570586 
2453584.406762 1.041739 
2453585.338060 1.317288 
2453586.269358 1.402449 
2453587.200655 1.312683 
2453588.131953 1.058428 
2453589.063251 0.641320 
2453589.994549 0.056348 
2453590.925847 -0.699022 
2453591.857145 -1.601430 
2453592.788442 -2.553528 
2453593.719740 -3.326552 
2453594.651038 -3.601772 
2453595.582336 -3.220670 
2453596.513634 -2.369474 
2453597.444932 -1.380853 
2453598.376230 -0.481448 
2453599.307527 0.241093 
2453600.238825 0.773242 
2453601.170123 1.125124 
2453602.101421 1.307513 
2453603.032719 1.323931 
2453603.964017 1.169868 
2453604.895315 0.837946 
2453605.826612 0.334124 
2453606.757910 -0.284472 
2453607.689208 -0.850047 
2453608.620506 -1.072909 
2453609.551804 -0.723739 
2453610.483102 0.105782 
2453611.414399 1.080210 
2453612.345697 1.913989 
2453613.276995 2.480509 
2453614.208293 2.761054 
2453615.139591 2.780929 
2453616.070889 2.573573 
2453617.002187 2.165098 
