# time model 
2455007.429878 -0.000020 
2455009.095720 0.000035 
2455010.761563 0.000077 
2455012.427406 0.000124 
2455014.093248 0.000061 
2455015.759091 -0.000017 
2455017.424934 0.000051 
2455019.090776 0.000111 
2455020.756619 -0.000010 
2455022.422462 -0.000119 
2455024.088304 -0.000073 
2455025.754147 -0.000105 
2455027.419989 -0.000312 
2455029.085832 -0.000389 
2455030.751675 -0.000221 
2455032.417517 -0.000079 
2455034.083360 -0.000059 
2455035.749203 0.000009 
2455037.415045 0.000074 
2455039.080888 -0.000012 
2455040.746730 -0.000092 
2455042.412573 -0.000006 
2455044.078416 0.000055 
2455045.744258 -0.000030 
2455047.410101 -0.000065 
2455049.075944 -0.000009 
2455050.741786 -0.000083 
2455052.407629 -0.000253 
2455054.073472 -0.000272 
2455055.739314 -0.000180 
2455057.405157 -0.000174 
2455059.070999 -0.000186 
2455060.736842 -0.000112 
2455062.402685 -0.000076 
2455064.068527 -0.000137 
2455065.734370 -0.000166 
2455067.400213 -0.000134 
2455069.066055 -0.000094 
2455070.731898 -0.000012 
2455072.397741 0.000060 
2455074.063583 -0.000008 
2455075.729426 -0.000078 
2455077.395268 0.000037 
2455079.061111 0.000108 
2455080.726954 -0.000085 
2455082.392796 -0.000254 
2455084.058639 -0.000187 
2455085.724482 -0.000157 
2455087.390324 -0.000243 
2455089.056167 -0.000186 
2455090.722010 -0.000119 
2455092.387852 -0.000270 
2455094.053695 -0.000248 
2455095.719537 0.000116 
2455097.385380 0.000120 
2455099.051223 -0.000337 
2455100.717065 -0.000249 
2455102.382908 0.000441 
2455104.048751 0.000492 
2455105.714593 -0.000139 
2455107.380436 -0.000191 
2455109.046279 0.000278 
2455110.712121 0.000198 
2455112.377964 -0.000105 
2455114.043806 0.000144 
2455115.709649 0.000245 
2455117.375492 -0.000195 
2455119.041334 -0.000091 
2455120.707177 0.000409 
2455122.373020 -0.000268 
2455124.038862 -0.001429 
2455125.704705 -0.000924 
2455127.370547 0.000314 
2455129.036390 -0.000059 
2455130.702233 -0.000852 
2455132.368075 0.000194 
2455134.033918 0.001640 
2455135.699761 0.001455 
2455137.365603 0.000961 
2455139.031446 0.001284 
2455140.697289 0.001089 
2455142.363131 0.000500 
2455144.028974 0.000953 
2455145.694816 0.000807 
2455147.360659 -0.001743 
2455149.026502 -0.003685 
2455150.692344 -0.002560 
2455152.358187 -0.001769 
2455154.024030 -0.003330 
2455155.689872 -0.003024 
2455157.355715 0.000975 
2455159.021558 0.004054 
2455160.687400 0.004022 
2455162.353243 0.003677 
2455164.019085 0.003487 
2455165.684928 0.002279 
2455167.350771 0.002252 
2455169.016613 0.003505 
2455170.682456 0.001005 
2455172.348299 -0.004900 
2455174.014141 -0.006987 
2455175.679984 -0.005501 
2455177.345827 -0.007747 
2455179.011669 -0.011377 
2455180.677512 -0.007381 
2455182.343354 0.001780 
2455184.009197 0.006730 
2455185.675040 0.007581 
2455187.340882 0.008181 
2455189.006725 0.006215 
2455190.672568 0.003004 
