# time model 
2455007.429878 0.000040 
2455008.361176 0.000086 
2455009.292474 0.000092 
2455010.223771 0.000092 
2455011.155069 0.000088 
2455012.086367 0.000055 
2455013.017665 -0.000026 
2455013.948963 -0.000141 
2455014.880261 -0.000245 
2455015.811558 -0.000297 
2455016.742856 -0.000296 
2455017.674154 -0.000290 
2455018.605452 -0.000336 
2455019.536750 -0.000460 
2455020.468048 -0.000628 
2455021.399346 -0.000769 
2455022.330643 -0.000835 
2455023.261941 -0.000833 
2455024.193239 -0.000823 
2455025.124537 -0.000864 
2455026.055835 -0.000963 
2455026.987133 -0.001062 
2455027.918431 -0.001078 
2455028.849728 -0.000966 
2455029.781026 -0.000756 
2455030.712324 -0.000528 
2455031.643622 -0.000362 
2455032.574920 -0.000281 
2455033.506218 -0.000254 
2455034.437515 -0.000229 
2455035.368813 -0.000189 
2455036.300111 -0.000160 
2455037.231409 -0.000183 
2455038.162707 -0.000270 
2455039.094005 -0.000381 
2455040.025303 -0.000456 
2455040.956600 -0.000460 
2455041.887898 -0.000413 
2455042.819196 -0.000379 
2455043.750494 -0.000411 
2455044.681792 -0.000510 
2455045.613090 -0.000627 
2455046.544388 -0.000707 
2455047.475685 -0.000734 
2455048.406983 -0.000743 
2455049.338281 -0.000789 
2455050.269579 -0.000895 
2455051.200877 -0.001026 
2455052.132175 -0.001115 
2455053.063472 -0.001114 
2455053.994770 -0.001030 
2455054.926068 -0.000915 
2455055.857366 -0.000829 
2455056.788664 -0.000792 
2455057.719962 -0.000777 
2455058.651260 -0.000743 
2455059.582557 -0.000677 
2455060.513855 -0.000600 
2455061.445153 -0.000551 
2455062.376451 -0.000550 
2455063.307749 -0.000579 
2455064.239047 -0.000598 
2455065.170345 -0.000580 
2455066.101642 -0.000526 
2455067.032940 -0.000458 
2455067.964238 -0.000396 
2455068.895536 -0.000339 
2455069.826834 -0.000281 
2455070.758132 -0.000229 
2455071.689430 -0.000210 
2455072.620727 -0.000249 
2455073.552025 -0.000342 
2455074.483323 -0.000441 
2455075.414621 -0.000489 
2455076.345919 -0.000467 
2455077.277217 -0.000420 
2455078.208514 -0.000429 
2455079.139812 -0.000544 
2455080.071110 -0.000740 
2455081.002408 -0.000927 
2455081.933706 -0.001012 
2455082.865004 -0.000973 
2455083.796302 -0.000869 
2455084.727599 -0.000789 
2455085.658897 -0.000773 
2455086.590195 -0.000788 
2455087.521493 -0.000761 
2455088.452791 -0.000659 
2455089.384089 -0.000528 
2455090.315387 -0.000446 
2455091.246684 -0.000445 
2455092.177982 -0.000463 
2455093.109280 -0.000389 
2455094.040578 -0.000166 
2455094.971876 0.000129 
2455095.903174 0.000322 
2455096.834471 0.000281 
2455097.765769 0.000048 
2455098.697067 -0.000166 
2455099.628365 -0.000124 
2455100.559663 0.000237 
2455101.490961 0.000731 
2455102.422259 0.001036 
2455103.353556 0.000933 
2455104.284854 0.000480 
2455105.216152 -0.000022 
2455106.147450 -0.000250 
2455107.078748 -0.000102 
2455108.010046 0.000236 
2455108.941344 0.000454 
2455109.872641 0.000370 
2455110.803939 0.000068 
2455111.735237 -0.000193 
2455112.666535 -0.000224 
2455113.597833 -0.000070 
2455114.529131 0.000034 
2455115.460428 -0.000107 
