# time model 
2453115.032645 1.786664 
2453115.963943 1.821592 
2453116.895241 1.660924 
2453117.826539 1.306747 
2453118.757836 0.756268 
2453119.689134 0.014123 
2453120.620432 -0.877547 
2453121.551730 -1.781912 
2453122.483028 -2.417271 
2453123.414326 -2.459585 
2453124.345624 -1.850086 
2453125.276921 -0.886515 
2453126.208219 0.081087 
2453127.139517 0.864405 
2453128.070815 1.411343 
2453129.002113 1.727730 
2453129.933411 1.832003 
2453130.864708 1.737971 
2453131.796006 1.450580 
2453132.727304 0.967884 
2453133.658602 0.289731 
2453134.589900 -0.559674 
2453135.521198 -1.483884 
2453136.452496 -2.251384 
2453137.383793 -2.524469 
2453138.315091 -2.119579 
2453139.246389 -1.233483 
2453140.177687 -0.236811 
2453141.108985 0.620845 
2453142.040283 1.250046 
2453142.971581 1.643747 
2453143.902878 1.819029 
2453144.834176 1.792201 
2453145.765474 1.571298 
2453146.696772 1.156186 
2453147.628070 0.544479 
2453148.559368 -0.251903 
2453149.490665 -1.168584 
2453150.421963 -2.025704 
2453151.353261 -2.505063 
2453152.284559 -2.330563 
2453153.215857 -1.568831 
2453154.147155 -0.572653 
2453155.078453 0.349578 
2453156.009750 1.060709 
2453156.941048 1.533939 
2453157.872346 1.782215 
2453158.803644 1.823540 
2453159.734942 1.669063 
2453160.666240 1.321122 
2453161.597538 0.776953 
2453162.528835 0.040615 
2453163.460133 -0.847695 
2453164.391431 -1.755246 
2453165.322729 -2.404720 
2453166.254027 -2.469145 
2453167.185325 -1.877221 
2453168.116622 -0.918950 
2453169.047920 0.052393 
2453169.979218 0.842919 
2453170.910516 1.397490 
2453171.841814 1.720979 
2453172.773112 1.831788 
2453173.704410 1.743985 
2453174.635707 1.462795 
2453175.567005 0.986406 
2453176.498303 0.314363 
2453177.429601 -0.530494 
2453178.360899 -1.455055 
2453179.292197 -2.232670 
2453180.223495 -2.526218 
2453181.154792 -2.141937 
2453182.086090 -1.265422 
2453183.017388 -0.267424 
2453183.948686 0.596735 
2453184.879984 1.233607 
2453185.811282 1.634624 
2453186.742580 1.816615 
2453187.673877 1.796088 
2453188.605175 1.581369 
2453189.536473 1.172531 
2453190.467771 0.567084 
2453191.399069 -0.223954 
2453192.330367 -1.138777 
2453193.261664 -2.002173 
2453194.192962 -2.499033 
2453195.124260 -2.346707 
2453196.055558 -1.598939 
2453196.986856 -0.604597 
2453197.918154 0.322959 
2453198.849452 1.041632 
2453199.780749 1.522370 
2453200.712047 1.777553 
2453201.643345 1.825287 
2453202.574643 1.677003 
2453203.505941 1.335295 
2453204.437239 0.797437 
2453205.368537 0.066942 
2453206.299834 -0.817877 
2453207.231132 -1.728323 
2453208.162430 -2.391545 
2453209.093728 -2.477993 
2453210.025026 -1.903976 
2453210.956324 -0.951389 
2453211.887621 0.023501 
2453212.818919 0.821187 
2453213.750217 1.383398 
2453214.681515 1.714009 
2453215.612813 1.831371 
2453216.544111 1.749801 
2453217.475409 1.474810 
2453218.406706 1.004725 
2453219.338004 0.338811 
2453220.269302 -0.501408 
2453221.200600 -1.426087 
2453222.131898 -2.213448 
2453223.063196 -2.527232 
2453223.994494 -2.163773 
2453224.925791 -1.297251 
2453225.857089 -0.298189 
2453226.788387 0.572385 
2453227.719685 1.216924 
2453228.650983 1.625277 
2453229.582281 1.813994 
2453230.513578 1.799776 
2453231.444876 1.591241 
2453232.376174 1.188674 
2453233.307472 0.589494 
2453234.238770 -0.196141 
2453235.170068 -1.108932 
2453236.101366 -1.978265 
2453237.032663 -2.492302 
2453237.963961 -2.362210 
2453238.895259 -1.628802 
2453239.826557 -0.636627 
2453240.757855 0.296117 
2453241.689153 1.022308 
2453242.620451 1.510569 
2453243.551748 1.772680 
2453244.483046 1.826834 
2453245.414344 1.684746 
2453246.345642 1.349267 
2453247.276940 0.817721 
2453248.208238 0.093104 
2453249.139536 -0.788099 
2453250.070833 -1.701155 
2453251.002131 -2.377755 
2453251.933429 -2.486126 
2453252.864727 -1.930339 
2453253.796025 -0.983822 
2453254.727323 -0.005585 
2453255.658620 0.799208 
2453256.589918 1.369068 
2453257.521216 1.706821 
2453258.452514 1.830749 
2453259.383812 1.755419 
2453260.315110 1.486624 
2453261.246408 1.022843 
2453262.177705 0.363075 
2453263.109003 -0.472420 
2453264.040301 -1.396992 
2453264.971599 -2.193729 
2453265.902897 -2.527511 
2453266.834195 -2.185075 
2453267.765493 -1.328958 
2453268.696790 -0.329102 
2453269.628088 0.547796 
2453270.559386 1.199997 
2453271.490684 1.615704 
2453272.421982 1.811166 
2453273.353280 1.803266 
2453274.284577 1.600915 
2453275.215875 1.204614 
2453276.147173 0.611709 
2453277.078471 -0.168469 
2453278.009769 -1.079057 
2453278.941067 -1.953994 
2453279.872365 -2.484877 
2453280.803662 -2.377063 
2453281.734960 -1.658404 
2453282.666258 -0.668734 
2453283.597556 0.269053 
2453284.528854 1.002737 
2453285.460152 1.498536 
2453286.391450 1.767594 
2453287.322747 1.828180 
2453288.254045 1.692290 
2453289.185343 1.363036 
2453290.116641 0.837805 
2453291.047939 0.119098 
2453291.979237 -0.758368 
2453292.910535 -1.673754 
2453293.841832 -2.363359 
2453294.773130 -2.493538 
2453295.704428 -1.956296 
2453296.635726 -1.016239 
2453297.567024 -0.034862 
2453298.498322 0.776983 
2453299.429619 1.354499 
2453300.360917 1.699415 
2453301.292215 1.829925 
2453302.223513 1.760839 
2453303.154811 1.498239 
2453304.086109 1.040757 
2453305.017407 0.387154 
2453305.948704 -0.443535 
2453306.880002 -1.367779 
2453307.811300 -2.173527 
2453308.742598 -2.527056 
2453309.673896 -2.205830 
2453310.605194 -1.360530 
2453311.536492 -0.360156 
2453312.467789 0.522970 
2453313.399087 1.182826 
2453314.330385 1.605906 
2453315.261683 1.808130 
2453316.192981 1.806557 
2453317.124279 1.610390 
2453318.055576 1.220351 
2453318.986874 0.633729 
2453319.918172 -0.140940 
2453320.849470 -1.049159 
2453321.780768 -1.929372 
2453322.712066 -2.476764 
2453323.643364 -2.391257 
2453324.574661 -1.687734 
2453325.505959 -0.700912 
2453326.437257 0.241769 
2453327.368555 0.982918 
2453328.299853 1.486270 
2453329.231151 1.762294 
2453330.162449 1.829326 
2453331.093746 1.699637 
2453332.025044 1.376605 
2453332.956342 0.857687 
2453333.887640 0.144922 
2453334.818938 -0.728689 
2453335.750236 -1.646130 
2453336.681533 -2.348369 
2453337.612831 -2.500226 
2453338.544129 -1.981832 
2453339.475427 -1.048630 
2453340.406725 -0.064325 
2453341.338023 0.754512 
2453342.269321 1.339690 
2453343.200618 1.691788 
2453344.131916 1.828896 
2453345.063214 1.766061 
2453345.994512 1.509653 
2453346.925810 1.058469 
2453347.857108 0.411046 
2453348.788406 -0.414758 
2453349.719703 -1.338458 
2453350.651001 -2.152852 
2453351.582299 -2.525869 
2453352.513597 -2.226027 
2453353.444895 -1.391956 
2453354.376193 -0.391346 
2453355.307491 0.497906 
2453356.238788 1.165409 
2453357.170086 1.595881 
2453358.101384 1.804886 
2453359.032682 1.809650 
2453359.963980 1.619666 
2453360.895278 1.235886 
2453361.826575 0.655552 
2453362.757873 -0.113557 
2453363.689171 -1.019248 
2453364.620469 -1.904412 
2453365.551767 -2.467969 
2453366.483065 -2.404784 
2453367.414363 -1.716778 
2453368.345660 -0.733152 
2453369.276958 0.214269 
2453370.208256 0.962852 
2453371.139554 1.473770 
2453372.070852 1.756780 
2453373.002150 1.830270 
2453373.933448 1.706786 
2453374.864745 1.389972 
2453375.796043 0.877368 
2453376.727341 0.170574 
2453377.658639 -0.699068 
2453378.589937 -1.618297 
2453379.521235 -2.332795 
2453380.452532 -2.506186 
2453381.383830 -2.006935 
2453382.315128 -1.080986 
2453383.246426 -0.093972 
2453384.177724 0.731797 
2453385.109022 1.324641 
2453386.040320 1.683941 
2453386.971617 1.827663 
2453387.902915 1.771086 
2453388.834213 1.520868 
2453389.765511 1.075978 
2453390.696809 0.434749 
2453391.628107 -0.386092 
2453392.559405 -1.309039 
2453393.490702 -2.131718 
2453394.422000 -2.523954 
2453395.353298 -2.245653 
2453396.284596 -1.423223 
2453397.215894 -0.422666 
2453398.147192 0.472608 
2453399.078489 1.147747 
2453400.009787 1.585629 
2453400.941085 1.801433 
2453401.872383 1.812543 
2453402.803681 1.628744 
2453403.734979 1.251219 
2453404.666277 0.677177 
2453405.597574 -0.086323 
2453406.528872 -0.989329 
2453407.460170 -1.879125 
2453408.391468 -2.458501 
2453409.322766 -2.417637 
2453410.254064 -1.745521 
2453411.185362 -0.765446 
2453412.116659 0.186553 
2453413.047957 0.942538 
2453413.979255 1.461036 
2453414.910553 1.751053 
2453415.841851 1.831013 
2453416.773149 1.713737 
2453417.704447 1.403138 
2453418.635744 0.896848 
2453419.567042 0.196052 
2453420.498340 -0.669511 
2453421.429638 -1.590264 
2453422.360936 -2.316646 
2453423.292234 -2.511416 
2453424.223531 -2.031591 
2453425.154829 -1.113294 
2453426.086127 -0.123798 
2453427.017425 0.708836 
2453427.948723 1.309350 
2453428.880021 1.675874 
2453429.811319 1.826225 
2453430.742616 1.775912 
2453431.673914 1.531884 
2453432.605212 1.093284 
