# time model 
2453115.032645 0.849398 
2453115.963943 0.624158 
2453116.895241 0.390203 
2453117.826539 0.155033 
2453118.757836 -0.075028 
2453119.689134 -0.294764 
2453120.620432 -0.499925 
2453121.551730 -0.687059 
2453122.483028 -0.853341 
2453123.414326 -0.996422 
2453124.345624 -1.114302 
2453125.276921 -1.205227 
2453126.208219 -1.267620 
2453127.139517 -1.300042 
2453128.070815 -1.301182 
2453129.002113 -1.269891 
2453129.933411 -1.205250 
2453130.864708 -1.106694 
2453131.796006 -0.974194 
2453132.727304 -0.808488 
2453133.658602 -0.611385 
2453134.589900 -0.386103 
2453135.521198 -0.137614 
2453136.452496 0.127079 
2453137.383793 0.398820 
2453138.315091 0.666474 
2453139.246389 0.917472 
2453140.177687 1.138787 
2453141.108985 1.318240 
2453142.040283 1.445912 
2453142.971581 1.515350 
2453143.902878 1.524255 
2453144.834176 1.474502 
2453145.765474 1.371543 
2453146.696772 1.223392 
2453147.628070 1.039482 
2453148.559368 0.829634 
2453149.490665 0.603268 
2453150.421963 0.368913 
2453151.353261 0.133962 
2453152.284559 -0.095365 
2453153.215857 -0.313946 
2453154.147155 -0.517611 
2453155.078453 -0.702970 
2453156.009750 -0.867247 
2453156.941048 -1.008130 
2453157.872346 -1.123645 
2453158.803644 -1.212056 
2453159.734942 -1.271800 
2453160.666240 -1.301448 
2453161.597538 -1.299704 
2453162.528835 -1.265435 
2453163.460133 -1.197747 
2453164.391431 -1.096119 
2453165.322729 -0.960575 
2453166.254027 -0.791941 
2453167.185325 -0.592137 
2453168.116622 -0.364527 
2453169.047920 -0.114255 
2453169.979218 0.151482 
2453170.910516 0.423338 
2453171.841814 0.690019 
2453172.773112 0.938869 
2453173.704410 1.156880 
2453174.635707 1.332020 
2453175.567005 1.454640 
2453176.498303 1.518642 
2453177.429601 1.522113 
2453178.360899 1.467285 
2453179.292197 1.359887 
2453180.223495 1.208106 
2453181.154792 1.021452 
2453182.086090 0.809735 
2453183.017388 0.582314 
2453183.948686 0.347619 
2453184.879984 0.112938 
2453185.811282 -0.115614 
2453186.742580 -0.333007 
2453187.673877 -0.535147 
2453188.605175 -0.718708 
2453189.536473 -0.880962 
2453190.467771 -1.019631 
2453191.399069 -1.132767 
2453192.330367 -1.218651 
2453193.261664 -1.275734 
2453194.192962 -1.302599 
2453195.124260 -1.297961 
2453196.055558 -1.260706 
2453196.986856 -1.189968 
2453197.918154 -1.085265 
2453198.849452 -0.946686 
2453199.780749 -0.775139 
2453200.712047 -0.572662 
2453201.643345 -0.342764 
2453202.574643 -0.090768 
2453203.505941 0.175937 
2453204.437239 0.447815 
2453205.368537 0.713420 
2453206.299834 0.960015 
2453207.231132 1.174622 
2453208.162430 1.345370 
2453209.093728 1.462886 
2453210.025026 1.521436 
2453210.956324 1.519493 
2453211.887621 1.459638 
2453212.818919 1.347867 
2453213.750217 1.192535 
2453214.681515 1.003217 
2453215.612813 0.789710 
2453216.544111 0.561301 
2453217.475409 0.326326 
2453218.406706 0.091964 
2453219.338004 -0.135772 
2453220.269302 -0.351942 
2453221.200600 -0.552532 
2453222.131898 -0.734273 
2453223.063196 -0.894485 
2453223.994494 -1.030924 
2453224.925791 -1.141666 
2453225.857089 -1.225011 
2453226.788387 -1.279421 
2453227.719685 -1.303492 
2453228.650983 -1.295951 
2453229.582281 -1.255703 
2453230.513578 -1.181911 
2453231.444876 -1.074136 
2453232.376174 -0.932527 
2453233.307472 -0.758084 
2453234.238770 -0.552961 
2453235.170068 -0.320820 
2453236.101366 -0.067160 
2453237.032663 0.200435 
2453237.963961 0.472242 
2453238.895259 0.736665 
2453239.826557 0.980898 
2453240.757855 1.192005 
2453241.689153 1.358283 
2453242.620451 1.470649 
2453243.551748 1.523735 
2453244.483046 1.516398 
2453245.414344 1.451565 
2453246.345642 1.335492 
2453247.276940 1.176688 
2453248.208238 0.984786 
2453249.139536 0.769563 
2453250.070833 0.540236 
2453251.002131 0.305038 
2453251.933429 0.071045 
2453252.864727 -0.155834 
2453253.796025 -0.370750 
2453254.727323 -0.569762 
2453255.658620 -0.749661 
2453256.589918 -0.907813 
2453257.521216 -1.042007 
2453258.452514 -1.150342 
2453259.383812 -1.231134 
2453260.315110 -1.282861 
2453261.246408 -1.304127 
2453262.177705 -1.293675 
2453263.109003 -1.250427 
2453264.040301 -1.173577 
2453264.971599 -1.062729 
2453265.902897 -0.918100 
2453266.834195 -0.740777 
2453267.765493 -0.533039 
2453268.696790 -0.298699 
2453269.628088 -0.043437 
2453270.559386 0.224969 
2453271.490684 0.496609 
2453272.421982 0.759746 
2453273.353280 1.001511 
2453274.284577 1.209021 
2453275.215875 1.370753 
2453276.147173 1.477926 
2453277.078471 1.525538 
2453278.009769 1.512833 
2453278.941067 1.443074 
2453279.872365 1.322767 
2453280.803662 1.160570 
2453281.734960 0.966165 
2453282.666258 0.749302 
2453283.597556 0.519123 
2453284.528854 0.283762 
2453285.460152 0.050185 
2453286.391450 -0.175798 
2453287.322747 -0.389428 
2453288.254045 -0.586836 
2453289.185343 -0.764872 
2453290.116641 -0.920946 
2453291.047939 -1.052879 
2453291.979237 -1.158793 
2453292.910535 -1.237021 
2453293.841832 -1.286052 
2453294.773130 -1.304504 
2453295.704428 -1.291131 
2453296.635726 -1.244877 
2453297.567024 -1.164965 
2453298.498322 -1.051047 
2453299.429619 -0.903405 
2453300.360917 -0.723222 
