# time model 
2453115.032645 2.636062 
2453115.963943 2.445751 
2453116.895241 2.051127 
2453117.826539 1.461780 
2453118.757836 0.681241 
2453119.689134 -0.280641 
2453120.620432 -1.377472 
2453121.551730 -2.468971 
2453122.483028 -3.270612 
2453123.414326 -3.456007 
2453124.345624 -2.964388 
2453125.276921 -2.091742 
2453126.208219 -1.186533 
2453127.139517 -0.435637 
2453128.070815 0.110161 
2453129.002113 0.457840 
2453129.933411 0.626754 
2453130.864708 0.631276 
2453131.796006 0.476386 
2453132.727304 0.159396 
2453133.658602 -0.321653 
2453134.589900 -0.945777 
2453135.521198 -1.621498 
2453136.452496 -2.124305 
2453137.383793 -2.125649 
2453138.315091 -1.453106 
2453139.246389 -0.316011 
2453140.177687 0.901976 
2453141.108985 1.939084 
2453142.040283 2.695958 
2453142.971581 3.159097 
2453143.902878 3.343284 
2453144.834176 3.266703 
2453145.765474 2.942841 
2453146.696772 2.379578 
2453147.628070 1.583961 
2453148.559368 0.577731 
2453149.490665 -0.565315 
2453150.421963 -1.656792 
2453151.353261 -2.371101 
2453152.284559 -2.425928 
2453153.215857 -1.882777 
2453154.147155 -1.090265 
2453155.078453 -0.353392 
2453156.009750 0.193462 
2453156.941048 0.525809 
2453157.872346 0.658570 
2453158.803644 0.611484 
2453159.734942 0.397263 
2453160.666240 0.019674 
2453161.597538 -0.522752 
2453162.528835 -1.224820 
2453163.460133 -2.045443 
2453164.391431 -2.851364 
2453165.322729 -3.365296 
2453166.254027 -3.261086 
2453167.185325 -2.469358 
2453168.116622 -1.283477 
2453169.047920 -0.061862 
2453169.979218 0.994401 
2453170.910516 1.820828 
2453171.841814 2.410998 
2453172.773112 2.770658 
2453173.704410 2.900865 
2453174.635707 2.794815 
2453175.567005 2.441045 
2453176.498303 1.833004 
2453177.429601 0.991619 
2453178.360899 0.012231 
2453179.292197 -0.872783 
2453180.223495 -1.318113 
2453181.154792 -1.120486 
2453182.086090 -0.455687 
2453183.017388 0.314890 
2453183.948686 0.944354 
2453184.879984 1.346545 
2453185.811282 1.519010 
2453186.742580 1.483608 
2453187.673877 1.260941 
2453188.605175 0.862661 
2453189.536473 0.291569 
2453190.467771 -0.452548 
2453191.399069 -1.356720 
2453192.330367 -2.357427 
2453193.261664 -3.277906 
2453194.192962 -3.801632 
2453195.124260 -3.644667 
2453196.055558 -2.859645 
2453196.986856 -1.794565 
2453197.918154 -0.762306 
2453198.849452 0.094946 
2453199.780749 0.747231 
2453200.712047 1.204892 
2453201.643345 1.482523 
2453202.574643 1.586235 
2453203.505941 1.511232 
2453204.437239 1.245252 
2453205.368537 0.780362 
2453206.299834 0.142137 
2453207.231132 -0.553700 
2453208.162430 -1.046176 
2453209.093728 -1.015107 
2453210.025026 -0.382540 
2453210.956324 0.568104 
2453211.887621 1.483139 
2453212.818919 2.169054 
2453213.750217 2.575934 
2453214.681515 2.717226 
2453215.612813 2.621080 
2453216.544111 2.311102 
2453217.475409 1.801135 
2453218.406706 1.096689 
2453219.338004 0.203040 
2453220.269302 -0.853350 
2453221.200600 -1.978619 
2453222.131898 -2.947720 
2453223.063196 -3.421717 
2453223.994494 -3.194697 
2453224.925791 -2.438917 
2453225.857089 -1.523200 
2453226.788387 -0.707036 
2453227.719685 -0.086567 
2453228.650983 0.329325 
