# time model 
2455007.429878 -0.000005 
2455009.095720 0.000041 
2455010.761563 0.000105 
2455012.427406 0.000146 
2455014.093248 0.000043 
2455015.759091 -0.000029 
2455017.424934 0.000078 
2455019.090776 0.000129 
2455020.756619 -0.000017 
2455022.422462 -0.000093 
2455024.088304 -0.000018 
2455025.754147 -0.000093 
2455027.419989 -0.000334 
2455029.085832 -0.000374 
2455030.751675 -0.000181 
2455032.417517 -0.000068 
2455034.083360 -0.000049 
2455035.749203 0.000050 
2455037.415045 0.000096 
2455039.080888 -0.000036 
2455040.746730 -0.000100 
2455042.412573 0.000023 
2455044.078416 0.000073 
2455045.744258 -0.000022 
2455047.410101 -0.000025 
2455049.075944 0.000034 
2455050.741786 -0.000079 
2455052.407629 -0.000248 
2455054.073472 -0.000231 
2455055.739314 -0.000147 
2455057.405157 -0.000167 
2455059.070999 -0.000165 
2455060.736842 -0.000075 
2455062.402685 -0.000064 
2455064.068527 -0.000145 
2455065.734370 -0.000166 
2455067.400213 -0.000126 
2455069.066055 -0.000072 
2455070.731898 0.000028 
2455072.397741 0.000079 
2455074.063583 -0.000014 
2455075.729426 -0.000041 
2455077.395268 0.000108 
2455079.061111 0.000115 
2455080.726954 -0.000131 
2455082.392796 -0.000244 
2455084.058639 -0.000142 
2455085.724482 -0.000161 
2455087.390324 -0.000244 
2455089.056167 -0.000140 
2455090.722010 -0.000124 
2455092.387852 -0.000319 
2455094.053695 -0.000194 
2455095.719537 0.000198 
2455097.385380 0.000046 
2455099.051223 -0.000400 
2455100.717065 -0.000062 
2455102.382908 0.000606 
2455104.048751 0.000303 
2455105.714593 -0.000395 
2455107.380436 -0.000160 
2455109.046279 0.000362 
2455110.712121 0.000118 
2455112.377964 -0.000092 
2455114.043806 0.000286 
2455115.709649 0.000188 
2455117.375492 -0.000325 
2455119.041334 0.000064 
2455120.707177 0.000536 
2455122.373020 -0.000508 
2455124.038862 -0.001448 
2455125.704705 -0.000364 
2455127.370547 0.000550 
2455129.036390 -0.000715 
2455130.702233 -0.001478 
2455132.368075 0.000270 
2455134.033918 0.001775 
2455135.699761 0.001318 
2455137.365603 0.001086 
2455139.031446 0.001535 
2455140.697289 0.000884 
2455142.363131 0.000322 
2455144.028974 0.001350 
2455145.694816 0.000983 
2455147.360659 -0.002129 
2455149.026502 -0.003348 
2455150.692344 -0.001318 
2455152.358187 -0.001568 
2455154.024030 -0.004745 
2455155.689872 -0.004109 
2455157.355715 0.001106 
2455159.021558 0.004236 
2455160.687400 0.003986 
2455162.353243 0.004118 
2455164.019085 0.003782 
2455165.684928 0.001786 
2455167.350771 0.002173 
2455169.016613 0.004352 
2455170.682456 0.001274 
2455172.348299 -0.005176 
2455174.014141 -0.005726 
2455175.679984 -0.003293 
2455177.345827 -0.007745 
2455179.011669 -0.013597 
2455180.677512 -0.008759 
2455182.343354 0.001950 
2455184.009197 0.006947 
2455185.675040 0.008002 
2455187.340882 0.009228 
2455189.006725 0.006376 
2455190.672568 0.002100 
2455192.338410 0.005320 
2455194.004253 0.009079 
2455195.670096 0.000932 
2455197.335938 -0.009111 
2455199.001781 -0.007234 
2455200.667623 -0.006274 
2455202.333466 -0.018954 
2455203.999309 -0.027070 
2455205.665151 -0.014810 
2455207.330994 0.001586 
2455208.996837 0.007570 
2455210.662679 0.011650 
2455212.328522 0.014776 
2455213.994364 0.007260 
2455215.660207 0.000311 
2455217.326050 0.008466 
2455218.991892 0.013732 
2455220.657735 -0.000426 
2455222.323578 -0.011734 
2455223.989420 -0.005766 
2455225.655263 -0.009335 
2455227.321106 -0.032259 
2455228.986948 -0.040016 
2455230.652791 -0.019805 
2455232.318633 -0.001990 
2455233.984476 0.002694 
2455235.650319 0.011183 
2455237.316161 0.016232 
2455238.982004 0.003271 
2455240.647847 -0.005131 
2455242.313689 0.008112 
2455243.979532 0.014034 
2455245.645375 -0.002271 
2455247.311217 -0.009372 
2455248.977060 -0.000362 
2455250.642902 -0.010495 
2455252.308745 -0.037959 
