# time model 
2455007.429878 0.000094 
2455008.361176 0.000125 
2455009.292474 0.000130 
2455010.223771 0.000134 
2455011.155069 0.000121 
2455012.086367 0.000063 
2455013.017665 -0.000049 
2455013.948963 -0.000179 
2455014.880261 -0.000272 
2455015.811558 -0.000295 
2455016.742856 -0.000269 
2455017.674154 -0.000261 
2455018.605452 -0.000327 
2455019.536750 -0.000473 
2455020.468048 -0.000641 
2455021.399346 -0.000758 
2455022.330643 -0.000791 
2455023.261941 -0.000775 
2455024.193239 -0.000781 
2455025.124537 -0.000856 
2455026.055835 -0.000979 
2455026.987133 -0.001067 
2455027.918431 -0.001041 
2455028.849728 -0.000881 
2455029.781026 -0.000646 
2455030.712324 -0.000429 
2455031.643622 -0.000293 
2455032.574920 -0.000237 
2455033.506218 -0.000211 
2455034.437515 -0.000173 
2455035.368813 -0.000128 
2455036.300111 -0.000117 
2455037.231409 -0.000177 
2455038.162707 -0.000294 
2455039.094005 -0.000409 
2455040.025303 -0.000457 
2455040.956600 -0.000424 
2455041.887898 -0.000356 
2455042.819196 -0.000328 
2455043.750494 -0.000380 
2455044.681792 -0.000491 
2455045.613090 -0.000601 
2455046.544388 -0.000661 
2455047.475685 -0.000676 
2455048.406983 -0.000696 
2455049.338281 -0.000771 
2455050.269579 -0.000900 
2455051.200877 -0.001029 
2455052.132175 -0.001091 
2455053.063472 -0.001054 
2455053.994770 -0.000951 
2455054.926068 -0.000845 
2455055.857366 -0.000784 
2455056.788664 -0.000764 
2455057.719962 -0.000747 
2455058.651260 -0.000698 
2455059.582557 -0.000619 
2455060.513855 -0.000547 
2455061.445153 -0.000519 
2455062.376451 -0.000540 
2455063.307749 -0.000575 
2455064.239047 -0.000583 
2455065.170345 -0.000544 
2455066.101642 -0.000473 
2455067.032940 -0.000394 
2455067.964238 -0.000324 
2455068.895536 -0.000260 
2455069.826834 -0.000200 
2455070.758132 -0.000160 
2455071.689430 -0.000168 
2455072.620727 -0.000236 
2455073.552025 -0.000340 
2455074.483323 -0.000422 
2455075.414621 -0.000440 
2455076.345919 -0.000406 
2455077.277217 -0.000388 
2455078.208514 -0.000458 
2455079.139812 -0.000632 
2455080.071110 -0.000845 
2455081.002408 -0.000993 
2455081.933706 -0.001012 
2455082.865004 -0.000924 
2455083.796302 -0.000817 
2455084.727599 -0.000768 
2455085.658897 -0.000779 
2455086.590195 -0.000783 
2455087.521493 -0.000718 
2455088.452791 -0.000587 
2455089.384089 -0.000465 
2455090.315387 -0.000424 
2455091.246684 -0.000452 
2455092.177982 -0.000445 
2455093.109280 -0.000297 
2455094.040578 -0.000013 
2455094.971876 0.000268 
2455095.903174 0.000365 
2455096.834471 0.000214 
2455097.765769 -0.000048 
2455098.697067 -0.000167 
2455099.628365 0.000030 
2455100.559663 0.000475 
2455101.490961 0.000877 
2455102.422259 0.000931 
2455103.353556 0.000559 
2455104.284854 -0.000012 
2455105.216152 -0.000404 
2455106.147450 -0.000376 
2455107.078748 0.000003 
2455108.010046 0.000410 
2455108.941344 0.000534 
2455109.872641 0.000319 
2455110.803939 -0.000017 
2455111.735237 -0.000188 
2455112.666535 -0.000101 
2455113.597833 0.000071 
2455114.529131 0.000055 
2455115.460428 -0.000247 
2455116.391726 -0.000644 
2455117.323024 -0.000815 
2455118.254322 -0.000617 
2455119.185620 -0.000255 
2455120.116918 -0.000150 
2455121.048216 -0.000562 
2455121.979513 -0.001308 
2455122.910811 -0.001829 
2455123.842109 -0.001603 
2455124.773407 -0.000592 
2455125.704705 0.000662 
2455126.636003 0.001418 
2455127.567301 0.001305 
2455128.498598 0.000648 
2455129.429896 0.000243 
2455130.361194 0.000754 
2455131.292492 0.002177 
2455132.223790 0.003825 
2455133.155088 0.004825 
2455134.086386 0.004748 
2455135.017683 0.003870 
2455135.948981 0.002864 
2455136.880279 0.002219 
2455137.811577 0.001881 
2455138.742875 0.001407 
2455139.674173 0.000470 
2455140.605470 -0.000770 
2455141.536768 -0.001791 
2455142.468066 -0.002228 
2455143.399364 -0.002306 
2455144.330662 -0.002737 
2455145.261960 -0.004101 
2455146.193258 -0.006215 
2455147.124555 -0.008084 
2455148.055853 -0.008576 
2455148.987151 -0.007316 
2455149.918449 -0.005071 
2455150.849747 -0.003222 
2455151.781045 -0.002685 
2455152.712343 -0.003128 
2455153.643640 -0.003145 
2455154.574938 -0.001325 
2455155.506236 0.002606 
2455156.437534 0.007467 
2455157.368832 0.011375 
2455158.300130 0.013004 
2455159.231427 0.012352 
2455160.162725 0.010478 
2455161.094023 0.008501 
2455162.025321 0.006757 
2455162.956619 0.004806 
2455163.887917 0.002179 
2455164.819215 -0.000894 
2455165.750512 -0.003540 
2455166.681810 -0.005076 
2455167.613108 -0.005853 
2455168.544406 -0.007223 
2455169.475704 -0.010479 
2455170.407002 -0.015582 
2455171.338300 -0.020824 
2455172.269597 -0.023878 
2455173.200895 -0.023532 
2455174.132193 -0.020711 
2455175.063491 -0.017835 
2455175.994789 -0.016902 
2455176.926087 -0.017759 
2455177.857384 -0.018016 
2455178.788682 -0.014774 
2455179.719980 -0.006910 
2455180.651278 0.003871 
2455181.582576 0.014033 
2455182.513874 0.020481 
2455183.445172 0.022349 
2455184.376469 0.020989 
2455185.307767 0.018370 
2455186.239065 0.015380 
2455187.170363 0.011491 
2455188.101661 0.005950 
2455189.032959 -0.000777 
2455189.964257 -0.006829 
2455190.895554 -0.010407 
2455191.826852 -0.011615 
2455192.758150 -0.012913 
2455193.689448 -0.017430 
2455194.620746 -0.026320 
2455195.552044 -0.037355 
2455196.483342 -0.046170 
2455197.414639 -0.049420 
2455198.345937 -0.047392 
2455199.277235 -0.043849 
2455200.208533 -0.043003 
2455201.139831 -0.045906 
2455202.071129 -0.049193 
2455203.002426 -0.047343 
2455203.933724 -0.036845 
2455204.865022 -0.019068 
2455205.796320 0.000410 
2455206.727618 0.015451 
2455207.658916 0.023128 
2455208.590214 0.024734 
2455209.521511 0.023553 
2455210.452809 0.021549 
2455211.384107 0.017936 
2455212.315405 0.010765 
2455213.246703 -0.000120 
2455214.178001 -0.011721 
2455215.109299 -0.019700 
2455216.040596 -0.022055 
2455216.971894 -0.021396 
2455217.903192 -0.023495 
2455218.834490 -0.032842 
2455219.765788 -0.048740 
2455220.697086 -0.065293 
2455221.628383 -0.075672 
2455222.559681 -0.077394 
2455223.490979 -0.074304 
2455224.422277 -0.073414 
2455225.353575 -0.078938 
2455226.284873 -0.088287 
2455227.216171 -0.093429 
2455228.147468 -0.086734 
2455229.078766 -0.066843 
2455230.010064 -0.039951 
2455230.941362 -0.015583 
2455231.872660 -0.000257 
2455232.803958 0.005985 
2455233.735256 0.007750 
2455234.666553 0.009154 
2455235.597851 0.010021 
2455236.529149 0.006665 
2455237.460447 -0.003656 
2455238.391745 -0.018827 
2455239.323043 -0.032358 
2455240.254340 -0.038227 
2455241.185638 -0.036074 
2455242.116936 -0.032117 
2455243.048234 -0.034595 
2455243.979532 -0.047227 
2455244.910830 -0.066060 
2455245.842128 -0.082499 
2455246.773425 -0.090182 
2455247.704723 -0.090092 
2455248.636021 -0.089583 
2455249.567319 -0.095977 
2455250.498617 -0.109927 
2455251.429915 -0.124069 
2455252.361213 -0.128215 
2455253.292510 -0.117034 
2455254.223808 -0.094118 
2455255.155106 -0.069302 
2455256.086404 -0.051547 
2455257.017702 -0.043169 
2455257.949000 -0.039815 
2455258.880298 -0.035681 
2455259.811595 -0.029185 
2455260.742893 -0.024190 
2455261.674191 -0.025959 
2455262.605489 -0.035617 
2455263.536787 -0.048169 
2455264.468085 -0.055950 
2455265.399382 -0.054638 
2455266.330680 -0.046711 
2455267.261978 -0.039414 
2455268.193276 -0.038989 
2455269.124574 -0.046036 
2455270.055872 -0.055782 
2455270.987170 -0.062771 
2455271.918467 -0.065702 
2455272.849765 -0.068246 
2455273.781063 -0.075250 
2455274.712361 -0.087867 
2455275.643659 -0.101963 
2455276.574957 -0.111232 
2455277.506255 -0.112248 
2455278.437552 -0.107074 
2455279.368850 -0.101221 
2455280.300148 -0.098898 
2455281.231446 -0.099732 
2455282.162744 -0.099701 
2455283.094042 -0.095206 
2455284.025339 -0.086491 
