# time model 
2453115.032645 1.792075 
2453115.963943 1.783805 
2453116.895241 1.609394 
2453117.826539 1.283307 
2453118.757836 0.806959 
2453119.689134 0.174679 
2453120.620432 -0.612832 
2453121.551730 -1.511248 
2453122.483028 -2.345251 
2453123.414326 -2.715974 
2453124.345624 -2.232959 
2453125.276921 -1.103429 
2453126.208219 0.066129 
2453127.139517 0.940074 
2453128.070815 1.482246 
2453129.002113 1.751411 
2453129.933411 1.806585 
2453130.864708 1.686808 
2453131.796006 1.412093 
2453132.727304 0.987798 
2453133.658602 0.409758 
2453134.589900 -0.326012 
2453135.521198 -1.196981 
2453136.452496 -2.086193 
2453137.383793 -2.672329 
2453138.315091 -2.498316 
2453139.246389 -1.525094 
2453140.177687 -0.310664 
2453141.108985 0.679102 
2453142.040283 1.330233 
2453142.971581 1.685696 
2453143.902878 1.808895 
2453144.834176 1.746073 
2453145.765474 1.523321 
2453146.696772 1.150517 
2453147.628070 0.626046 
2453148.559368 -0.055878 
2453149.490665 -0.886741 
2453150.421963 -1.793405 
2453151.353261 -2.535075 
2453152.284559 -2.662461 
2453153.215857 -1.920231 
2453154.147155 -0.717490 
2453155.078453 0.377006 
2453156.009750 1.143277 
2453156.941048 1.592763 
2453157.872346 1.789442 
2453158.803644 1.786614 
2453159.734942 1.616952 
2453160.666240 1.295392 
2453161.597538 0.823671 
2453162.528835 0.196200 
2453163.460133 -0.586879 
2453164.391431 -1.483541 
2453165.322729 -2.324223 
2453166.254027 -2.716303 
2453167.185325 -2.260008 
2453168.116622 -1.141055 
2453169.047920 0.034283 
2453169.979218 0.918651 
2453170.910516 1.470152 
2453171.841814 1.746644 
2453172.773112 1.807630 
2453173.704410 1.692780 
2453174.635707 1.422625 
2453175.567005 1.002897 
2453176.498303 0.429620 
2453177.429601 -0.301451 
2453178.360899 -1.169302 
2453179.292197 -2.061417 
2453180.223495 -2.663711 
2453181.154792 -2.517114 
2453182.086090 -1.561475 
2453183.017388 -0.345542 
2453183.948686 0.654081 
2453184.879984 1.315166 
2453185.811282 1.678617 
2453186.742580 1.808074 
2453187.673877 1.750418 
2453188.605175 1.532303 
2453189.536473 1.164029 
2453190.467771 0.644252 
2453191.399069 -0.032871 
2453192.330367 -0.859762 
2453193.261664 -1.766508 
2453194.192962 -2.519096 
2453195.124260 -2.671691 
2453196.055558 -1.952901 
2453196.986856 -0.754475 
2453197.918154 0.348341 
2453198.849452 1.124990 
2453199.780749 1.583165 
2453200.712047 1.786626 
2453201.643345 1.789270 
2453202.574643 1.624371 
2453203.505941 1.307339 
2453204.437239 0.840239 
2453205.368537 0.217575 
2453206.299834 -0.561040 
2453207.231132 -1.455803 
2453208.162430 -2.302790 
2453209.093728 -2.715794 
2453210.025026 -2.286407 
2453210.956324 -1.178660 
2453211.887621 0.002144 
2453212.818919 0.896917 
2453213.750217 1.457806 
2453214.681515 1.741681 
2453215.612813 1.808515 
2453216.544111 1.698612 
2453217.475409 1.433020 
2453218.406706 1.017855 
2453219.338004 0.449335 
2453220.269302 -0.277023 
2453221.200600 -1.141662 
2453222.131898 -2.036394 
2453223.063196 -2.654371 
2453223.994494 -2.535106 
2453224.925791 -1.597632 
2453225.857089 -0.380650 
2453226.788387 0.628738 
2453227.719685 1.299825 
2453228.650983 1.671324 
2453229.582281 1.807082 
2453230.513578 1.754617 
2453231.444876 1.541146 
2453232.376174 1.177403 
2453233.307472 0.662311 
2453234.238770 -0.010005 
2453235.170068 -0.832869 
2453236.101366 -1.739490 
2453237.032663 -2.502556 
2453237.963961 -2.680049 
2453238.895259 -1.985118 
2453239.826557 -0.791583 
2453240.757855 0.319358 
2453241.689153 1.106406 
2453242.620451 1.573334 
2453243.551748 1.783628 
2453244.483046 1.791773 
2453245.414344 1.631652 
2453246.345642 1.319149 
2453247.276940 0.856664 
2453248.208238 0.238804 
2453249.139536 -0.535316 
2453250.070833 -1.428040 
2453251.002131 -2.280968 
2453251.933429 -2.714455 
2453252.864727 -2.312139 
2453253.796025 -1.216228 
2453254.727323 -0.030284 
2453255.658620 0.874868 
2453256.589918 1.445205 
2453257.521216 1.736519 
2453258.452514 1.809239 
2453259.383812 1.704300 
2453260.315110 1.443278 
2453261.246408 1.032672 
2453262.177705 0.468903 
2453263.109003 -0.252727 
2453264.040301 -1.114065 
2453264.971599 -2.011134 
2453265.902897 -2.644323 
2453266.834195 -2.552279 
2453267.765493 -1.633546 
2453268.696790 -0.415983 
2453269.628088 0.603071 
2453270.559386 1.284207 
2453271.490684 1.663815 
2453272.421982 1.805919 
2453273.353280 1.758668 
2453274.284577 1.549853 
2453275.215875 1.190637 
2453276.147173 0.680226 
2453277.078471 0.012718 
2453278.009769 -0.806064 
2453278.941067 -1.712362 
2453279.872365 -2.485472 
2453280.803662 -2.687537 
2453281.734960 -2.016862 
2453282.666258 -0.828803 
2453283.597556 0.290060 
2453284.528854 1.087525 
2453285.460152 1.563268 
2453286.391450 1.780445 
2453287.322747 1.794123 
2453288.254045 1.638793 
2453289.185343 1.330821 
2453290.116641 0.872946 
2453291.047939 0.259886 
2453291.979237 -0.509710 
2453292.910535 -1.400260 
2453293.841832 -2.258771 
2453294.773130 -2.712294 
2453295.704428 -2.337188 
2453296.635726 -1.253743 
2453297.567024 -0.062996 
2453298.498322 0.852504 
2453299.429619 1.432348 
2453300.360917 1.731158 
2453301.292215 1.809800 
2453302.223513 1.709847 
2453303.154811 1.453399 
2453304.086109 1.047348 
2453305.017407 0.488325 
2453305.948704 -0.228566 
2453306.880002 -1.086517 
2453307.811300 -1.985652 
2453308.742598 -2.633579 
2453309.673896 -2.568625 
2453310.605194 -1.669195 
2453311.536492 -0.451530 
2453312.467789 0.577082 
2453313.399087 1.268311 
2453314.330385 1.656090 
2453315.261683 1.804583 
2453316.192981 1.762573 
2453317.124279 1.558422 
2453318.055576 1.203733 
2453318.986874 0.697995 
2453319.918172 0.035298 
2453320.849470 -0.779352 
2453321.780768 -1.685132 
2453322.712066 -2.467858 
2453323.643364 -2.694153 
2453324.574661 -2.048112 
2453325.505959 -0.866122 
2453326.437257 0.260446 
2453327.368555 1.068344 
2453328.299853 1.552965 
2453329.231151 1.777077 
2453330.162449 1.796319 
2453331.093746 1.645795 
2453332.025044 1.342357 
2453332.956342 0.889085 
2453333.887640 0.280822 
2453334.818938 -0.484224 
2453335.750236 -1.372470 
2453336.681533 -2.236213 
2453337.612831 -2.709319 
2453338.544129 -2.361537 
2453339.475427 -1.291188 
2453340.406725 -0.095987 
2453341.338023 0.829825 
2453342.269321 1.419233 
2453343.200618 1.725596 
2453344.131916 1.810199 
2453345.063214 1.715250 
2453345.994512 1.463383 
2453346.925810 1.061883 
2453347.857108 0.507600 
2453348.788406 -0.204541 
2453349.719703 -1.059022 
2453350.651001 -1.959958 
2453351.582299 -2.622153 
2453352.513597 -2.584136 
2453353.444895 -1.704562 
2453354.376193 -0.487286 
2453355.307491 0.550770 
2453356.238788 1.252135 
2453357.170086 1.648145 
2453358.101384 1.803073 
2453359.032682 1.766329 
2453359.963980 1.566853 
2453360.895278 1.216690 
2453361.826575 0.715619 
2453362.757873 0.057734 
2453363.689171 -0.752735 
2453364.620469 -1.657809 
2453365.551767 -2.449730 
2453366.483065 -2.699900 
2453367.414363 -2.078848 
2453368.345660 -0.903527 
2453369.276958 0.230520 
2453370.208256 1.048861 
2453371.139554 1.542424 
2453372.070852 1.773522 
2453373.002150 1.798360 
2453373.933448 1.652657 
2453374.864745 1.353754 
2453375.796043 0.905081 
2453376.727341 0.301612 
2453377.658639 -0.458859 
2453378.589937 -1.344675 
2453379.521235 -2.213309 
2453380.452532 -2.705540 
2453381.383830 -2.385171 
2453382.315128 -1.328545 
2453383.246426 -0.129255 
2453384.177724 0.806828 
2453385.109022 1.405857 
2453386.040320 1.719832 
2453386.971617 1.810434 
2453387.902915 1.720511 
2453388.834213 1.473231 
2453389.765511 1.076278 
2453390.696809 0.526729 
2453391.628107 -0.180652 
2453392.559405 -1.031585 
2453393.490702 -1.934064 
2453394.422000 -2.610060 
2453395.353298 -2.598805 
2453396.284596 -1.739624 
2453397.215894 -0.523240 
2453398.147192 0.524135 
2453399.078489 1.235675 
2453400.009787 1.639981 
2453400.941085 1.801388 
2453401.872383 1.769937 
2453402.803681 1.575147 
