# time model 
2453115.032645 0.741655 
2453115.963943 0.524103 
2453116.895241 0.301716 
2453117.826539 0.081606 
2453118.757836 -0.130495 
2453119.689134 -0.330096 
2453120.620432 -0.513733 
2453121.551730 -0.678755 
2453122.483028 -0.823117 
2453123.414326 -0.945210 
2453124.345624 -1.043720 
2453125.276921 -1.117521 
2453126.208219 -1.165599 
2453127.139517 -1.187008 
2453128.070815 -1.180851 
2453129.002113 -1.146298 
2453129.933411 -1.082639 
2453130.864708 -0.989376 
2453131.796006 -0.866372 
2453132.727304 -0.714058 
2453133.658602 -0.533703 
2453134.589900 -0.327747 
2453135.521198 -0.100175 
2453136.452496 0.143134 
2453137.383793 0.394157 
2453138.315091 0.642724 
2453139.246389 0.876895 
2453140.177687 1.083825 
2453141.108985 1.251091 
2453142.040283 1.368278 
2453142.971581 1.428450 
2453143.902878 1.429098 
2453144.834176 1.372296 
2453145.765474 1.264054 
2453146.696772 1.113134 
2453147.628070 0.929681 
2453148.559368 0.724019 
2453149.490665 0.505762 
2453150.421963 0.283313 
2453151.353261 0.063667 
2453152.284559 -0.147554 
2453153.215857 -0.345952 
2453154.147155 -0.528138 
2453155.078453 -0.691520 
2453156.009750 -0.834094 
2453156.941048 -0.954280 
2453157.872346 -1.050785 
2453158.803644 -1.122493 
2453159.734942 -1.168398 
2453160.666240 -1.187557 
2453161.597538 -1.179078 
2453162.528835 -1.142140 
2453163.460133 -1.076044 
2453164.391431 -0.980317 
2453165.322729 -0.854860 
2453166.254027 -0.700162 
2453167.185325 -0.517575 
2453168.116622 -0.309654 
2453169.047920 -0.080527 
2453169.979218 0.163756 
2453170.910516 0.414990 
2453171.841814 0.662837 
2453172.773112 0.895244 
2453173.704410 1.099344 
2453174.635707 1.262820 
2453175.567005 1.375492 
2453176.498303 1.430765 
2453177.429601 1.426516 
2453178.360899 1.365180 
2453179.292197 1.253043 
2453180.223495 1.099033 
2453181.154792 0.913354 
2453182.086090 0.706298 
2453183.017388 0.487393 
2453183.948686 0.264930 
2453184.879984 0.045786 
2453185.811282 -0.164524 
2453186.742580 -0.361696 
2453187.673877 -0.542414 
2453188.605175 -0.704142 
2453189.536473 -0.844917 
2453190.467771 -0.963188 
2453191.399069 -1.057680 
2453192.330367 -1.127288 
2453193.261664 -1.171013 
2453194.192962 -1.187916 
2453195.124260 -1.177111 
2453196.055558 -1.137782 
2453196.986856 -1.069246 
2453197.918154 -0.971054 
2453198.849452 -0.843147 
2453199.780749 -0.686073 
2453200.712047 -0.501272 
2453201.643345 -0.291414 
2453202.574643 -0.060773 
2453203.505941 0.184427 
2453204.437239 0.435800 
2453205.368537 0.682845 
2453206.299834 0.913399 
2453207.231132 1.114584 
2453208.162430 1.274198 
2453209.093728 1.382309 
2453210.025026 1.432669 
2453210.956324 1.423541 
2453211.887621 1.357713 
2453212.818919 1.241743 
2453213.750217 1.084715 
2453214.681515 0.896880 
2453215.612813 0.688496 
2453216.544111 0.469001 
2453217.475409 0.246570 
2453218.406706 0.027967 
