# time model 
2453115.032645 2.533730 
2453115.963943 2.307909 
2453116.895241 1.911109 
2453117.826539 1.364913 
2453118.757836 0.676464 
2453119.689134 -0.155416 
2453120.620432 -1.126565 
2453121.551730 -2.190002 
2453122.483028 -3.168368 
2453123.414326 -3.661184 
2453124.345624 -3.276679 
2453125.276921 -2.220950 
2453126.208219 -1.099470 
2453127.139517 -0.246934 
2453128.070815 0.301395 
2453129.002113 0.605113 
2453129.933411 0.723946 
2453130.864708 0.697431 
2453131.796006 0.545720 
2453132.727304 0.273740 
2453133.658602 -0.123945 
2453134.589900 -0.653760 
2453135.521198 -1.297156 
2453136.452496 -1.943059 
2453137.383793 -2.278172 
2453138.315091 -1.855592 
2453139.246389 -0.648199 
2453140.177687 0.773161 
2453141.108985 1.930193 
2453142.040283 2.698510 
2453142.971581 3.114146 
2453143.902878 3.237993 
2453144.834176 3.118369 
2453145.765474 2.787376 
2453146.696772 2.263650 
2453147.628070 1.555727 
2453148.559368 0.668141 
2453149.490665 -0.380979 
2453150.421963 -1.510093 
2453151.353261 -2.471408 
2453152.284559 -2.810015 
2453153.215857 -2.266183 
2453154.147155 -1.245628 
2453155.078453 -0.314514 
2453156.009750 0.309184 
2453156.941048 0.638483 
2453157.872346 0.738657 
2453158.803644 0.664121 
2453159.734942 0.448554 
2453160.666240 0.107835 
2453161.597538 -0.355408 
2453162.528835 -0.945940 
2453163.460133 -1.662924 
2453164.391431 -2.463858 
2453165.322729 -3.179083 
2453166.254027 -3.416464 
2453167.185325 -2.777583 
2453168.116622 -1.450709 
2453169.047920 -0.046244 
2453169.979218 1.082407 
2453170.910516 1.885142 
2453171.841814 2.409481 
2453172.773112 2.702874 
2453173.704410 2.792125 
2453174.635707 2.685444 
2453175.567005 2.378389 
2453176.498303 1.860384 
2453177.429601 1.125065 
2453178.360899 0.195878 
2453179.292197 -0.808375 
2453180.223495 -1.564678 
2453181.154792 -1.603760 
2453182.086090 -0.855177 
2453183.017388 0.141852 
2453183.948686 0.919011 
2453184.879984 1.360952 
2453185.811282 1.514092 
2453186.742580 1.446378 
2453187.673877 1.208004 
2453188.605175 0.828161 
2453189.536473 0.319112 
2453190.467771 -0.318937 
2453191.399069 -1.090551 
2453192.330367 -1.987050 
2453193.261664 -2.937521 
2453194.192962 -3.707012 
2453195.124260 -3.848801 
2453196.055558 -3.090683 
2453196.986856 -1.823721 
2453197.918154 -0.622713 
2453198.849452 0.281843 
2453199.780749 0.897092 
2453200.712047 1.285354 
2453201.643345 1.497856 
2453202.574643 1.563598 
2453203.505941 1.491766 
2453204.437239 1.276040 
2453205.368537 0.900420 
2453206.299834 0.352359 
2453207.231132 -0.341219 
2453208.162430 -1.028592 
2453209.093728 -1.333485 
2453210.025026 -0.853738 
2453210.956324 0.244881 
2453211.887621 1.359857 
2453212.818919 2.138660 
